RunAccession  Coverage  AlignedReads  UniqueReads SRA_Time
SRR13067876 32.7886 485 385 0min
SRR13067875 28.9290 432 350 0min
SRR13067874 63.5446 1659 1291 90min
SRR13067873 76.5405 3766 2864 90min
SRR13067872 25.0470 402 326 10min
SRR13067871 33.6213 683 597 10min
SRR13067870 57.3438 1501 1135 120min
SRR13067869 99.8335 5898216 3666630 120min
SRR13067868 46.4915 1469 1243 30min
SRR13067867 48.9097 2595 2139 30min
SRR13067866 72.5835 2161 1709 60min
SRR13067865 79.5148 4298 3386 60min
