RunAccession	UniqueCount	MMCount	PercentageMM
SRR5947901	28	48.0	0.631578947368421
SRR5947908	830	190.0	0.18627450980392157
SRR5947931	570	44.0	0.07166123778501629
SRR5947962	224718	141586.0	0.38652594566261905
SRR5947960	14916	8608.0	0.3659241625573882
SRR7110449	8	2.0	0.2
SRR2992996	3624	248.0	0.0640495867768595
SRR2992998	3438	220.0	0.06014215418261345
SRR5947956	40	84.0	0.6774193548387096
ERR2088985	505	220.0	0.30344827586206896
ERR1356726	5336	878.0	0.14129385259092372
SRR5947961	32	54.0	0.627906976744186
ERR2088986	456	206.0	0.311178247734139
ERR2088990	406	148.0	0.26714801444043323
SRR2992989	578502	117166.0	0.1684222933928253
SRR2992983	4452	1592.0	0.2634017207147584
ERR2088991	367	175.0	0.32287822878228783
ERR2088992	508	249.0	0.3289299867899604
ERR2088987	623	197.0	0.24024390243902438
ERR2088988	565	198.0	0.2595019659239843
ERR1356706	1850	320.0	0.14746543778801843
SRR3313057	16487	7663.0	0.31730848861283645
ERR2088993	745	308.0	0.2924976258309592
SRR5947916	72534	7378.0	0.09232655921513665
SRR3313071	146625	66023.0	0.3104802302396449
ERR2088984	709	272.0	0.27726809378185524
ERR2088995	856	298.0	0.2582322357019064
SRR2992985	432106	43410.0	0.09129030358599921
SRR3313048	168003	75355.0	0.3096466933488934
SRR5947903	10644	4474.0	0.2959386162190766
ERR2088989	871	267.0	0.23462214411247803
ERR1356723	532	194.0	0.26721763085399447
SRR3313044	515415	86826.0	0.14417151937513387
SRR5947957	58306	1094.0	0.018417508417508416
SRR5947965	11808	482.0	0.03921887713588283
SRR5947966	452	118.0	0.20701754385964913
SRR5947964	250	500.0	0.6666666666666666
ERR1356704	1300	254.0	0.16344916344916344
ERR1356759	1080	424.0	0.28191489361702127
SRR3313036	58916	666.0	0.011177872511832432
SRR3313090	484456	168892.0	0.2585023601510987
ERR1356722	1132	242.0	0.17612809315866085
ERR1356716	22302	13250.0	0.3726935193519352
ERR1356700	3456	576.0	0.14285714285714285
ERR2088994	560	208.0	0.2708333333333333
ERR1356739	1466	616.0	0.29586935638808837
SRR7110445	16	22.0	0.5789473684210527
SRR3313068	14154	10058.0	0.41541384437469026
SRR5947937	2606	880.0	0.25243832472748134
ERR1356755	946	350.0	0.2700617283950617
ERR1356696	1586	338.0	0.17567567567567569
SRR2992986	7784	3046.0	0.28125577100646354
ERR1356728	10040	1884.0	0.15800067091580006
SRR5947927	295364	11620.0	0.03785213561618846
SRR5947930	62	42.0	0.40384615384615385
ERR1356749	1940	790.0	0.2893772893772894
SRR3313064	313	74.0	0.19121447028423771
ERR1356761	1042	334.0	0.24273255813953487
ERR1356742	2036	368.0	0.15307820299500832
ERR1356733	430	174.0	0.28807947019867547
ERR1356738	1134	222.0	0.16371681415929204
ERR1356760	3886	698.0	0.15226876090750435
SRR5947936	15276	1094.0	0.06682956627978008
SRR2992980	51718	28996.0	0.35924374953539656
SRR7110448	8	18.0	0.6923076923076923
SRR5947902	130	66.0	0.336734693877551
SRR3313079	4468	1634.0	0.26778105539167485
SRR5947899	278274	22816.0	0.07577800657610681
ERR1356734	4298	662.0	0.13346774193548386
ERR1356695	2482	882.0	0.2621878715814506
SRR3313078	362485	150482.0	0.2933561028292268
SRR3313072	537281	18613.0	0.03348300215508712
ERR1356719	1908	604.0	0.24044585987261147
ERR1356702	10480	1864.0	0.1510045366169799
SRR2993004	31748	2144.0	0.06325976631653488
SRR5947929	41276	38922.0	0.4853238235367466
SRR3313047	82953	39873.25	0.3246313389849482
SRR2993009	9820	20184.0	0.6727103052926277
SRR2993001	8382	3378.0	0.2872448979591837
SRR5947939	206	40.0	0.16260162601626016
SRR5947928	23240	2234.0	0.08769725995132292
ERR1356744	3992	760.0	0.15993265993265993
SRR5947907	7778	168.0	0.021142713314875407
ERR1356717	766	264.0	0.2563106796116505
ERR1356699	3846	1364.0	0.2618042226487524
SRR5947959	1424	308.0	0.17782909930715934
SRR2992984	205084	122044.0	0.37307720525298965
SRR7110443	6	20.0	0.7692307692307693
SRR5947943	34074	2100.0	0.05805274506551667
SRR5947963	1232	898.0	0.4215962441314554
SRR5947952	308	50.0	0.13966480446927373
SRR5947944	1088	82.0	0.07008547008547009
ERR1356720	2954	592.0	0.16694867456288776
SRR5947947	820	864.0	0.5130641330166271
SRR3313042	16292	16327.0	0.5005364971335725
SRR5947971	280	44.0	0.13580246913580246
SRR7110447	12	16.0	0.5714285714285714
SRR5947968	1198540	15852.0	0.013053445674872693
ERR1356729	1260	478.0	0.27502876869965476
SRR2992974	3032	346.0	0.10242747187685021
SRR5947900	984458	250774.0	0.20301773270122536
SRR5947895	64750	52422.0	0.44739357525688733
SRR2993010	9590	19652.0	0.6720470556049518
ERR1356750	2270	548.0	0.19446415897799857
SRR3313050	1809	660.0	0.267314702308627
SRR5947906	360730	328010.0	0.47624647907773615
ERR1356730	5532	936.0	0.14471243042671614
