GeneID	Chr	Start	End	Strand
OG_862	OLQR01000043	238	546	-
OG_3411	OLQR01000043	639	767	-
OG_703	OLQR01000043	748	1500	-
OG_618	OLQR01000043	2338	2994	-
OG_614	OLQR01000043	3505	3645	+
OG_413	OLQR01000043	3655	4185	+
OG_547	OLQR01000043	4312	4878	+
OG_407	OLQR01000043	4862	5437	+
OG_429	OLQR01000043	5489	6541	+
OG_3131	OLQR01000043	6538	6888	+
OG_119	OLQR01000043	6895	7092	+
OG_409	OLQR01000043	7096	7524	+
OG_424	OLQR01000043	7577	7822	+
OG_412	OLQR01000043	7836	8162	+
OG_64	OLQR01000043	8169	10424	+
OG_47	OLQR01000043	10443	12854	+
OG_431	OLQR01000043	13198	14514	+
OG_1039	OLQR01000043	14534	16006	+
OG_410	OLQR01000043	16032	17189	+
OG_439	OLQR01000043	17270	17890	+
OG_1151	OLQR01000043	17910	18773	+
OG_2390	OLQR01000043	18884	19417	+
OG_185	OLQR01000043	19427	19666	+
OG_120	OLQR01000043	19663	20190	+
OG_291	OLQR01000043	20254	22884	+
OG_291	OLQR01000043	22887	24968	+
OG_411	OLQR01000043	25021	25818	+
OG_100	OLQR01000043	25822	28695	+
OG_100	OLQR01000043	28670	29071	+
OG_291	OLQR01000043	29156	30832	+
OG_227	OLQR01000043	30832	31944	+
OG_37	OLQR01000043	31969	32721	+
OG_425	OLQR01000043	32762	33292	+
OG_278	OLQR01000043	33297	33683	+
OG_420	OLQR01000043	33688	33885	+
OG_420	OLQR01000043	33904	34263	+
OG_156	OLQR01000043	34333	34662	+
OG_813	OLQR01000043	34844	35209	+
OG_3347	OLQR01000043	35291	35833	+
OG_70	OLQR01000043	35830	37287	+
OG_2996	OLQR01000043	37752	38033	+
OG_464	OLQR01000043	38035	38739	+
OG_361	OLQR01000043	38743	39705	+
OG_584	OLQR01000043	39662	40534	+
OG_415	OLQR01000043	40537	45048	+
OG_440	OLQR01000043	45045	45839	+
OG_436	OLQR01000043	45961	48195	+
OG_1794	OLQR01000043	48198	50768	+
OG_314	OLQR01000043	50770	56640	+
OG_62	OLQR01000043	56771	68983	+
OG_205	OLQR01000043	69054	69620	-
OG_532	OLQR01000043	69879	70061	-
OG_3203	OLQR01000043	70137	70232	-
OG_533	OLQR01000043	70233	70418	-
OG_186	OLQR01000043	70510	70656	-
OG_113	OLQR01000043	70660	70938	-
OG_114	OLQR01000043	70935	71528	-
OG_115	OLQR01000043	71658	71927	-
OG_219	OLQR01000043	71924	72184	-
OG_211	OLQR01000043	72135	72803	-
OG_353	OLQR01000043	72823	73884	-
OG_534	OLQR01000043	73884	74006	-
OG_228	OLQR01000043	74083	74865	-
OG_116	OLQR01000043	74865	75116	-
OG_324	OLQR01000043	75267	75569	-
OG_312	OLQR01000043	75556	76437	-
OG_118	OLQR01000043	76418	76807	-
OG_248	OLQR01000043	76804	77526	-
OG_536	OLQR01000043	77798	78181	-
OG_245	OLQR01000043	78182	79378	-
OG_344	OLQR01000043	79371	79931	-
OG_680	OLQR01000043	79928	80317	-
OG_323	OLQR01000043	80298	81563	-
OG_2687	OLQR01000043	81615	82679	-
OG_1980	OLQR01000043	82743	83570	-
OG_3862	OLQR01000043	83649	84581	-
OG_218	OLQR01000043	84634	86019	-
OG_717	OLQR01000043	86016	88346	-
OG_716	OLQR01000043	88347	88889	-
OG_434	OLQR01000043	88879	90339	-
OG_542	OLQR01000043	90336	90809	-
OG_714	OLQR01000043	90816	91148	-
OG_548	OLQR01000043	91285	91545	-
OG_2203	OLQR01000043	91538	92110	-
OG_718	OLQR01000043	92269	92715	-
OG_1399	OLQR01000043	92998	93549	-
OG_730	OLQR01000043	93565	93900	-
OG_707	OLQR01000043	93925	94539	-
OG_3413	OLQR01000043	94681	94881	-
OG_543	OLQR01000043	94941	95096	+
OG_3061	OLQR01000043	95241	95369	-
