GeneID	Chr	Start	End	Strand
OG_1913	OHKV01000027	790	996	-
OG_1500	OHKV01000027	1666	2199	-
OG_1790	OHKV01000027	2605	3813	-
OG_1912	OHKV01000027	4019	4570	+
OG_4770	OHKV01000027	4709	4960	+
OG_1911	OHKV01000027	4957	5235	+
OG_105	OHKV01000027	5259	5684	-
OG_105	OHKV01000027	5702	5863	-
OG_1910	OHKV01000027	5886	6161	-
OG_642	OHKV01000027	6167	6352	-
OG_211	OHKV01000027	6354	6896	-
OG_1502	OHKV01000027	6893	7642	-
OG_1909	OHKV01000027	7620	7910	-
OG_1901	OHKV01000027	8378	8977	-
OG_82	OHKV01000027	9118	9423	-
OG_478	OHKV01000027	9416	10036	-
OG_1907	OHKV01000027	10174	10557	-
OG_1906	OHKV01000027	10557	10814	-
OG_1503	OHKV01000027	10841	11668	-
OG_1504	OHKV01000027	11687	12787	-
OG_1505	OHKV01000027	12863	13447	-
OG_1905	OHKV01000027	13444	13710	-
OG_1904	OHKV01000027	13713	14072	-
OG_110	OHKV01000027	14075	15061	-
OG_434	OHKV01000027	15061	16470	-
OG_2259	OHKV01000027	16573	17622	-
OG_1789	OHKV01000027	18808	19998	+
OG_83	OHKV01000027	20042	20455	+
OG_1508	OHKV01000027	20448	20888	+
OG_1214	OHKV01000027	20890	21588	+
OG_1509	OHKV01000027	21594	21842	+
OG_1903	OHKV01000027	21839	22393	+
OG_1902	OHKV01000027	22362	22682	+
OG_64	OHKV01000027	22679	25468	+
OG_47	OHKV01000027	25518	28280	+
OG_106	OHKV01000027	28415	29572	+
OG_1040	OHKV01000027	29591	31294	+
OG_84	OHKV01000027	31374	32438	+
OG_85	OHKV01000027	32441	33115	+
OG_129	OHKV01000027	33354	34061	+
OG_1212	OHKV01000027	34186	36159	+
OG_1510	OHKV01000027	36260	38596	+
OG_104	OHKV01000027	38602	41001	+
OG_4775	OHKV01000027	41006	42568	+
OG_4776	OHKV01000027	42565	44181	+
OG_4777	OHKV01000027	44174	45550	+
OG_65	OHKV01000027	45975	46748	+
OG_1511	OHKV01000027	46792	47355	+
OG_1952	OHKV01000027	47330	47833	+
OG_3036	OHKV01000027	47892	48503	+
OG_2260	OHKV01000027	49372	50319	+
OG_3037	OHKV01000027	50319	50843	+
OG_907	OHKV01000027	50894	51772	+
OG_1512	OHKV01000027	51790	52140	+
OG_1513	OHKV01000027	52112	52354	+
OG_1951	OHKV01000027	52351	52611	+
OG_123	OHKV01000027	52884	53846	+
OG_86	OHKV01000027	53953	54798	+
OG_1789	OHKV01000027	54951	56237	-
OG_1950	OHKV01000027	56317	56718	+
OG_1949	OHKV01000027	56712	56954	+
OG_1514	OHKV01000027	56956	57375	+
OG_87	OHKV01000027	57368	57682	+
OG_88	OHKV01000027	57684	58490	+
OG_100	OHKV01000027	58492	62958	+
OG_89	OHKV01000027	63664	64320	+
OG_4770	OHKV01000027	64323	64592	+
OG_100	OHKV01000027	64626	64913	-
OG_1231	OHKV01000027	65051	65518	+
OG_581	OHKV01000027	65527	66495	+
OG_227	OHKV01000027	66510	67229	+
OG_1948	OHKV01000027	67373	67873	+
OG_408	OHKV01000027	68061	74579	+
OG_2258	OHKV01000027	74611	74787	+
OG_471	OHKV01000027	74876	77137	+
OG_1900	OHKV01000027	77148	77549	+
OG_459	OHKV01000027	77713	78465	+
OG_90	OHKV01000027	78549	81149	+
OG_131	OHKV01000027	81153	84044	+
OG_62	OHKV01000027	84025	88905	+
OG_1947	OHKV01000027	89051	89602	+
