GeneID	Chr	Start	End	Strand
OG_253	OGYM01000002	3	935	-
OG_1041	OGYM01000002	1090	1275	-
OG_253	OGYM01000002	1330	2232	-
OG_1041	OGYM01000002	2452	2607	-
OG_253	OGYM01000002	2682	3410	-
OG_1041	OGYM01000002	3622	3819	-
OG_1041	OGYM01000002	4018	4290	-
OG_253	OGYM01000002	4374	5102	-
OG_1041	OGYM01000002	5242	5847	-
OG_10	OGYM01000002	5867	6973	-
OG_39	OGYM01000002	7066	8253	-
OG_945	OGYM01000002	8253	8576	-
OG_278	OGYM01000002	8680	9054	-
OG_425	OGYM01000002	9039	9512	-
OG_37	OGYM01000002	9528	9956	-
OG_37	OGYM01000002	10382	10480	-
OG_225	OGYM01000002	10659	10955	-
OG_70	OGYM01000002	10957	13188	-
OG_291	OGYM01000002	13200	17828	-
OG_70	OGYM01000002	17885	19420	-
OG_291	OGYM01000002	19423	20508	-
OG_1373	OGYM01000002	20531	21019	-
OG_70	OGYM01000002	21024	22649	-
OG_300	OGYM01000002	22649	25912	-
OG_946	OGYM01000002	25923	26111	-
OG_947	OGYM01000002	26104	26904	-
OG_47	OGYM01000002	26904	27941	-
OG_79	OGYM01000002	28012	28878	-
OG_47	OGYM01000002	29065	30243	-
OG_948	OGYM01000002	30246	30578	-
OG_64	OGYM01000002	30535	33912	-
OG_396	OGYM01000002	33919	34503	-
OG_48	OGYM01000002	34503	35363	-
OG_1374	OGYM01000002	35366	35590	-
OG_949	OGYM01000002	35599	35850	-
OG_951	OGYM01000002	35879	36403	-
OG_1217	OGYM01000002	36431	36676	-
OG_1215	OGYM01000002	36655	36891	-
OG_429	OGYM01000002	36898	37836	-
OG_66	OGYM01000002	37846	38538	-
OG_229	OGYM01000002	38707	38985	+
OG_404	OGYM01000002	39087	39524	+
OG_75	OGYM01000002	39556	40035	+
OG_599	OGYM01000002	40051	40437	+
OG_953	OGYM01000002	40512	40664	+
OG_1375	OGYM01000002	40679	41728	-
OG_793	OGYM01000002	41732	41923	-
OG_954	OGYM01000002	41925	42173	-
OG_467	OGYM01000002	42201	44453	-
OG_1376	OGYM01000002	44538	44747	-
OG_4490	OGYM01000002	44752	45534	-
OG_4722	OGYM01000002	45970	46095	-
OG_1378	OGYM01000002	46522	46947	+
OG_1379	OGYM01000002	47449	47724	+
OG_1380	OGYM01000002	47705	47887	+
OG_4490	OGYM01000002	48090	48851	-
OG_955	OGYM01000002	49252	49734	+
OG_1381	OGYM01000002	49921	50085	+
OG_77	OGYM01000002	52104	52628	+
OG_1350	OGYM01000002	52908	53126	+
OG_250	OGYM01000002	53410	53607	+
OG_1372	OGYM01000002	53607	53810	+
OG_1385	OGYM01000002	54097	54288	+
OG_76	OGYM01000002	54376	54744	+
OG_1296	OGYM01000002	54803	55171	+
OG_3404	OGYM01000002	55350	55658	+
OG_1366	OGYM01000002	57397	58008	+
OG_1758	OGYM01000002	57971	58693	+
OG_76	OGYM01000002	59052	59618	+
OG_1386	OGYM01000002	59775	59882	+
OG_1387	OGYM01000002	60534	60791	+
OG_914	OGYM01000002	60818	61159	+
OG_4152	OGYM01000002	61149	61292	+
OG_911	OGYM01000002	61828	62109	+
OG_1367	OGYM01000002	62109	62264	+
OG_3528	OGYM01000002	62288	63481	+
OG_913	OGYM01000002	63491	63670	+
OG_148	OGYM01000002	63876	64253	-
OG_53	OGYM01000002	64333	64923	+
OG_1388	OGYM01000002	65631	65864	+
OG_180	OGYM01000002	65983	66342	+
OG_1389	OGYM01000002	66749	67429	+
OG_1390	OGYM01000002	67410	68288	+
OG_305	OGYM01000002	68419	68985	+
OG_4633	OGYM01000002	69080	69265	+
OG_3403	OGYM01000002	69267	69488	+
OG_2659	OGYM01000002	69589	69756	+
OG_35	OGYM01000002	70145	70384	+
UG_260	OGYM01000002	70495	70686	+
UG_261	OGYM01000002	70702	70992	+
OG_32	OGYM01000002	71098	72144	+
OG_77	OGYM01000002	72834	73220	+
OG_1391	OGYM01000002	73576	73893	-
OG_1371	OGYM01000002	73898	74050	+
OG_1392	OGYM01000002	74104	74430	+
OG_916	OGYM01000002	74432	74683	+
OG_1393	OGYM01000002	74683	75000	+
OG_490	OGYM01000002	75005	75184	+
OG_1394	OGYM01000002	75184	75468	+
OG_1395	OGYM01000002	75509	75706	+
OG_915	OGYM01000002	75718	76047	+
OG_916	OGYM01000002	76211	76480	+
OG_920	OGYM01000002	76459	76806	+
OG_76	OGYM01000002	76806	77219	+
OG_43	OGYM01000002	77221	77700	+
OG_921	OGYM01000002	77702	78550	+
OG_922	OGYM01000002	78604	79386	+
OG_1369	OGYM01000002	79417	79557	+
OG_923	OGYM01000002	79560	80636	+
OG_1396	OGYM01000002	80651	81193	+
OG_1368	OGYM01000002	81195	81938	+
OG_1397	OGYM01000002	81922	82620	+
