GeneID	Chr	Start	End	Strand
OG_319	OIYR01000021	73	477	+
OG_3792	OIYR01000021	725	955	+
OG_156	OIYR01000021	943	1263	+
OG_70	OIYR01000021	1270	2898	+
OG_464	OIYR01000021	3503	4180	+
OG_361	OIYR01000021	4184	5119	+
OG_584	OIYR01000021	5064	5828	+
OG_415	OIYR01000021	5832	10031	+
OG_436	OIYR01000021	10035	14345	+
OG_1794	OIYR01000021	14423	15658	+
OG_279	OIYR01000021	15658	17403	+
OG_314	OIYR01000021	17406	24581	+
OG_62	OIYR01000021	24696	38492	+
OG_469	OIYR01000021	39148	39438	-
OG_264	OIYR01000021	39431	39706	-
OG_211	OIYR01000021	39734	40198	-
OG_2647	OIYR01000021	40182	40790	-
OG_2021	OIYR01000021	41320	41568	-
OG_353	OIYR01000021	41565	42620	-
OG_3786	OIYR01000021	42698	42976	-
OG_228	OIYR01000021	42978	43727	-
OG_799	OIYR01000021	43737	43937	-
OG_2401	OIYR01000021	43937	44137	-
OG_1028	OIYR01000021	44139	44726	-
OG_3705	OIYR01000021	44720	45349	-
OG_3787	OIYR01000021	45415	45642	-
OG_312	OIYR01000021	45629	46531	-
OG_3788	OIYR01000021	46554	46724	-
OG_1413	OIYR01000021	46729	46875	-
OG_348	OIYR01000021	46882	47565	-
OG_2400	OIYR01000021	47572	48996	-
OG_538	OIYR01000021	49166	49525	-
OG_245	OIYR01000021	49532	50725	-
OG_430	OIYR01000021	50722	51153	-
OG_680	OIYR01000021	51143	51517	-
OG_323	OIYR01000021	51543	52769	-
OG_2687	OIYR01000021	52890	53834	-
OG_1980	OIYR01000021	53957	54760	-
OG_3862	OIYR01000021	54821	55726	-
OG_218	OIYR01000021	55777	57186	-
OG_717	OIYR01000021	57196	58005	-
OG_253	OIYR01000021	58082	58891	-
OG_717	OIYR01000021	59129	60589	-
OG_716	OIYR01000021	60586	61134	-
OG_628	OIYR01000021	61124	61471	-
OG_148	OIYR01000021	61475	61651	-
UG_327	OIYR01000021	61632	61730	-
OG_434	OIYR01000021	61857	63332	-
OG_541	OIYR01000021	63329	63832	-
OG_714	OIYR01000021	63801	64100	-
UG_328	OIYR01000021	64278	64703	-
UG_329	OIYR01000021	64807	64992	-
OG_764	OIYR01000021	65006	65299	-
OG_912	OIYR01000021	65394	65795	-
OG_2396	OIYR01000021	65813	65965	-
UG_330	OIYR01000021	66032	66190	-
OG_706	OIYR01000021	66282	66779	-
UG_331	OIYR01000021	67134	67409	-
UG_332	OIYR01000021	67409	67690	-
UG_333	OIYR01000021	67812	68090	-
OG_702	OIYR01000021	68676	69173	-
OG_413	OIYR01000021	70716	71291	+
OG_547	OIYR01000021	71310	71801	+
OG_407	OIYR01000021	71798	72409	+
OG_429	OIYR01000021	72416	73408	+
OG_4767	OIYR01000021	73415	74023	+
OG_437	OIYR01000021	74023	74298	+
OG_337	OIYR01000021	74255	74581	+
OG_64	OIYR01000021	74584	76875	+
OG_47	OIYR01000021	76897	79320	+
OG_431	OIYR01000021	79756	81096	+
OG_1039	OIYR01000021	81130	82602	+
OG_410	OIYR01000021	82626	83819	+
OG_439	OIYR01000021	83832	84728	+
OG_1151	OIYR01000021	84750	85616	+
OG_2390	OIYR01000021	85677	86297	+
OG_213	OIYR01000021	86310	86534	+
OG_120	OIYR01000021	86539	87030	+
OG_3790	OIYR01000021	87036	87173	+
OG_291	OIYR01000021	87178	88077	+
OG_291	OIYR01000021	88090	89208	+
OG_70	OIYR01000021	89235	90137	+
OG_3791	OIYR01000021	90150	90506	+
OG_2393	OIYR01000021	90528	90866	+
OG_268	OIYR01000021	91048	92019	+
OG_359	OIYR01000021	92035	92352	+
OG_304	OIYR01000021	92352	92837	+
OG_2392	OIYR01000021	92842	93069	+
