GeneID	Chr	Start	End	Strand
OG_351	OLNE01000087	1	390	+
OG_583	OLNE01000087	400	1341	+
OG_408	OLNE01000087	1341	5465	+
OG_445	OLNE01000087	5467	7368	+
OG_125	OLNE01000087	7371	9206	+
OG_62	OLNE01000087	9210	24452	+
OG_130	OLNE01000087	24455	28597	+
OG_1030	OLNE01000087	28652	29125	-
OG_275	OLNE01000087	29119	30114	-
OG_1403	OLNE01000087	30114	30281	-
OG_908	OLNE01000087	30278	30970	-
OG_74	OLNE01000087	30967	31383	-
OG_1062	OLNE01000087	31334	31477	-
OG_1205	OLNE01000087	31461	32039	-
OG_323	OLNE01000087	32036	32998	-
OG_416	OLNE01000087	33249	33860	-
OG_306	OLNE01000087	33881	34147	-
OG_305	OLNE01000087	34226	35020	-
OG_306	OLNE01000087	35154	35630	-
OG_770	OLNE01000087	35722	36237	-
OG_448	OLNE01000087	36255	37211	-
OG_338	OLNE01000087	37192	37752	-
OG_717	OLNE01000087	37798	39714	-
OG_1725	OLNE01000087	39841	41184	-
OG_175	OLNE01000087	41342	41845	-
OG_214	OLNE01000087	42146	42637	-
OG_479	OLNE01000087	42646	43185	-
OG_1080	OLNE01000087	45032	45298	-
OG_1079	OLNE01000087	45667	46050	-
OG_362	OLNE01000087	46064	47458	-
OG_1078	OLNE01000087	47545	47922	-
OG_841	OLNE01000087	47919	48485	-
OG_166	OLNE01000087	48541	49047	-
OG_839	OLNE01000087	49044	49478	-
OG_834	OLNE01000087	49460	49654	-
OG_1077	OLNE01000087	49656	50033	-
OG_305	OLNE01000087	50344	50889	+
OG_1081	OLNE01000087	51022	51153	-
OG_753	OLNE01000087	51787	52185	-
OG_760	OLNE01000087	52220	52561	-
OG_1076	OLNE01000087	52754	52975	-
OG_1075	OLNE01000087	53159	53281	-
OG_1074	OLNE01000087	53281	53721	-
OG_349	OLNE01000087	54126	54641	-
OG_591	OLNE01000087	54700	55104	-
OG_1073	OLNE01000087	55277	55519	-
OG_1072	OLNE01000087	55519	55659	-
OG_1070	OLNE01000087	55745	56080	-
OG_3432	OLNE01000087	56084	56221	-
OG_3534	OLNE01000087	57461	58045	-
OG_1066	OLNE01000087	58256	58441	+
OG_4685	OLNE01000087	58469	58747	+
OG_891	OLNE01000087	58761	58964	+
OG_866	OLNE01000087	59213	59401	+
OG_751	OLNE01000087	59462	59839	+
OG_1755	OLNE01000087	59970	60254	+
OG_752	OLNE01000087	60256	60663	+
OG_822	OLNE01000087	60656	61039	+
OG_818	OLNE01000087	61020	61409	+
OG_750	OLNE01000087	61387	61599	+
OG_427	OLNE01000087	61571	62029	+
OG_447	OLNE01000087	61978	62337	+
OG_211	OLNE01000087	62424	62924	+
OG_4765	OLNE01000087	62869	63027	+
OG_210	OLNE01000087	63029	63370	+
OG_396	OLNE01000087	63370	63900	+
OG_1065	OLNE01000087	63970	64161	+
OG_64	OLNE01000087	64163	67273	+
OG_47	OLNE01000087	67275	70943	+
OG_599	OLNE01000087	71023	71409	+
OG_288	OLNE01000087	71412	73124	+
OG_229	OLNE01000087	73130	73342	+
OG_106	OLNE01000087	73360	74550	+
OG_1038	OLNE01000087	74574	74948	+
OG_317	OLNE01000087	75051	75650	+
OG_1038	OLNE01000087	75811	76911	+
OG_253	OLNE01000087	76975	77604	+
OG_446	OLNE01000087	77622	78374	+
OG_462	OLNE01000087	78377	79084	+
OG_439	OLNE01000087	79107	79790	+
OG_439	OLNE01000087	79793	80494	+
OG_305	OLNE01000087	80491	81027	+
OG_1149	OLNE01000087	81142	82134	+
OG_812	OLNE01000087	82212	82481	+
OG_419	OLNE01000087	82456	82755	+
OG_300	OLNE01000087	82757	86938	+
OG_201	OLNE01000087	86942	87346	+
OG_70	OLNE01000087	87348	90236	+
OG_71	OLNE01000087	90239	90931	+
OG_679	OLNE01000087	91291	91641	+
OG_191	OLNE01000087	91643	92242	+
OG_319	OLNE01000087	92291	93034	+
OG_268	OLNE01000087	93073	94008	+
OG_352	OLNE01000087	94026	94436	+
OG_304	OLNE01000087	94504	95067	+
OG_70	OLNE01000087	95115	95513	+
OG_1156	OLNE01000087	95513	95974	+
OG_322	OLNE01000087	95977	98049	+
OG_49	OLNE01000087	98051	98563	+
OG_169	OLNE01000087	98570	99223	+
OG_456	OLNE01000087	99235	99891	+
OG_351	OLNE01000087	99878	100000	+
