GeneID	Chr	Start	End	Strand
OG_447	OHFV01000001	158	817	-
OG_2949	OHFV01000001	831	2222	-
OG_2962	OHFV01000001	2223	3320	-
OG_933	OHFV01000001	3313	3504	-
OG_1285	OHFV01000001	3491	4399	-
OG_3907	OHFV01000001	4448	4714	-
OG_3909	OHFV01000001	4695	5027	-
OG_3911	OHFV01000001	5029	5535	-
OG_932	OHFV01000001	5565	5960	-
OG_323	OHFV01000001	5914	6957	-
OG_57	OHFV01000001	6972	7655	-
OG_931	OHFV01000001	7677	8177	-
OG_306	OHFV01000001	8183	8644	-
OG_333	OHFV01000001	9008	9805	-
OG_448	OHFV01000001	10024	11118	-
OG_17	OHFV01000001	11118	11717	-
OG_218	OHFV01000001	11783	13003	-
OG_2944	OHFV01000001	13003	13941	-
OG_930	OHFV01000001	13967	14797	-
OG_929	OHFV01000001	14800	15117	-
OG_1278	OHFV01000001	15104	15859	-
OG_1279	OHFV01000001	15834	16409	-
OG_1321	OHFV01000001	16360	16557	-
OG_928	OHFV01000001	16557	16922	-
OG_927	OHFV01000001	16909	17220	-
OG_11	OHFV01000001	17286	17699	-
OG_1322	OHFV01000001	17683	17850	-
OG_632	OHFV01000001	17850	18215	-
OG_2949	OHFV01000001	18217	19593	-
OG_1286	OHFV01000001	19720	19977	-
OG_1003	OHFV01000001	19980	20459	-
OG_2983	OHFV01000001	20524	20742	-
OG_978	OHFV01000001	20844	21026	-
OG_1281	OHFV01000001	21030	21524	-
OG_191	OHFV01000001	21771	22382	-
OG_42	OHFV01000001	22466	22969	-
OG_67	OHFV01000001	22981	23547	-
OG_2963	OHFV01000001	23665	23979	-
OG_2964	OHFV01000001	24364	24558	-
OG_987	OHFV01000001	24674	25054	-
OG_2965	OHFV01000001	25056	25175	-
OG_2966	OHFV01000001	25184	25396	-
OG_3193	OHFV01000001	25342	25701	-
OG_920	OHFV01000001	25673	26086	-
UG_279	OHFV01000001	26092	26262	-
OG_454	OHFV01000001	26277	26399	-
OG_3406	OHFV01000001	26636	26974	-
OG_77	OHFV01000001	27089	27697	-
OG_923	OHFV01000001	27937	29004	-
OG_2968	OHFV01000001	28994	29194	-
OG_2584	OHFV01000001	29306	29656	-
OG_16	OHFV01000001	29649	30227	-
UG_280	OHFV01000001	30233	30484	-
OG_2594	OHFV01000001	30438	30671	-
OG_3755	OHFV01000001	30671	32155	-
OG_73	OHFV01000001	32160	32384	-
OG_148	OHFV01000001	32366	32614	-
OG_44	OHFV01000001	32689	33264	-
OG_1332	OHFV01000001	33249	33551	-
