GeneID	Chr	Start	End	Strand
OG_421	OJPI01000006	2	562	-
OG_941	OJPI01000006	566	2461	-
OG_63	OJPI01000006	2464	7077	-
OG_942	OJPI01000006	7153	7488	-
OG_79	OJPI01000006	7475	8401	-
OG_7	OJPI01000006	8665	9267	-
OG_8	OJPI01000006	9267	10601	-
OG_408	OJPI01000006	10594	15114	-
OG_432	OJPI01000006	15114	18317	-
OG_39	OJPI01000006	18323	20152	-
OG_944	OJPI01000006	20154	20690	-
OG_943	OJPI01000006	20693	21130	-
OG_582	OJPI01000006	21130	21819	-
OG_9	OJPI01000006	21822	22493	-
OG_21	OJPI01000006	22576	23736	-
OG_462	OJPI01000006	23763	24635	-
OG_391	OJPI01000006	24645	25550	-
OG_1041	OJPI01000006	25662	27071	-
OG_10	OJPI01000006	27094	28161	-
OG_1008	OJPI01000006	28263	28565	-
OG_945	OJPI01000006	28588	28914	-
OG_278	OJPI01000006	29036	29413	-
OG_425	OJPI01000006	29398	29871	-
OG_37	OJPI01000006	29893	30276	-
OG_56	OJPI01000006	30778	30888	-
OG_225	OJPI01000006	31051	31341	-
OG_70	OJPI01000006	31347	33740	-
OG_70	OJPI01000006	33759	35516	-
OG_291	OJPI01000006	35589	37589	-
OG_70	OJPI01000006	37654	38814	-
OG_291	OJPI01000006	38817	39938	-
OG_70	OJPI01000006	39949	41934	-
OG_300	OJPI01000006	41941	45414	-
OG_946	OJPI01000006	45401	45592	-
OG_947	OJPI01000006	45576	46349	-
OG_47	OJPI01000006	46351	48567	-
OG_948	OJPI01000006	48536	48844	-
OG_64	OJPI01000006	48828	51113	-
OG_396	OJPI01000006	51140	51721	-
OG_48	OJPI01000006	51721	53364	-
OG_1009	OJPI01000006	53383	53571	-
OG_949	OJPI01000006	53574	53810	-
OG_951	OJPI01000006	53812	54342	-
OG_1215	OJPI01000006	54371	54634	-
OG_1215	OJPI01000006	54606	54878	-
OG_429	OJPI01000006	54881	56809	-
OG_66	OJPI01000006	56793	57494	-
OG_229	OJPI01000006	57655	57945	+
OG_1010	OJPI01000006	58422	59102	+
OG_55	OJPI01000006	59102	59662	+
OG_65	OJPI01000006	59625	60092	+
OG_599	OJPI01000006	60096	60491	+
OG_1011	OJPI01000006	60497	60649	+
OG_54	OJPI01000006	60612	61331	+
OG_3816	OJPI01000006	61441	61626	+
OG_3815	OJPI01000006	61619	61807	+
OG_46	OJPI01000006	61840	62712	-
OG_793	OJPI01000006	63081	63263	-
OG_954	OJPI01000006	63274	63522	-
OG_33	OJPI01000006	63551	63868	-
OG_428	OJPI01000006	63858	65867	-
OG_1012	OJPI01000006	65909	66259	-
OG_4490	OJPI01000006	66261	67004	-
OG_1013	OJPI01000006	67509	67961	+
OG_3191	OJPI01000006	68306	68476	+
OG_910	OJPI01000006	68526	69059	+
OG_955	OJPI01000006	69219	69692	+
OG_1014	OJPI01000006	69977	70123	+
OG_1015	OJPI01000006	71460	71735	+
OG_4846	OJPI01000006	73284	73811	+
OG_1758	OJPI01000006	74058	74786	+
OG_959	OJPI01000006	74943	75311	+
OG_3111	OJPI01000006	75314	75502	+
OG_3195	OJPI01000006	75502	75642	+
OG_960	OJPI01000006	75657	75851	+
OG_3112	OJPI01000006	75866	76072	+
OG_3898	OJPI01000006	76286	76747	+
OG_961	OJPI01000006	76918	77133	+
OG_962	OJPI01000006	77120	77287	+
OG_963	OJPI01000006	78864	79106	+
OG_911	OJPI01000006	79110	79433	+
OG_3528	OJPI01000006	79924	80859	+
OG_964	OJPI01000006	80991	81206	+
OG_913	OJPI01000006	81236	81400	+
OG_965	OJPI01000006	81951	82040	+
OG_914	OJPI01000006	82581	82880	+
OG_967	OJPI01000006	82883	83575	+
OG_2387	OJPI01000006	83577	83753	+
OG_15	OJPI01000006	83758	84624	+
OG_3239	OJPI01000006	85806	86078	+
OG_3238	OJPI01000006	86066	86335	+
OG_968	OJPI01000006	86323	86592	+
OG_971	OJPI01000006	86580	86702	+
OG_180	OJPI01000006	86702	87070	+
OG_973	OJPI01000006	87113	87304	+
OG_957	OJPI01000006	87312	87596	+
OG_374	OJPI01000006	87574	88983	+
OG_974	OJPI01000006	89105	89683	+
OG_975	OJPI01000006	89661	89864	+
OG_958	OJPI01000006	90145	90588	+
OG_3113	OJPI01000006	90599	90862	+
OG_35	OJPI01000006	91374	91607	+
OG_977	OJPI01000006	91710	91970	+
OG_982	OJPI01000006	92800	93081	+
OG_1650	OJPI01000006	93095	93187	+
OG_4844	OJPI01000006	93334	93567	+
OG_4849	OJPI01000006	93551	93799	+
UG_359	OJPI01000006	93974	94249	+
OG_983	OJPI01000006	94486	94776	+
OG_915	OJPI01000006	94932	95249	+
OG_984	OJPI01000006	95234	95398	+
OG_985	OJPI01000006	95411	95686	+
OG_916	OJPI01000006	95753	96001	+
OG_986	OJPI01000006	96003	96266	+
OG_987	OJPI01000006	96266	96700	+
OG_2386	OJPI01000006	96643	96945	+
OG_4842	OJPI01000006	96897	97022	+
OG_77	OJPI01000006	97252	97980	+
OG_917	OJPI01000006	98008	98877	+
OG_988	OJPI01000006	98877	99200	+
OG_59	OJPI01000006	99169	99573	+
OG_989	OJPI01000006	99573	99935	+
OG_990	OJPI01000006	99940	100158	+
OG_992	OJPI01000006	100145	100333	+
OG_454	OJPI01000006	100335	100598	+
OG_454	OJPI01000006	100601	100816	+
OG_920	OJPI01000006	100771	101163	+
OG_993	OJPI01000006	101132	101320	+
OG_677	OJPI01000006	101435	101956	+
OG_994	OJPI01000006	101931	102488	+
OG_995	OJPI01000006	102617	102883	+
OG_4663	OJPI01000006	102874	103632	+
OG_996	OJPI01000006	103634	103924	+
OG_2274	OJPI01000006	104079	104822	+
OG_997	OJPI01000006	104815	105075	+
OG_77	OJPI01000006	105186	105797	+
OG_998	OJPI01000006	105878	106150	+
OG_921	OJPI01000006	106161	107018	+
OG_922	OJPI01000006	107030	107809	+
OG_1369	OJPI01000006	107844	108026	+
OG_923	OJPI01000006	107986	109026	+
OG_58	OJPI01000006	109026	110201	+
OG_2311	OJPI01000006	110203	112149	+
OG_67	OJPI01000006	112658	113227	+
OG_999	OJPI01000006	113230	113394	+
OG_191	OJPI01000006	113527	114132	+
OG_1000	OJPI01000006	114134	114442	+
OG_1001	OJPI01000006	114442	114606	+
OG_1002	OJPI01000006	114608	114895	+
OG_1370	OJPI01000006	114862	115122	+
OG_1281	OJPI01000006	115112	115621	+
OG_1003	OJPI01000006	115609	116097	+
OG_632	OJPI01000006	116119	116517	+
OG_926	OJPI01000006	116492	116674	+
OG_956	OJPI01000006	116655	116996	+
OG_927	OJPI01000006	116989	117429	+
OG_928	OJPI01000006	117416	117775	+
OG_1279	OJPI01000006	117815	118390	+
OG_1278	OJPI01000006	118402	119202	+
OG_929	OJPI01000006	119165	119494	+
OG_930	OJPI01000006	119497	120339	+
OG_218	OJPI01000006	120385	121608	+
OG_17	OJPI01000006	121655	122260	+
OG_448	OJPI01000006	122260	123384	+
OG_306	OJPI01000006	123387	123494	+
OG_333	OJPI01000006	123625	124428	+
OG_306	OJPI01000006	124592	125263	+
OG_931	OJPI01000006	125274	125729	+
OG_57	OJPI01000006	125742	126407	+
OG_323	OJPI01000006	126430	127458	+
OG_932	OJPI01000006	127406	127801	+
OG_933	OJPI01000006	127794	128000	+
OG_447	OJPI01000006	127981	128625	+
UG_360	OJPI01000006	128754	128900	+
OG_1004	OJPI01000006	129144	129437	+
OG_275	OJPI01000006	129427	130446	+
OG_767	OJPI01000006	130449	131000	+
OG_40	OJPI01000006	131042	131836	+
OG_253	OJPI01000006	132072	132878	+
OG_40	OJPI01000006	132976	134421	+
OG_317	OJPI01000006	134463	134825	+
OG_211	OJPI01000006	134812	135366	+
OG_434	OJPI01000006	135368	136753	+
OG_245	OJPI01000006	136755	137204	+
OG_305	OJPI01000006	137410	138048	+
OG_245	OJPI01000006	138124	138876	+
OG_934	OJPI01000006	138876	139274	+
OG_1005	OJPI01000006	139258	139707	+
OG_935	OJPI01000006	139700	140203	+
OG_1159	OJPI01000006	140190	140636	+
OG_938	OJPI01000006	140638	140802	+
OG_4841	OJPI01000006	140905	141255	+
OG_1277	OJPI01000006	141239	141436	+
OG_717	OJPI01000006	141430	142398	+
OG_717	OJPI01000006	142704	143021	+
OG_305	OJPI01000006	143112	143729	+
OG_717	OJPI01000006	143833	144510	+
OG_2948	OJPI01000006	144515	144742	+
OG_253	OJPI01000006	144827	145618	+
OG_460	OJPI01000006	145612	145872	+
OG_312	OJPI01000006	145859	146332	+
OG_66	OJPI01000006	146457	147002	+
OG_312	OJPI01000006	147116	147571	+
OG_1006	OJPI01000006	147573	147800	+
OG_4148	OJPI01000006	147813	149006	+
OG_41	OJPI01000006	149010	149507	+
OG_253	OJPI01000006	149572	150315	+
OG_41	OJPI01000006	150549	151334	+
OG_939	OJPI01000006	151336	152538	+
OG_248	OJPI01000006	152539	153264	+
OG_940	OJPI01000006	153248	153412	+
OG_1007	OJPI01000006	153412	153720	+
OG_335	OJPI01000006	153826	158262	-
OG_62	OJPI01000006	158262	167087	-
OG_421	OJPI01000006	167077	174456	-
