GeneID	Chr	Start	End	Strand
OG_2233	OIWQ01000029	215	475	+
OG_1795	OIWQ01000029	652	831	+
OG_373	OIWQ01000029	1062	1409	+
OG_107	OIWQ01000029	1418	1732	+
OG_1567	OIWQ01000029	1908	2138	+
OG_670	OIWQ01000029	2135	2347	+
OG_1790	OIWQ01000029	2370	2603	-
OG_1499	OIWQ01000029	2649	2903	+
OG_3533	OIWQ01000029	2900	3709	+
OG_1495	OIWQ01000029	3773	4021	+
OG_1564	OIWQ01000029	4002	4295	+
OG_1563	OIWQ01000029	4246	4629	+
OG_1562	OIWQ01000029	4641	4910	+
OG_1561	OIWQ01000029	4907	5380	+
OG_1560	OIWQ01000029	5358	5768	+
OG_1559	OIWQ01000029	5842	6093	+
OG_108	OIWQ01000029	6090	6602	+
OG_1558	OIWQ01000029	6589	6957	+
OG_1557	OIWQ01000029	6944	7132	+
OG_1555	OIWQ01000029	7369	7683	+
UG_304	OIWQ01000029	7686	7862	+
UG_305	OIWQ01000029	7875	8150	+
OG_1790	OIWQ01000029	8164	9303	-
OG_1554	OIWQ01000029	9397	9633	+
OG_2234	OIWQ01000029	9645	10541	+
OG_2988	OIWQ01000029	10550	10831	+
OG_2043	OIWQ01000029	10852	11916	+
OG_308	OIWQ01000029	11907	12695	+
OG_1553	OIWQ01000029	12701	12970	+
OG_1551	OIWQ01000029	13103	13357	+
OG_1550	OIWQ01000029	13376	14038	+
OG_1519	OIWQ01000029	14057	14719	+
OG_1549	OIWQ01000029	14716	14868	+
OG_6	OIWQ01000029	14876	15712	+
OG_1490	OIWQ01000029	15724	16530	+
OG_98	OIWQ01000029	16537	16890	+
OG_1783	OIWQ01000029	16991	17305	+
OG_109	OIWQ01000029	17302	17685	+
OG_1547	OIWQ01000029	17710	17961	+
OG_1782	OIWQ01000029	17980	18726	+
OG_1786	OIWQ01000029	18733	18873	+
OG_1896	OIWQ01000029	18886	19164	+
OG_1590	OIWQ01000029	19184	19435	+
OG_1589	OIWQ01000029	19622	20077	+
OG_1517	OIWQ01000029	20084	20344	+
OG_4086	OIWQ01000029	20361	20765	+
OG_1489	OIWQ01000029	20791	20994	+
OG_1892	OIWQ01000029	20991	21659	+
OG_1546	OIWQ01000029	21735	21989	+
OG_2818	OIWQ01000029	22001	22471	+
OG_1488	OIWQ01000029	22700	23170	+
OG_1785	OIWQ01000029	23154	23330	+
OG_1893	OIWQ01000029	23327	24643	+
OG_1487	OIWQ01000029	24653	25666	+
OG_1544	OIWQ01000029	25644	25997	+
OG_1543	OIWQ01000029	26002	26259	+
OG_1927	OIWQ01000029	26226	26792	+
OG_1481	OIWQ01000029	26845	27123	+
OG_448	OIWQ01000029	27101	28225	+
OG_122	OIWQ01000029	28241	28843	+
OG_112	OIWQ01000029	28859	29056	+
OG_1486	OIWQ01000029	29059	29772	+
OG_1542	OIWQ01000029	29760	30011	+
OG_1541	OIWQ01000029	30001	30495	+
OG_1540	OIWQ01000029	30548	30907	+
OG_1485	OIWQ01000029	30904	31923	+
OG_1539	OIWQ01000029	31920	32093	+
OG_1538	OIWQ01000029	32090	32413	+
OG_1537	OIWQ01000029	32420	32806	+
OG_99	OIWQ01000029	32796	34217	+
OG_1536	OIWQ01000029	34246	34602	+
OG_1535	OIWQ01000029	34603	34908	+
OG_4306	OIWQ01000029	34886	35227	+
OG_447	OIWQ01000029	35272	35805	+
OG_317	OIWQ01000029	35821	36450	+
OG_1533	OIWQ01000029	36536	36844	+
OG_1532	OIWQ01000029	36846	37376	+
OG_1530	OIWQ01000029	37369	38082	+
OG_1529	OIWQ01000029	38079	38270	+
OG_1527	OIWQ01000029	38278	38511	+
OG_4085	OIWQ01000029	38513	39001	+
OG_1526	OIWQ01000029	39091	39756	-
OG_121	OIWQ01000029	39832	39996	-
OG_121	OIWQ01000029	40016	40450	-
OG_130	OIWQ01000029	40663	47085	-
OG_1484	OIWQ01000029	47228	47584	-
OG_1779	OIWQ01000029	47598	47768	-
OG_1037	OIWQ01000029	47758	48075	-
OG_1525	OIWQ01000029	48072	48425	-
OG_1524	OIWQ01000029	48444	48749	-
OG_1777	OIWQ01000029	48753	49028	-
OG_105	OIWQ01000029	49025	49900	-
OG_4769	OIWQ01000029	49924	50559	-
OG_1523	OIWQ01000029	50580	50795	-
OG_1522	OIWQ01000029	50792	51019	-
OG_319	OIWQ01000029	51488	51781	-
OG_91	OIWQ01000029	51875	52243	-
OG_304	OIWQ01000029	52251	52739	-
OG_352	OIWQ01000029	52796	53209	-
OG_268	OIWQ01000029	53308	54243	-
OG_123	OIWQ01000029	54424	55308	-
OG_130	OIWQ01000029	56015	58270	-
OG_1521	OIWQ01000029	58297	58827	-
OG_62	OIWQ01000029	58830	65471	-
OG_131	OIWQ01000029	65464	68523	-
OG_90	OIWQ01000029	68523	71363	-
OG_2259	OIWQ01000029	71432	72451	-
OG_288	OIWQ01000029	73207	76698	-
OG_427	OIWQ01000029	76682	77101	-
OG_2232	OIWQ01000029	77207	78841	-
OG_408	OIWQ01000029	79538	86308	-
OG_3387	OIWQ01000029	86389	86898	-
OG_1956	OIWQ01000029	86908	87651	-
OG_4674	OIWQ01000029	87728	88201	-
OG_813	OIWQ01000029	88194	88655	-
OG_1515	OIWQ01000029	88652	89770	-
OG_227	OIWQ01000029	89775	90503	-
OG_581	OIWQ01000029	90669	91565	-
OG_123	OIWQ01000029	91652	92602	-
OG_1231	OIWQ01000029	92704	93198	-
OG_89	OIWQ01000029	93269	93973	-
OG_1586	OIWQ01000029	93970	94365	-
OG_473	OIWQ01000029	94328	95608	-
OG_461	OIWQ01000029	95871	96281	-
OG_1585	OIWQ01000029	96344	96466	-
OG_100	OIWQ01000029	96596	101086	-
OG_88	OIWQ01000029	101073	101858	-
OG_87	OIWQ01000029	101869	102255	-
OG_1514	OIWQ01000029	102272	102694	-
OG_1584	OIWQ01000029	102678	102956	-
OG_1583	OIWQ01000029	102931	103287	-
OG_103	OIWQ01000029	103479	105536	-
OG_86	OIWQ01000029	105539	106177	-
OG_1513	OIWQ01000029	106174	106425	-
OG_1512	OIWQ01000029	106427	106753	-
OG_907	OIWQ01000029	106775	107653	-
OG_1582	OIWQ01000029	107737	108189	-
OG_1511	OIWQ01000029	108186	108773	-
OG_65	OIWQ01000029	108775	109236	-
OG_169	OIWQ01000029	109368	110480	-
OG_70	OIWQ01000029	110496	111557	-
OG_1581	OIWQ01000029	111562	111780	-
OG_231	OIWQ01000029	111866	112138	-
OG_322	OIWQ01000029	112140	114251	-
OG_1580	OIWQ01000029	114251	114535	-
OG_1510	OIWQ01000029	114547	116289	-
OG_1212	OIWQ01000029	116381	118369	-
OG_85	OIWQ01000029	118512	119186	-
OG_84	OIWQ01000029	119193	120278	-
OG_1040	OIWQ01000029	120355	122055	-
OG_106	OIWQ01000029	122078	123244	-
OG_47	OIWQ01000029	123371	126130	-
OG_64	OIWQ01000029	126172	128940	-
OG_1579	OIWQ01000029	128948	129286	-
OG_1578	OIWQ01000029	129264	129785	-
OG_1509	OIWQ01000029	129772	130053	-
OG_1214	OIWQ01000029	130059	130796	-
OG_1508	OIWQ01000029	130800	131249	-
OG_83	OIWQ01000029	131236	131676	-
OG_1577	OIWQ01000029	131982	133595	+
OG_434	OIWQ01000029	133853	136336	+
OG_452	OIWQ01000029	136348	136659	+
OG_1507	OIWQ01000029	136729	136929	+
OG_127	OIWQ01000029	137005	137877	+
OG_1576	OIWQ01000029	137874	138176	+
OG_1575	OIWQ01000029	138181	138429	+
OG_1574	OIWQ01000029	138426	138860	+
UG_306	OIWQ01000029	138923	139396	-
OG_1504	OIWQ01000029	139554	140606	+
OG_1503	OIWQ01000029	140619	141566	+
OG_1573	OIWQ01000029	141622	141870	+
OG_211	OIWQ01000029	141873	142523	+
OG_4752	OIWQ01000029	142548	143300	+
OG_1502	OIWQ01000029	143825	144517	+
OG_1572	OIWQ01000029	144514	144783	+
OG_155	OIWQ01000029	144814	145470	-
OG_70	OIWQ01000029	145759	146703	+
OG_1571	OIWQ01000029	146783	147205	+
OG_49	OIWQ01000029	147207	147785	+
OG_1501	OIWQ01000029	147795	148754	+
OG_1500	OIWQ01000029	149386	149925	+
OG_1570	OIWQ01000029	150481	150651	+
OG_1569	OIWQ01000029	150674	150880	+
OG_1568	OIWQ01000029	151178	151276	+
