GeneID	Chr	Start	End	Strand
OG_2537	OFMT01000010	116	457	-
OG_2473	OFMT01000010	444	653	-
OG_1470	OFMT01000010	650	811	-
OG_2472	OFMT01000010	1191	1430	-
OG_3866	OFMT01000010	1594	3567	-
OG_1541	OFMT01000010	3586	4104	-
OG_990	OFMT01000010	4101	4328	-
OG_2471	OFMT01000010	4615	5073	-
OG_451	OFMT01000010	5094	5654	-
OG_52	OFMT01000010	5765	6229	-
OG_2470	OFMT01000010	6226	6477	-
OG_2469	OFMT01000010	6484	6699	-
OG_1803	OFMT01000010	6911	7015	-
OG_2468	OFMT01000010	7015	7386	-
OG_2013	OFMT01000010	7855	8316	-
OG_1822	OFMT01000010	8550	9509	-
OG_2467	OFMT01000010	9617	9796	-
OG_2048	OFMT01000010	9787	10029	-
OG_1467	OFMT01000010	10026	10259	-
OG_1157	OFMT01000010	10256	10456	-
OG_1366	OFMT01000010	10522	11115	-
OG_3098	OFMT01000010	11270	11743	-
OG_3931	OFMT01000010	11932	12081	-
OG_2534	OFMT01000010	13177	13371	-
OG_2533	OFMT01000010	13423	13869	-
OG_2466	OFMT01000010	14188	14589	+
OG_2465	OFMT01000010	14582	14722	+
OG_2464	OFMT01000010	14742	15044	+
OG_2463	OFMT01000010	15041	15355	+
OG_2461	OFMT01000010	15339	15518	+
OG_2460	OFMT01000010	15505	15873	+
OG_2459	OFMT01000010	15860	16063	+
OG_813	OFMT01000010	16108	16500	-
OG_2458	OFMT01000010	16497	16688	-
OG_229	OFMT01000010	16764	17096	-
OG_429	OFMT01000010	17220	18134	+
OG_1215	OFMT01000010	18137	18352	+
OG_1217	OFMT01000010	18346	18669	+
OG_951	OFMT01000010	18678	19280	+
OG_949	OFMT01000010	19267	19491	+
OG_29	OFMT01000010	19491	20069	+
OG_396	OFMT01000010	20107	20667	+
OG_64	OFMT01000010	20670	23033	+
OG_948	OFMT01000010	22987	23283	+
OG_47	OFMT01000010	23225	25396	+
OG_300	OFMT01000010	25398	26126	+
OG_947	OFMT01000010	26139	26870	+
OG_291	OFMT01000010	27026	28600	+
OG_1609	OFMT01000010	28600	30438	+
OG_2456	OFMT01000010	30444	30656	+
OG_70	OFMT01000010	30658	32475	+
OG_124	OFMT01000010	32811	34067	+
OG_187	OFMT01000010	34012	34365	+
OG_2455	OFMT01000010	34362	34583	+
OG_13	OFMT01000010	34594	41109	+
OG_12	OFMT01000010	41102	41617	+
OG_22	OFMT01000010	41610	42203	+
OG_70	OFMT01000010	42200	42886	+
OG_2454	OFMT01000010	42889	43311	+
OG_291	OFMT01000010	43313	44488	+
OG_70	OFMT01000010	44492	45763	+
OG_70	OFMT01000010	45760	49986	+
OG_1401	OFMT01000010	50056	50508	+
OG_2453	OFMT01000010	50515	50814	+
OG_268	OFMT01000010	51342	52370	+
OG_352	OFMT01000010	52385	52729	+
OG_304	OFMT01000010	52729	53235	+
OG_1020	OFMT01000010	53219	53431	+
OG_319	OFMT01000010	53433	53834	+
OG_11	OFMT01000010	53831	54223	+
OG_404	OFMT01000010	54337	54741	+
OG_152	OFMT01000010	54743	57037	+
OG_10	OFMT01000010	57131	58138	+
OG_1038	OFMT01000010	58167	59588	+
OG_391	OFMT01000010	59673	60533	+
OG_439	OFMT01000010	60560	61723	+
OG_21	OFMT01000010	61741	62745	+
OG_2531	OFMT01000010	62796	63221	+
OG_9	OFMT01000010	63221	63919	+
OG_583	OFMT01000010	63921	64619	+
OG_3932	OFMT01000010	64561	64671	+
OG_943	OFMT01000010	64685	65116	+
OG_944	OFMT01000010	65122	65742	+
OG_432	OFMT01000010	65735	70069	+
OG_408	OFMT01000010	70059	76025	+
OG_8	OFMT01000010	76018	77931	+
OG_467	OFMT01000010	77918	79162	+
OG_7	OFMT01000010	79162	79782	+
OG_942	OFMT01000010	79894	80184	+
OG_63	OFMT01000010	80255	85153	+
OG_941	OFMT01000010	85150	86994	+
OG_421	OFMT01000010	86997	96245	+
OG_62	OFMT01000010	96253	106704	+
OG_24	OFMT01000010	106706	109384	+
OG_335	OFMT01000010	109381	114012	+
OG_2530	OFMT01000010	114066	114584	-
OG_2529	OFMT01000010	114571	114771	-
OG_460	OFMT01000010	114773	115024	-
OG_4607	OFMT01000010	115026	115925	-
OG_6	OFMT01000010	115897	116205	-
OG_2185	OFMT01000010	116205	116861	-
OG_1656	OFMT01000010	116858	117343	-
OG_18	OFMT01000010	117340	117678	-
OG_2528	OFMT01000010	117675	117983	-
OG_2527	OFMT01000010	117928	118131	-
OG_2526	OFMT01000010	118133	118297	-
OG_1205	OFMT01000010	118266	118868	-
OG_1490	OFMT01000010	118849	119547	-
OG_196	OFMT01000010	119549	119794	-
OG_1041	OFMT01000010	119806	120114	-
OG_2525	OFMT01000010	120089	120532	-
OG_1096	OFMT01000010	120535	121221	-
OG_312	OFMT01000010	121218	122201	-
OG_619	OFMT01000010	122188	122364	-
OG_4	OFMT01000010	122361	122741	-
OG_2524	OFMT01000010	122711	123148	-
OG_2523	OFMT01000010	123150	123296	-
OG_53	OFMT01000010	123445	124080	-
OG_2522	OFMT01000010	124064	124294	-
OG_2521	OFMT01000010	124272	124529	-
OG_1290	OFMT01000010	124526	125506	-
OG_2514	OFMT01000010	125530	125754	-
OG_2513	OFMT01000010	125757	126035	-
OG_417	OFMT01000010	126161	128314	-
OG_603	OFMT01000010	128325	128576	-
OG_452	OFMT01000010	128560	128883	-
OG_2512	OFMT01000010	128883	129728	-
OG_326	OFMT01000010	129721	129963	-
OG_908	OFMT01000010	130102	130797	-
OG_2511	OFMT01000010	130794	131090	-
OG_2510	OFMT01000010	131044	131643	-
OG_3102	OFMT01000010	131633	131896	-
OG_3	OFMT01000010	131893	133260	-
OG_38	OFMT01000010	133272	133598	-
OG_2509	OFMT01000010	133582	134076	-
OG_2508	OFMT01000010	134073	134291	-
OG_1256	OFMT01000010	134284	134937	-
OG_245	OFMT01000010	134940	136139	-
OG_3105	OFMT01000010	136132	136353	-
OG_1	OFMT01000010	136350	136661	-
OG_2507	OFMT01000010	136670	136990	-
OG_2506	OFMT01000010	136987	137232	-
OG_211	OFMT01000010	137229	137810	-
OG_2505	OFMT01000010	137791	138345	-
OG_2504	OFMT01000010	138342	138647	-
OG_2503	OFMT01000010	138644	138985	-
OG_2502	OFMT01000010	138966	139265	-
OG_433	OFMT01000010	139262	139756	-
OG_1274	OFMT01000010	139749	140414	-
OG_2501	OFMT01000010	140411	140755	-
OG_36	OFMT01000010	140748	142916	-
OG_1268	OFMT01000010	142918	143685	-
OG_3090	OFMT01000010	143688	144278	-
OG_767	OFMT01000010	144412	144969	-
OG_20	OFMT01000010	145151	145417	-
OG_275	OFMT01000010	145473	146522	-
OG_472	OFMT01000010	146513	147031	-
OG_2500	OFMT01000010	147018	147239	-
OG_2499	OFMT01000010	147236	147484	-
OG_932	OFMT01000010	147481	148026	-
OG_2498	OFMT01000010	148041	148253	-
OG_323	OFMT01000010	148231	149244	-
OG_57	OFMT01000010	149285	149980	-
OG_931	OFMT01000010	149983	150558	-
OG_1097	OFMT01000010	150558	151253	-
OG_441	OFMT01000010	151253	152347	-
OG_17	OFMT01000010	152344	152949	-
OG_2497	OFMT01000010	153037	153204	-
OG_218	OFMT01000010	153207	154508	-
OG_930	OFMT01000010	154481	155344	-
OG_3933	OFMT01000010	155341	155433	-
OG_929	OFMT01000010	155390	155713	-
OG_2496	OFMT01000010	155695	155886	-
OG_2495	OFMT01000010	156133	156399	-
OG_631	OFMT01000010	156425	157009	-
OG_2494	OFMT01000010	156990	157274	-
OG_1270	OFMT01000010	157634	157936	-
OG_16	OFMT01000010	157946	158755	-
OG_1166	OFMT01000010	158721	159185	-
OG_3755	OFMT01000010	159148	160698	-
OG_2493	OFMT01000010	160712	161218	-
OG_1174	OFMT01000010	161209	161529	-
OG_1208	OFMT01000010	161553	162380	-
OG_3170	OFMT01000010	162364	162576	-
OG_3091	OFMT01000010	162558	162704	-
OG_2492	OFMT01000010	162708	162821	-
OG_1259	OFMT01000010	162818	163834	-
OG_958	OFMT01000010	163851	164267	-
OG_927	OFMT01000010	164230	164691	-
OG_2491	OFMT01000010	164684	165079	-
OG_2489	OFMT01000010	165072	165446	-
OG_2488	OFMT01000010	165415	165732	-
OG_2487	OFMT01000010	165734	165907	-
OG_15	OFMT01000010	166383	167294	-
OG_2486	OFMT01000010	167296	167466	-
OG_2484	OFMT01000010	167658	167972	-
OG_1265	OFMT01000010	167938	168312	-
OG_4697	OFMT01000010	168315	170330	-
OG_936	OFMT01000010	170394	170678	-
OG_1617	OFMT01000010	170662	171255	-
OG_721	OFMT01000010	171311	171613	-
OG_2483	OFMT01000010	171610	171933	-
OG_1548	OFMT01000010	171926	172150	-
OG_1549	OFMT01000010	172095	172547	-
OG_1245	OFMT01000010	172551	172877	-
OG_2482	OFMT01000010	172995	173687	-
OG_2480	OFMT01000010	173703	173966	-
OG_77	OFMT01000010	173915	174466	-
OG_2573	OFMT01000010	175318	175575	-
OG_2481	OFMT01000010	175559	176137	-
OG_3092	OFMT01000010	176137	176430	-
OG_3093	OFMT01000010	176427	176852	-
OG_2479	OFMT01000010	176960	177145	-
OG_2478	OFMT01000010	177471	177641	-
OG_2375	OFMT01000010	177589	177747	-
OG_1742	OFMT01000010	177905	178024	-
OG_253	OFMT01000010	178310	179101	-
OG_2477	OFMT01000010	179117	179353	-
OG_2476	OFMT01000010	179558	179950	-
OG_2475	OFMT01000010	180021	180380	-
OG_3094	OFMT01000010	180383	180811	-
OG_32	OFMT01000010	180933	182345	-
OG_2474	OFMT01000010	182345	182509	-
OG_14	OFMT01000010	182618	183067	-
OG_1747	OFMT01000010	183067	183474	-
OG_148	OFMT01000010	183534	184223	-
