GeneID	Chr	Start	End	Strand
OG_338	OLGJ01000032	1	162	-
OG_717	OLGJ01000032	220	2142	-
OG_1724	OLGJ01000032	2275	3066	-
OG_175	OLGJ01000032	3128	3655	-
OG_234	OLGJ01000032	3880	5079	-
OG_3724	OLGJ01000032	6023	6163	+
OG_845	OLGJ01000032	7169	7567	-
OG_184	OLGJ01000032	7584	7985	-
OG_362	OLGJ01000032	8057	9571	-
OG_846	OLGJ01000032	9646	10020	-
OG_841	OLGJ01000032	10036	10596	-
OG_758	OLGJ01000032	10645	11037	-
OG_840	OLGJ01000032	10988	11485	-
OG_835	OLGJ01000032	11482	11667	-
OG_754	OLGJ01000032	11658	11936	-
OG_1812	OLGJ01000032	11948	12172	-
OG_753	OLGJ01000032	12921	13388	-
OG_888	OLGJ01000032	13427	13648	-
OG_3756	OLGJ01000032	13660	13977	-
OG_203	OLGJ01000032	14223	14369	-
OG_854	OLGJ01000032	14360	14458	-
OG_283	OLGJ01000032	14442	14927	-
OG_848	OLGJ01000032	14945	15208	-
OG_1810	OLGJ01000032	15190	15429	-
OG_317	OLGJ01000032	15697	16140	-
OG_349	OLGJ01000032	16235	16699	-
OG_250	OLGJ01000032	16725	17093	-
OG_171	OLGJ01000032	17113	17418	-
OG_3757	OLGJ01000032	17538	17732	-
OG_3531	OLGJ01000032	17972	18115	+
OG_587	OLGJ01000032	18513	18959	-
OG_3529	OLGJ01000032	19678	19902	-
OG_3400	OLGJ01000032	20431	20745	-
OG_204	OLGJ01000032	21129	21845	-
OG_3056	OLGJ01000032	22138	22368	-
OG_3140	OLGJ01000032	22423	22590	-
OG_3057	OLGJ01000032	22670	22813	-
OG_3138	OLGJ01000032	22877	22975	-
OG_312	OLGJ01000032	23166	24053	+
OG_865	OLGJ01000032	24213	24404	+
OG_447	OLGJ01000032	24401	24715	+
OG_866	OLGJ01000032	24702	24911	+
OG_751	OLGJ01000032	24943	25302	+
OG_752	OLGJ01000032	25448	25825	+
OG_822	OLGJ01000032	25818	26195	+
OG_818	OLGJ01000032	26185	26568	+
OG_750	OLGJ01000032	26540	26734	+
OG_427	OLGJ01000032	26715	27152	+
OG_276	OLGJ01000032	27142	27522	+
OG_210	OLGJ01000032	27583	27957	+
OG_849	OLGJ01000032	27959	28273	+
OG_396	OLGJ01000032	28260	28790	+
OG_215	OLGJ01000032	28851	28988	+
OG_64	OLGJ01000032	29478	31559	+
OG_47	OLGJ01000032	31601	34069	+
OG_813	OLGJ01000032	34099	34536	+
OG_288	OLGJ01000032	34622	35773	+
OG_229	OLGJ01000032	35766	35999	+
OG_106	OLGJ01000032	36021	37187	+
OG_1038	OLGJ01000032	37223	38692	+
OG_446	OLGJ01000032	38765	39517	+
OG_462	OLGJ01000032	39517	40227	+
OG_439	OLGJ01000032	40230	40898	+
OG_1149	OLGJ01000032	40996	41970	+
OG_812	OLGJ01000032	42071	42769	+
OG_300	OLGJ01000032	42781	46035	+
OG_318	OLGJ01000032	46041	46445	+
OG_291	OLGJ01000032	46429	49998	+
OG_100	OLGJ01000032	49991	51877	+
OG_173	OLGJ01000032	51895	52065	+
OG_65	OLGJ01000032	52040	52486	+
OG_70	OLGJ01000032	52490	53374	+
OG_300	OLGJ01000032	53380	54687	+
OG_322	OLGJ01000032	54684	55250	+
OG_231	OLGJ01000032	55262	55510	+
OG_70	OLGJ01000032	55530	58064	+
OG_679	OLGJ01000032	58293	58802	+
OG_191	OLGJ01000032	58774	59415	+
OG_319	OLGJ01000032	59449	60084	+
OG_268	OLGJ01000032	60114	61031	+
OG_352	OLGJ01000032	61019	61489	+
OG_304	OLGJ01000032	61533	62096	+
OG_456	OLGJ01000032	62237	62881	+
OG_351	OLGJ01000032	62889	63338	+
OG_583	OLGJ01000032	63335	64276	+
OG_408	OLGJ01000032	64273	68445	+
OG_445	OLGJ01000032	68447	70288	+
OG_125	OLGJ01000032	70278	72251	+
OG_62	OLGJ01000032	72254	85177	+
OG_130	OLGJ01000032	85189	89343	+
OG_1030	OLGJ01000032	89427	89927	-
OG_275	OLGJ01000032	89905	90885	-
OG_908	OLGJ01000032	90875	91537	-
OG_74	OLGJ01000032	91586	91969	-
OG_2744	OLGJ01000032	91941	92249	-
OG_323	OLGJ01000032	92233	93201	-
OG_416	OLGJ01000032	93425	94054	-
OG_306	OLGJ01000032	94071	94811	-
OG_770	OLGJ01000032	94886	95401	-
OG_448	OLGJ01000032	95416	96396	-
OG_338	OLGJ01000032	96377	96838	-
