GeneID	Chr	Start	End	Strand
OG_70	OGOG01000008	2	370	-
OG_70	OGOG01000008	367	1806	-
OG_70	OGOG01000008	1810	3000	-
OG_2454	OGOG01000008	3002	3424	-
OG_70	OGOG01000008	3427	4113	-
OG_22	OGOG01000008	4110	4796	-
OG_12	OGOG01000008	4789	5289	-
OG_13	OGOG01000008	5297	11806	-
OG_2455	OGOG01000008	11816	12094	-
OG_176	OGOG01000008	12097	14763	-
OG_187	OGOG01000008	14811	15176	-
OG_124	OGOG01000008	15121	16395	-
OG_70	OGOG01000008	16707	18527	-
OG_2456	OGOG01000008	18529	18738	-
OG_1609	OGOG01000008	18744	20612	-
OG_291	OGOG01000008	20612	22201	-
OG_2457	OGOG01000008	22164	22391	-
OG_947	OGOG01000008	22357	23124	-
OG_300	OGOG01000008	23096	23830	-
OG_47	OGOG01000008	23832	26003	-
OG_948	OGOG01000008	25945	26241	-
OG_64	OGOG01000008	26201	28561	-
OG_407	OGOG01000008	28564	29130	-
OG_29	OGOG01000008	29161	29733	-
OG_949	OGOG01000008	29733	29957	-
OG_951	OGOG01000008	29944	30546	-
OG_1217	OGOG01000008	30555	30881	-
OG_1215	OGOG01000008	30875	31090	-
OG_429	OGOG01000008	31093	32007	-
OG_229	OGOG01000008	32122	32463	+
OG_2458	OGOG01000008	32539	32730	+
OG_2459	OGOG01000008	32768	32983	-
OG_2460	OGOG01000008	32970	33206	-
OG_2461	OGOG01000008	33212	33391	-
OG_2463	OGOG01000008	33375	33689	-
OG_2464	OGOG01000008	33686	33988	-
OG_2465	OGOG01000008	34007	34147	-
OG_2466	OGOG01000008	34140	34541	-
OG_2533	OGOG01000008	34860	35306	+
OG_2534	OGOG01000008	35358	35552	+
OG_2536	OGOG01000008	36817	37143	+
OG_3171	OGOG01000008	37218	37835	+
OG_1467	OGOG01000008	38086	38319	+
OG_2048	OGOG01000008	38321	38560	+
OG_2467	OGOG01000008	38551	38736	+
OG_1822	OGOG01000008	38841	39809	+
OG_2468	OGOG01000008	40476	40847	+
OG_1803	OGOG01000008	40847	40951	+
OG_2469	OGOG01000008	41163	41378	+
OG_2470	OGOG01000008	41385	41636	+
OG_52	OGOG01000008	41633	42097	+
OG_451	OGOG01000008	42208	42768	+
OG_2471	OGOG01000008	42789	43247	+
OG_990	OGOG01000008	43536	43766	+
OG_1541	OGOG01000008	43763	44281	+
OG_3866	OGOG01000008	44300	46273	+
OG_2472	OGOG01000008	46437	46676	+
OG_1470	OGOG01000008	47056	47217	+
OG_2473	OGOG01000008	47214	47423	+
OG_2537	OGOG01000008	47416	47751	+
OG_1747	OGOG01000008	47860	48267	+
OG_14	OGOG01000008	48267	48716	+
OG_2474	OGOG01000008	48727	48981	+
OG_32	OGOG01000008	49034	50218	+
OG_3094	OGOG01000008	50244	50768	+
OG_2475	OGOG01000008	50771	51130	+
OG_2476	OGOG01000008	51201	51593	+
