GeneID	Chr	Start	End	Strand
OG_2238	OJSE01000052	3	224	+
OG_1500	OJSE01000052	596	1135	+
OG_2813	OJSE01000052	1332	1457	+
OG_1569	OJSE01000052	1694	1900	+
OG_2233	OJSE01000052	2889	3149	+
OG_1795	OJSE01000052	3326	3508	+
OG_1587	OJSE01000052	3733	4137	+
OG_373	OJSE01000052	4134	4475	+
OG_107	OJSE01000052	4490	4804	+
OG_4790	OJSE01000052	4978	5226	+
OG_2986	OJSE01000052	5210	5401	+
OG_1567	OJSE01000052	5388	5621	+
OG_1499	OJSE01000052	5741	5995	+
OG_3533	OJSE01000052	5992	6759	+
OG_1495	OJSE01000052	6865	7113	+
OG_1564	OJSE01000052	7094	7387	+
OG_1563	OJSE01000052	7338	7721	+
OG_1562	OJSE01000052	7733	8002	+
OG_1561	OJSE01000052	8004	8477	+
OG_1560	OJSE01000052	8461	8865	+
OG_1559	OJSE01000052	8944	9195	+
OG_108	OJSE01000052	9192	9305	+
OG_1558	OJSE01000052	9296	9511	+
OG_1784	OJSE01000052	9679	10149	+
OG_1264	OJSE01000052	10161	10916	+
OG_1494	OJSE01000052	10967	11662	+
OG_1555	OJSE01000052	11670	11984	+
OG_1494	OJSE01000052	11994	12191	+
OG_2987	OJSE01000052	12296	12487	+
OG_2987	OJSE01000052	12444	12770	+
OG_1493	OJSE01000052	12779	13171	+
OG_1554	OJSE01000052	13168	13401	+
OG_2234	OJSE01000052	13413	14309	+
OG_2989	OJSE01000052	14320	14478	+
OG_2988	OJSE01000052	14424	14600	+
OG_2043	OJSE01000052	14613	15674	+
OG_308	OJSE01000052	15721	16464	+
OG_308	OJSE01000052	16469	17200	+
OG_1549	OJSE01000052	17261	17479	+
OG_6	OJSE01000052	17491	18345	+
OG_1490	OJSE01000052	18357	19163	+
OG_98	OJSE01000052	19170	19544	+
OG_1783	OJSE01000052	19625	19945	+
OG_1517	OJSE01000052	20046	20312	+
OG_2990	OJSE01000052	20346	20594	+
OG_1489	OJSE01000052	20601	20816	+
OG_1892	OJSE01000052	20800	21465	+
OG_1546	OJSE01000052	21542	21796	+
OG_2818	OJSE01000052	21808	22263	+
OG_1488	OJSE01000052	22492	22980	+
OG_1785	OJSE01000052	22946	23122	+
OG_1893	OJSE01000052	23119	24438	+
OG_1487	OJSE01000052	24461	25474	+
OG_1544	OJSE01000052	25452	25805	+
OG_1543	OJSE01000052	25807	26064	+
OG_1927	OJSE01000052	26031	26597	+
OG_1481	OJSE01000052	26650	26928	+
OG_448	OJSE01000052	26906	28024	+
OG_122	OJSE01000052	28039	28641	+
OG_112	OJSE01000052	28657	28854	+
OG_1486	OJSE01000052	28857	29570	+
OG_1542	OJSE01000052	29558	29809	+
OG_1541	OJSE01000052	29799	30287	+
OG_1540	OJSE01000052	30385	30699	+
OG_1485	OJSE01000052	30696	31715	+
OG_1539	OJSE01000052	31712	31885	+
OG_1538	OJSE01000052	31882	32226	+
OG_1537	OJSE01000052	32207	32590	+
OG_99	OJSE01000052	32580	34001	+
OG_1536	OJSE01000052	33998	34360	+
OG_129	OJSE01000052	34448	35164	+
OG_1535	OJSE01000052	35166	35453	+
OG_447	OJSE01000052	35515	36063	+
OG_1533	OJSE01000052	36060	36368	+
OG_1532	OJSE01000052	36370	36891	+
OG_1789	OJSE01000052	36945	37640	+
OG_1789	OJSE01000052	37670	38140	+
OG_1530	OJSE01000052	38157	38894	+
OG_1529	OJSE01000052	38891	39082	+
OG_1789	OJSE01000052	39168	40400	+
OG_4085	OJSE01000052	40620	41108	+
OG_1526	OJSE01000052	41198	41935	-
OG_121	OJSE01000052	41940	42557	-
OG_130	OJSE01000052	42772	49194	-
OG_1484	OJSE01000052	49339	49662	-
OG_1525	OJSE01000052	49766	50116	-
OG_105	OJSE01000052	50441	51130	-
OG_4769	OJSE01000052	51144	51785	-
OG_1523	OJSE01000052	51806	52021	-
OG_1522	OJSE01000052	52018	52245	-
OG_319	OJSE01000052	52709	53002	-
OG_91	OJSE01000052	53096	53473	-
OG_304	OJSE01000052	53481	53969	-
OG_123	OJSE01000052	53926	54201	-
OG_130	OJSE01000052	54907	57165	-
OG_1521	OJSE01000052	57192	57722	-
OG_62	OJSE01000052	57725	64135	-
OG_362	OJSE01000052	64139	67162	-
OG_90	OJSE01000052	67162	69966	-
OG_2259	OJSE01000052	70035	71054	-
OG_48	OJSE01000052	71812	74232	-
OG_427	OJSE01000052	74216	74629	-
OG_2232	OJSE01000052	74755	76389	-
OG_360	OJSE01000052	77038	77649	+
OG_408	OJSE01000052	77694	84464	-
OG_3387	OJSE01000052	84546	85055	-
OG_1956	OJSE01000052	85065	85811	-
OG_4674	OJSE01000052	85842	86312	-
OG_813	OJSE01000052	86305	86766	-
OG_1515	OJSE01000052	86750	87880	-
OG_227	OJSE01000052	87885	88613	-
OG_1588	OJSE01000052	88619	88783	-
OG_581	OJSE01000052	88780	89676	-
OG_123	OJSE01000052	89867	90709	-
OG_1231	OJSE01000052	90811	91305	-
OG_89	OJSE01000052	91376	92080	-
OG_1586	OJSE01000052	92077	92466	-
OG_461	OJSE01000052	92435	92614	-
OG_1585	OJSE01000052	92914	93036	-
OG_100	OJSE01000052	93166	97677	-
OG_88	OJSE01000052	97674	98444	-
OG_87	OJSE01000052	98461	98847	-
OG_1514	OJSE01000052	98864	99286	-
OG_1584	OJSE01000052	99270	99548	-
OG_1583	OJSE01000052	99523	99876	-
OG_124	OJSE01000052	99934	100305	-
OG_124	OJSE01000052	100677	101243	-
OG_103	OJSE01000052	101746	103803	-
OG_86	OJSE01000052	103806	104444	-
OG_1513	OJSE01000052	104441	104692	-
OG_1512	OJSE01000052	104694	105020	-
OG_2984	OJSE01000052	104963	105082	-
OG_907	OJSE01000052	105042	105920	-
OG_2259	OJSE01000052	106003	107052	-
OG_1582	OJSE01000052	107785	108237	-
OG_1511	OJSE01000052	108234	108797	-
OG_1789	OJSE01000052	108841	110031	-
OG_65	OJSE01000052	110120	110581	-
OG_169	OJSE01000052	110713	111825	-
OG_70	OJSE01000052	111841	112902	-
OG_1581	OJSE01000052	112905	113123	-
OG_231	OJSE01000052	113210	113482	-
OG_322	OJSE01000052	113490	115235	-
OG_1580	OJSE01000052	115235	115519	-
OG_1510	OJSE01000052	115531	117273	-
