GeneID	Chr	Start	End	Strand
OG_2276	OHEN01000023	54	242	-
OG_476	OHEN01000023	263	667	-
OG_1777	OHEN01000023	664	942	-
OG_3725	OHEN01000023	939	1307	-
OG_111	OHEN01000023	1304	2080	-
OG_2267	OHEN01000023	2052	2495	-
OG_3106	OHEN01000023	2488	2880	-
OG_93	OHEN01000023	2893	3387	-
OG_2266	OHEN01000023	3339	3494	-
OG_1946	OHEN01000023	3491	4003	-
OG_1945	OHEN01000023	3976	4431	-
OG_1489	OHEN01000023	4435	4665	-
OG_1944	OHEN01000023	4658	4774	-
OG_147	OHEN01000023	4771	5355	-
OG_2282	OHEN01000023	5381	5596	-
OG_1787	OHEN01000023	5607	5978	-
OG_4779	OHEN01000023	5986	6381	-
OG_1943	OHEN01000023	6378	6572	-
OG_4781	OHEN01000023	6687	6893	-
OG_1941	OHEN01000023	6847	7266	-
OG_1940	OHEN01000023	7263	7751	-
OG_2280	OHEN01000023	7699	7926	-
OG_102	OHEN01000023	7951	8967	-
OG_1939	OHEN01000023	8973	9368	-
OG_148	OHEN01000023	9382	9522	-
OG_148	OHEN01000023	9503	9658	-
OG_2279	OHEN01000023	9729	9929	-
OG_1938	OHEN01000023	9929	10168	-
OG_1515	OHEN01000023	10469	11614	-
OG_1936	OHEN01000023	11619	11894	-
OG_1520	OHEN01000023	11896	12222	-
OG_447	OHEN01000023	12198	12830	-
OG_2265	OHEN01000023	12832	13137	-
OG_1935	OHEN01000023	13154	13375	-
OG_3107	OHEN01000023	13378	13746	-
OG_1501	OHEN01000023	13748	14614	-
OG_99	OHEN01000023	14611	16071	-
OG_1933	OHEN01000023	16084	16674	-
OG_1485	OHEN01000023	16740	17765	-
OG_1931	OHEN01000023	17746	18168	-
OG_1930	OHEN01000023	18155	18256	-
OG_1542	OHEN01000023	18256	18543	-
OG_1542	OHEN01000023	18530	18814	-
OG_1486	OHEN01000023	18818	19495	-
OG_1929	OHEN01000023	19528	19866	-
OG_122	OHEN01000023	19826	20467	-
OG_448	OHEN01000023	20469	21611	-
OG_1481	OHEN01000023	21608	21895	-
OG_1928	OHEN01000023	21861	22286	-
OG_1927	OHEN01000023	22252	22815	-
OG_1802	OHEN01000023	22812	23099	-
OG_1487	OHEN01000023	23083	24036	-
OG_1893	OHEN01000023	24036	25457	-
OG_1488	OHEN01000023	25427	25927	-
OG_1926	OHEN01000023	25924	26292	-
OG_2818	OHEN01000023	26231	26701	-
OG_1892	OHEN01000023	26703	27389	-
OG_1925	OHEN01000023	27367	27648	-
OG_3399	OHEN01000023	27753	27965	-
OG_3108	OHEN01000023	27962	28360	-
OG_1790	OHEN01000023	28429	29568	+
OG_2043	OHEN01000023	29692	30753	-
OG_1554	OHEN01000023	30777	31013	-
OG_1493	OHEN01000023	31010	31402	-
OG_1922	OHEN01000023	31399	32103	-
OG_3109	OHEN01000023	32126	32242	-
OG_1920	OHEN01000023	32235	32969	-
OG_1921	OHEN01000023	32998	33336	-
OG_1919	OHEN01000023	33343	33732	-
OG_1898	OHEN01000023	33831	34016	-
OG_1897	OHEN01000023	34013	34942	-
UG_273	OHEN01000023	35101	35493	+
UG_274	OHEN01000023	35474	35596	-
OG_4396	OHEN01000023	35690	36115	-
UG_275	OHEN01000023	36188	36892	-
UG_276	OHEN01000023	36889	37350	-
UG_277	OHEN01000023	37827	38078	+
OG_2272	OHEN01000023	38209	38502	-
OG_42	OHEN01000023	38526	38888	-
OG_4725	OHEN01000023	38948	39499	-
OG_1917	OHEN01000023	39677	39919	-
OG_96	OHEN01000023	39900	40400	-
OG_1495	OHEN01000023	40402	40626	-
OG_1916	OHEN01000023	40628	41080	-
OG_1915	OHEN01000023	41148	41504	-
OG_1498	OHEN01000023	41477	41764	-
OG_1914	OHEN01000023	41761	42066	-
OG_1565	OHEN01000023	42096	42326	-
OG_3078	OHEN01000023	42317	42784	-
OG_1894	OHEN01000023	42878	43150	-
OG_883	OHEN01000023	43162	43404	-
OG_1913	OHEN01000023	44468	44674	-
OG_1500	OHEN01000023	45344	45910	-
OG_1957	OHEN01000023	46035	46295	+
OG_4770	OHEN01000023	46543	46797	+
OG_1911	OHEN01000023	46794	47072	+
OG_1910	OHEN01000023	47097	47375	-
OG_642	OHEN01000023	47372	47557	-
OG_211	OHEN01000023	47566	48096	-
OG_1502	OHEN01000023	48093	48842	-
OG_1909	OHEN01000023	48820	49110	-
OG_1901	OHEN01000023	49591	50190	-
OG_82	OHEN01000023	50190	50501	-
OG_478	OHEN01000023	50494	51102	-
OG_1907	OHEN01000023	51074	51622	-
OG_1906	OHEN01000023	51622	51879	-
OG_1503	OHEN01000023	51906	52694	-
OG_1504	OHEN01000023	52713	53813	-
OG_1505	OHEN01000023	53889	54473	-
OG_1905	OHEN01000023	54470	54769	-
OG_1904	OHEN01000023	54738	55097	-
OG_110	OHEN01000023	55100	56086	-
OG_434	OHEN01000023	56086	57495	-
OG_2259	OHEN01000023	57599	58648	-
OG_83	OHEN01000023	59675	60088	+
OG_1508	OHEN01000023	60081	60521	+
OG_1214	OHEN01000023	60527	61225	+
OG_1509	OHEN01000023	61231	61479	+
OG_1903	OHEN01000023	61476	62030	+
OG_1902	OHEN01000023	61999	62319	+
OG_64	OHEN01000023	62316	65105	+
OG_47	OHEN01000023	65156	67918	+
OG_106	OHEN01000023	68053	69207	+
OG_1040	OHEN01000023	69226	70929	+
OG_84	OHEN01000023	71014	72081	+
OG_85	OHEN01000023	72084	72758	+
OG_459	OHEN01000023	72823	73569	-
OG_1212	OHEN01000023	73981	75954	+
OG_1510	OHEN01000023	76053	78386	+
OG_104	OHEN01000023	78397	80790	+
OG_4775	OHEN01000023	80795	82360	+
OG_4776	OHEN01000023	82357	83973	+
OG_4777	OHEN01000023	83966	85342	+
OG_1955	OHEN01000023	85401	86087	+
OG_65	OHEN01000023	86089	86538	+
OG_1511	OHEN01000023	86597	87145	+
OG_1952	OHEN01000023	87123	87626	+
OG_907	OHEN01000023	87870	88748	+
OG_1512	OHEN01000023	88767	89120	+
OG_1513	OHEN01000023	89092	89334	+
