GeneID	Chr	Start	End	Strand
OG_208	OMDC01000016	1	1320	-
OG_211	OMDC01000016	1391	1948	-
OG_189	OMDC01000016	2752	3075	-
OG_233	OMDC01000016	3086	3472	-
OG_750	OMDC01000016	3450	3680	-
OG_751	OMDC01000016	3680	4108	-
OG_752	OMDC01000016	4110	4520	-
OG_427	OMDC01000016	4811	5209	+
OG_763	OMDC01000016	5206	5676	+
OG_2006	OMDC01000016	5651	5770	+
OG_222	OMDC01000016	5848	6276	+
OG_1185	OMDC01000016	6391	6663	+
OG_178	OMDC01000016	6760	7005	+
OG_280	OMDC01000016	7005	7406	+
OG_1612	OMDC01000016	7381	7521	+
OG_1880	OMDC01000016	7679	8251	+
OG_4850	OMDC01000016	8305	8655	+
OG_764	OMDC01000016	9631	9906	+
OG_765	OMDC01000016	9903	10136	+
OG_1196	OMDC01000016	10280	10696	+
OG_1195	OMDC01000016	10665	10919	+
OG_586	OMDC01000016	10922	11110	+
OG_768	OMDC01000016	11112	11489	+
OG_3326	OMDC01000016	11486	11941	+
OG_3197	OMDC01000016	12003	12098	-
OG_1194	OMDC01000016	12132	12404	+
OG_349	OMDC01000016	13090	13587	+
OG_778	OMDC01000016	13584	14003	+
OG_1193	OMDC01000016	14006	14152	+
OG_780	OMDC01000016	14118	14351	+
OG_753	OMDC01000016	14388	14882	+
OG_756	OMDC01000016	15722	16222	+
OG_757	OMDC01000016	16235	16723	+
OG_841	OMDC01000016	16681	17238	+
OG_193	OMDC01000016	17244	17639	+
OG_362	OMDC01000016	17706	19217	+
OG_1187	OMDC01000016	19319	19720	+
OG_2248	OMDC01000016	19683	19856	+
OG_4578	OMDC01000016	19903	20106	-
OG_2007	OMDC01000016	20116	20616	-
OG_438	OMDC01000016	21901	22509	+
OG_214	OMDC01000016	22494	23078	+
OG_175	OMDC01000016	23355	23903	+
OG_2735	OMDC01000016	24028	25014	+
OG_782	OMDC01000016	25032	25694	+
OG_717	OMDC01000016	25790	27700	+
OG_338	OMDC01000016	27722	28288	+
OG_448	OMDC01000016	28269	29195	+
OG_770	OMDC01000016	29219	29674	+
OG_306	OMDC01000016	29700	30146	+
OG_305	OMDC01000016	30143	30766	+
OG_306	OMDC01000016	30876	31283	+
OG_416	OMDC01000016	31374	31979	+
OG_323	OMDC01000016	32702	33673	+
OG_1186	OMDC01000016	33666	33980	+
OG_74	OMDC01000016	33961	34347	+
OG_32	OMDC01000016	34368	35261	+
OG_275	OMDC01000016	35261	36298	+
OG_1190	OMDC01000016	36304	36441	+
OG_1188	OMDC01000016	36434	36826	+
OG_130	OMDC01000016	36873	42710	-
OG_62	OMDC01000016	42713	46450	-
OG_356	OMDC01000016	46479	47180	-
OG_62	OMDC01000016	47244	59684	-
OG_125	OMDC01000016	59694	61607	-
OG_190	OMDC01000016	61619	63256	-
OG_190	OMDC01000016	63240	64025	-
OG_408	OMDC01000016	64016	68659	-
OG_583	OMDC01000016	68649	69512	-
OG_351	OMDC01000016	69487	69957	-
OG_456	OMDC01000016	69932	70624	-
OG_191	OMDC01000016	70621	71271	-
OG_772	OMDC01000016	71222	71527	-
OG_1156	OMDC01000016	71524	71949	-
OG_224	OMDC01000016	71946	79442	-
OG_176	OMDC01000016	79439	83608	-
OG_773	OMDC01000016	83620	84537	-
OG_1149	OMDC01000016	84600	85730	-
OG_439	OMDC01000016	85808	86503	-
OG_439	OMDC01000016	86503	87249	-
OG_462	OMDC01000016	87246	87974	-
OG_446	OMDC01000016	87990	88742	-
OG_1038	OMDC01000016	88822	90357	-
OG_106	OMDC01000016	90376	91572	-
OG_229	OMDC01000016	91643	91987	-
OG_428	OMDC01000016	91990	93012	-
OG_47	OMDC01000016	93012	95483	-
OG_64	OMDC01000016	95487	97553	-
OG_396	OMDC01000016	97562	98071	-
OG_813	OMDC01000016	98071	98391	-
OG_300	OMDC01000016	98398	101148	-
OG_319	OMDC01000016	101220	101711	-
OG_304	OMDC01000016	101680	102183	-
OG_268	OMDC01000016	102241	103044	-
OG_208	OMDC01000016	103260	103412	-
