GeneID	Chr	Start	End	Strand
OG_1913	OFMU01000028	788	994	-
OG_1500	OFMU01000028	1678	2208	-
OG_1912	OFMU01000028	2820	3308	+
OG_4770	OFMU01000028	3446	3700	+
OG_1911	OFMU01000028	3712	3975	+
OG_105	OFMU01000028	4001	4606	-
OG_1910	OFMU01000028	4629	4904	-
OG_211	OFMU01000028	4901	5431	-
OG_1502	OFMU01000028	5428	6177	-
OG_1909	OFMU01000028	6155	6445	-
OG_473	OFMU01000028	6533	7768	-
OG_1901	OFMU01000028	8386	8985	-
OG_82	OFMU01000028	8985	9296	-
OG_478	OFMU01000028	9289	9891	-
OG_1907	OFMU01000028	9863	10411	-
OG_1906	OFMU01000028	10411	10668	-
OG_1503	OFMU01000028	10695	11519	-
OG_1504	OFMU01000028	11538	12638	-
OG_1505	OFMU01000028	12714	13298	-
OG_1905	OFMU01000028	13295	13594	-
OG_1904	OFMU01000028	13563	13922	-
OG_110	OFMU01000028	13925	14911	-
OG_434	OFMU01000028	14911	16320	-
OG_2259	OFMU01000028	16424	17473	-
OG_83	OFMU01000028	18509	18922	+
OG_1508	OFMU01000028	18915	19355	+
OG_1214	OFMU01000028	19357	20055	+
OG_1509	OFMU01000028	20060	20308	+
OG_1903	OFMU01000028	20305	20859	+
OG_1902	OFMU01000028	20828	21148	+
OG_64	OFMU01000028	21145	25077	+
OG_47	OFMU01000028	25128	27890	+
OG_106	OFMU01000028	28025	29182	+
OG_1040	OFMU01000028	29202	30905	+
OG_84	OFMU01000028	30984	32042	+
OG_85	OFMU01000028	32045	32719	+
OG_459	OFMU01000028	32780	33526	-
OG_1212	OFMU01000028	33938	35911	+
OG_1789	OFMU01000028	35991	37181	+
OG_1510	OFMU01000028	37224	39557	+
OG_104	OFMU01000028	39568	41961	+
OG_4775	OFMU01000028	41963	43528	+
OG_4776	OFMU01000028	43525	45141	+
OG_4777	OFMU01000028	45134	46510	+
OG_1955	OFMU01000028	46569	47255	+
OG_65	OFMU01000028	47257	47706	+
OG_1511	OFMU01000028	47765	48313	+
OG_1952	OFMU01000028	48288	48791	+
OG_1961	OFMU01000028	49743	50801	+
OG_1960	OFMU01000028	50814	51395	+
OG_907	OFMU01000028	51445	52323	+
OG_1512	OFMU01000028	52342	52695	+
OG_1513	OFMU01000028	52667	52909	+
OG_1951	OFMU01000028	52906	53166	+
OG_123	OFMU01000028	53473	54402	+
OG_86	OFMU01000028	54509	55354	+
OG_1950	OFMU01000028	55504	55905	+
OG_1949	OFMU01000028	55905	56138	+
OG_1514	OFMU01000028	56140	56559	+
OG_87	OFMU01000028	56552	56866	+
OG_88	OFMU01000028	56868	57671	+
OG_100	OFMU01000028	57673	62151	+
OG_1954	OFMU01000028	62627	62728	+
OG_89	OFMU01000028	62768	63463	+
OG_4770	OFMU01000028	63465	63737	+
OG_1231	OFMU01000028	64572	65039	+
OG_581	OFMU01000028	65134	66018	+
OG_227	OFMU01000028	66033	66752	+
OG_1948	OFMU01000028	66895	67395	+
OG_1790	OFMU01000028	67564	67773	+
OG_1790	OFMU01000028	68020	68703	+
OG_408	OFMU01000028	68783	75301	+
OG_2258	OFMU01000028	75333	75509	+
OG_471	OFMU01000028	75598	79404	+
OG_1900	OFMU01000028	79439	79816	+
OG_90	OFMU01000028	79919	82639	+
OG_131	OFMU01000028	82643	85630	+
OG_62	OFMU01000028	85617	90476	+
OG_1947	OFMU01000028	90658	91170	+
OG_123	OFMU01000028	91361	92266	+
OG_130	OFMU01000028	92440	94677	+
OG_268	OFMU01000028	94926	95117	+
OG_268	OFMU01000028	95128	95934	+
OG_352	OFMU01000028	95958	96374	+
OG_304	OFMU01000028	96428	96925	+
OG_91	OFMU01000028	96927	97295	+
OG_319	OFMU01000028	97389	97682	+
OG_1484	OFMU01000028	97913	98242	+
OG_70	OFMU01000028	98321	100345	+
OG_169	OFMU01000028	100357	101406	+
OG_426	OFMU01000028	101495	102154	+
OG_426	OFMU01000028	102251	102568	+
OG_92	OFMU01000028	102693	102971	+
OG_427	OFMU01000028	102968	103369	+
