GeneID	Chr	Start	End	Strand
OG_417	OCLL01000003	2	1492	-
OG_630	OCLL01000003	1489	1746	-
OG_593	OCLL01000003	1733	2233	-
OG_211	OCLL01000003	2233	2781	-
OG_433	OCLL01000003	2816	3292	-
OG_334	OCLL01000003	3246	3362	-
OG_36	OCLL01000003	3454	5625	-
OG_275	OCLL01000003	5622	6002	-
OG_333	OCLL01000003	6251	7057	-
OG_275	OCLL01000003	7151	7786	-
OG_423	OCLL01000003	7803	8078	-
OG_74	OCLL01000003	8026	8565	-
OG_658	OCLL01000003	8558	9097	-
OG_1096	OCLL01000003	9111	9614	-
OG_356	OCLL01000003	9753	10454	-
OG_1096	OCLL01000003	10534	10719	-
OG_3114	OCLL01000003	10716	11060	-
OG_333	OCLL01000003	11236	12054	-
OG_3114	OCLL01000003	12146	12763	-
OG_3160	OCLL01000003	12751	14922	-
OG_589	OCLL01000003	14986	15270	-
OG_323	OCLL01000003	15263	16252	-
OG_585	OCLL01000003	16259	17197	-
OG_611	OCLL01000003	17226	17624	-
OG_306	OCLL01000003	17636	18442	-
OG_441	OCLL01000003	18435	19607	-
OG_161	OCLL01000003	19604	20197	-
OG_390	OCLL01000003	20194	21303	-
OG_333	OCLL01000003	21513	22310	-
UG_199	OCLL01000003	22375	22470	-
OG_1617	OCLL01000003	22467	23012	-
OG_607	OCLL01000003	23109	23510	-
OG_838	OCLL01000003	23514	23858	-
OG_3043	OCLL01000003	24564	26390	-
OG_3044	OCLL01000003	26475	26918	-
OG_259	OCLL01000003	26923	27087	-
UG_200	OCLL01000003	27084	27794	-
OG_958	OCLL01000003	27813	28256	-
OG_648	OCLL01000003	29316	29510	-
OG_1466	OCLL01000003	29516	29824	-
OG_1736	OCLL01000003	30436	30675	-
OG_1026	OCLL01000003	30662	30970	-
UG_201	OCLL01000003	30967	31080	-
OG_4789	OCLL01000003	31221	31532	-
OG_296	OCLL01000003	31953	32252	-
OG_4789	OCLL01000003	32380	32691	-
OG_1463	OCLL01000003	33194	33388	+
OG_1471	OCLL01000003	33740	33970	+
UG_202	OCLL01000003	33972	34061	+
OG_598	OCLL01000003	34608	34811	+
OG_597	OCLL01000003	34813	35043	+
OG_819	OCLL01000003	35047	35433	+
OG_749	OCLL01000003	35430	35702	+
OG_596	OCLL01000003	35686	36108	+
OG_148	OCLL01000003	36120	36332	+
OG_407	OCLL01000003	36313	36861	+
OG_3120	OCLL01000003	36858	37124	+
OG_64	OCLL01000003	37117	40368	+
OG_47	OCLL01000003	40458	42866	+
OG_70	OCLL01000003	42868	43491	+
OG_291	OCLL01000003	43496	46654	+
OG_625	OCLL01000003	46940	47332	+
OG_252	OCLL01000003	47332	47703	+
OG_258	OCLL01000003	47675	47851	+
OG_1156	OCLL01000003	47832	48311	+
OG_612	OCLL01000003	48314	48415	+
OG_180	OCLL01000003	48477	48776	+
OG_225	OCLL01000003	48733	49062	+
OG_427	OCLL01000003	49025	49363	+
OG_431	OCLL01000003	49822	50961	+
OG_1038	OCLL01000003	50977	52482	+
OG_446	OCLL01000003	52533	53429	+
OG_414	OCLL01000003	53446	54225	+
OG_414	OCLL01000003	54231	54917	+
OG_1152	OCLL01000003	54935	56002	+
OG_595	OCLL01000003	56067	56714	+
OG_162	OCLL01000003	56683	57021	+
OG_393	OCLL01000003	57049	57831	+
OG_351	OCLL01000003	57831	58364	+
OG_209	OCLL01000003	58349	59089	+
OG_583	OCLL01000003	59089	59775	+
OG_408	OCLL01000003	59778	64253	+
OG_229	OCLL01000003	64360	67086	+
OG_594	OCLL01000003	67086	68378	+
OG_62	OCLL01000003	68389	76107	+
OG_62	OCLL01000003	76150	79995	-
OG_62	OCLL01000003	79996	89343	-
OG_540	OCLL01000003	89469	89687	-
OG_53	OCLL01000003	89690	90310	-
OG_3118	OCLL01000003	90300	90863	-
OG_332	OCLL01000003	91028	91513	-
UG_203	OCLL01000003	91520	91651	-
UG_204	OCLL01000003	91623	91730	-
OG_915	OCLL01000003	91771	92100	-
OG_3119	OCLL01000003	92191	92367	-
OG_938	OCLL01000003	92371	92535	-
OG_1797	OCLL01000003	92547	92690	-
UG_205	OCLL01000003	92693	93256	-
UG_206	OCLL01000003	93264	93362	-
UG_207	OCLL01000003	93391	93606	-
OG_3117	OCLL01000003	93603	94490	-
OG_601	OCLL01000003	94627	94929	-
OG_603	OCLL01000003	94922	95116	-
OG_3115	OCLL01000003	95174	95413	-
OG_299	OCLL01000003	95410	95850	-
OG_417	OCLL01000003	95863	96486	-
