GeneID	Chr	Start	End	Strand
OG_1569	OMGY01000027	843	1049	-
OG_1570	OMGY01000027	1072	1242	-
OG_1500	OMGY01000027	1798	2337	-
OG_2985	OMGY01000027	2699	2866	-
OG_1482	OMGY01000027	3042	3413	-
OG_1501	OMGY01000027	3410	4378	-
OG_49	OMGY01000027	4391	4951	-
OG_1571	OMGY01000027	4948	5358	-
OG_155	OMGY01000027	5518	6165	+
OG_1572	OMGY01000027	6196	6465	-
OG_1502	OMGY01000027	6462	7154	-
OG_4752	OMGY01000027	8125	8853	-
OG_211	OMGY01000027	8878	9528	-
OG_1573	OMGY01000027	9531	9779	-
OG_1503	OMGY01000027	9835	10803	-
OG_1504	OMGY01000027	10816	11925	-
OG_1505	OMGY01000027	12022	12555	-
OG_1574	OMGY01000027	12562	12996	-
OG_1575	OMGY01000027	12993	13241	-
OG_1576	OMGY01000027	13246	13548	-
OG_127	OMGY01000027	13545	14417	-
OG_434	OMGY01000027	14429	15856	-
OG_1577	OMGY01000027	16114	17727	-
OG_83	OMGY01000027	18030	18470	+
OG_1508	OMGY01000027	18457	18906	+
OG_1214	OMGY01000027	18910	19647	+
OG_1509	OMGY01000027	19651	19932	+
OG_1578	OMGY01000027	19919	20440	+
OG_1579	OMGY01000027	20418	20756	+
OG_64	OMGY01000027	20797	23532	+
OG_47	OMGY01000027	23574	26333	+
OG_106	OMGY01000027	26460	27626	+
OG_1040	OMGY01000027	27649	29349	+
OG_84	OMGY01000027	29425	30513	+
OG_85	OMGY01000027	30517	31191	+
OG_1212	OMGY01000027	31334	33322	+
OG_1510	OMGY01000027	33413	35155	+
OG_1580	OMGY01000027	35167	35451	+
OG_322	OMGY01000027	35451	37574	+
OG_231	OMGY01000027	37576	37848	+
OG_1790	OMGY01000027	38033	39172	-
OG_1581	OMGY01000027	39196	39444	+
OG_70	OMGY01000027	39447	40496	+
OG_169	OMGY01000027	40512	41624	+
OG_65	OMGY01000027	41756	42217	+
OG_1511	OMGY01000027	42219	42806	+
OG_1582	OMGY01000027	42803	43255	+
OG_907	OMGY01000027	43339	44217	+
OG_1512	OMGY01000027	44239	44565	+
OG_473	OMGY01000027	44868	46094	+
OG_1513	OMGY01000027	46118	46369	+
OG_86	OMGY01000027	46366	47004	+
OG_103	OMGY01000027	47007	49064	+
OG_124	OMGY01000027	49592	50911	+
OG_1583	OMGY01000027	50970	51323	+
OG_1584	OMGY01000027	51298	51576	+
OG_1514	OMGY01000027	51560	51982	+
OG_87	OMGY01000027	51999	52385	+
OG_88	OMGY01000027	52401	53171	+
OG_100	OMGY01000027	53168	57658	+
OG_1585	OMGY01000027	57788	57910	+
OG_461	OMGY01000027	57973	58392	+
OG_1586	OMGY01000027	58361	58750	+
OG_89	OMGY01000027	58747	59451	+
OG_459	OMGY01000027	59510	60259	-
OG_1231	OMGY01000027	60405	60899	+
OG_123	OMGY01000027	61019	61969	+
OG_581	OMGY01000027	62055	62951	+
OG_1588	OMGY01000027	62948	63115	+
