GeneID	Chr	Start	End	Strand
OG_1913	OGZF01000022	790	996	-
OG_1500	OGZF01000022	1662	2198	-
OG_1957	OGZF01000022	2360	2686	+
OG_457	OGZF01000022	2759	3514	+
OG_1912	OGZF01000022	3795	4295	+
OG_457	OGZF01000022	4583	5332	-
OG_4770	OGZF01000022	5580	5834	+
OG_1911	OGZF01000022	5831	6109	+
OG_1910	OGZF01000022	6134	6406	-
OG_211	OGZF01000022	6409	6939	-
OG_1502	OGZF01000022	6936	7685	-
OG_1909	OGZF01000022	7663	7953	-
OG_1901	OGZF01000022	8433	9032	-
OG_82	OGZF01000022	9029	9385	-
OG_478	OGZF01000022	9336	9944	-
OG_1907	OGZF01000022	9910	10458	-
OG_1906	OGZF01000022	10458	10715	-
OG_1503	OGZF01000022	10742	11566	-
OG_1504	OGZF01000022	11585	12685	-
OG_1505	OGZF01000022	12761	13345	-
OG_1905	OGZF01000022	13342	13608	-
OG_1904	OGZF01000022	13610	13969	-
OG_110	OGZF01000022	13972	14958	-
OG_434	OGZF01000022	14958	16367	-
OG_2259	OGZF01000022	16471	17520	-
OG_83	OGZF01000022	18326	18739	+
OG_1508	OGZF01000022	18732	19172	+
OG_1214	OGZF01000022	19174	19872	+
OG_1509	OGZF01000022	19877	20125	+
OG_1903	OGZF01000022	20131	20676	+
OG_1902	OGZF01000022	20645	20962	+
OG_64	OGZF01000022	20962	24894	+
OG_47	OGZF01000022	24945	27707	+
OG_106	OGZF01000022	27842	28999	+
OG_1040	OGZF01000022	29019	30722	+
OG_84	OGZF01000022	30807	31868	+
OG_85	OGZF01000022	31865	32545	+
OG_1212	OGZF01000022	32718	34691	+
OG_1510	OGZF01000022	34790	37123	+
OG_104	OGZF01000022	37135	39528	+
OG_4775	OGZF01000022	39533	41098	+
OG_4776	OGZF01000022	41095	42711	+
OG_4777	OGZF01000022	42704	44080	+
OG_1955	OGZF01000022	44140	44826	+
OG_65	OGZF01000022	44828	45277	+
OG_1511	OGZF01000022	45336	45884	+
OG_1952	OGZF01000022	45859	46362	+
OG_1961	OGZF01000022	47318	48370	+
OG_1960	OGZF01000022	48375	49010	+
OG_907	OGZF01000022	49064	49942	+
OG_1512	OGZF01000022	49961	50314	+
OG_1951	OGZF01000022	50525	50785	+
OG_463	OGZF01000022	50929	51612	+
OG_86	OGZF01000022	51653	52498	+
OG_1950	OGZF01000022	52643	53044	+
OG_1949	OGZF01000022	53044	53277	+
OG_1514	OGZF01000022	53279	53698	+
OG_87	OGZF01000022	53691	54005	+
OG_88	OGZF01000022	54007	54810	+
OG_1789	OGZF01000022	54873	56060	+
OG_100	OGZF01000022	56086	60582	+
OG_1954	OGZF01000022	61097	61198	+
OG_89	OGZF01000022	61276	61932	+
OG_4770	OGZF01000022	61934	62206	+
OG_100	OGZF01000022	62241	62687	-
OG_1231	OGZF01000022	62732	63139	+
