GeneID	Chr	Start	End	Strand
OG_1288	OLVX01000015	173	646	+
UG_512	OLVX01000015	748	1176	+
OG_2970	OLVX01000015	1273	1659	+
OG_985	OLVX01000015	1848	2189	+
OG_1392	OLVX01000015	2322	2648	+
OG_59	OLVX01000015	2650	3054	+
OG_1394	OLVX01000015	3054	3338	+
OG_1395	OLVX01000015	3379	3570	+
OG_915	OLVX01000015	3588	3917	+
OG_916	OLVX01000015	4596	4865	+
OG_920	OLVX01000015	4838	5188	+
OG_43	OLVX01000015	5191	5793	+
OG_921	OLVX01000015	5795	6652	+
OG_922	OLVX01000015	6695	7480	+
OG_1369	OLVX01000015	7507	7647	+
OG_923	OLVX01000015	7650	8726	+
OG_1396	OLVX01000015	8744	9286	+
OG_1368	OLVX01000015	9288	10031	+
OG_1397	OLVX01000015	10015	10713	+
OG_4149	OLVX01000015	10679	10954	+
OG_4149	OLVX01000015	11214	11579	+
OG_3452	OLVX01000015	11569	12030	+
OG_333	OLVX01000015	12125	12973	+
OG_3452	OLVX01000015	13119	13487	+
OG_2447	OLVX01000015	13475	14794	+
OG_869	OLVX01000015	14817	15989	+
OG_77	OLVX01000015	16116	16616	+
OG_1398	OLVX01000015	16844	17164	+
OG_191	OLVX01000015	17249	17797	+
OG_1370	OLVX01000015	17799	18062	+
OG_1281	OLVX01000015	18055	18558	+
OG_1286	OLVX01000015	18623	18829	+
OG_632	OLVX01000015	18866	19246	+
OG_926	OLVX01000015	19246	19404	+
OG_927	OLVX01000015	19397	19840	+
OG_928	OLVX01000015	19843	20205	+
OG_1279	OLVX01000015	20243	20731	+
OG_334	OLVX01000015	20927	21691	+
OG_4150	OLVX01000015	21892	22296	+
OG_1278	OLVX01000015	22303	23109	+
OG_929	OLVX01000015	23078	23407	+
OG_930	OLVX01000015	23409	24254	+
OG_333	OLVX01000015	24451	25446	+
OG_218	OLVX01000015	25666	26802	+
OG_17	OLVX01000015	26851	27456	+
OG_441	OLVX01000015	27456	27653	+
OG_333	OLVX01000015	27695	28885	+
OG_448	OLVX01000015	29044	30000	+
OG_306	OLVX01000015	30003	30746	+
OG_931	OLVX01000015	30749	31141	+
OG_57	OLVX01000015	31145	31807	+
OG_323	OLVX01000015	31927	32964	+
OG_932	OLVX01000015	33059	33307	+
OG_933	OLVX01000015	33294	33539	+
OG_275	OLVX01000015	33629	34669	+
OG_767	OLVX01000015	34671	35222	+
OG_36	OLVX01000015	35256	37391	+
OG_433	OLVX01000015	37384	37842	+
OG_635	OLVX01000015	37852	38214	+
OG_1463	OLVX01000015	38229	38429	+
OG_211	OLVX01000015	38435	38986	+
OG_434	OLVX01000015	38986	40365	+
OG_934	OLVX01000015	40365	40733	+
OG_917	OLVX01000015	40717	41625	+
OG_3	OLVX01000015	41606	42400	+
OG_3	OLVX01000015	42443	42961	+
OG_935	OLVX01000015	42961	43434	+
OG_1159	OLVX01000015	43534	43902	+
OG_3954	OLVX01000015	43892	44185	+
OG_938	OLVX01000015	44221	44394	+
OG_1277	OLVX01000015	44504	44710	+
OG_105	OLVX01000015	44694	44963	+
OG_717	OLVX01000015	44957	45925	+
OG_333	OLVX01000015	46005	46838	+
OG_253	OLVX01000015	47365	48084	+
OG_717	OLVX01000015	48123	49034	+
UG_513	OLVX01000015	49034	49369	+
OG_4153	OLVX01000015	49374	49499	+
OG_4154	OLVX01000015	49499	49684	+
OG_4825	OLVX01000015	49696	49995	+
UG_514	OLVX01000015	49998	50300	+
OG_312	OLVX01000015	50300	51208	+
OG_3951	OLVX01000015	51195	51320	+
OG_3953	OLVX01000015	51438	51602	+
OG_1549	OLVX01000015	51620	52063	+
OG_3950	OLVX01000015	52053	52688	+
OG_3949	OLVX01000015	52688	52837	+
OG_4148	OLVX01000015	52860	53087	+
OG_4148	OLVX01000015	53397	54329	+
OG_41	OLVX01000015	54335	55540	+
OG_939	OLVX01000015	55542	56762	+
OG_248	OLVX01000015	56766	57461	+
OG_940	OLVX01000015	57483	57650	+
OG_3948	OLVX01000015	57651	58157	+
OG_335	OLVX01000015	58226	62626	-
OG_24	OLVX01000015	62626	64818	-
OG_62	OLVX01000015	65152	71340	-
OG_416	OLVX01000015	71330	79018	-
OG_941	OLVX01000015	79021	80898	-
OG_63	OLVX01000015	80900	85249	-
OG_942	OLVX01000015	85321	85605	-
UG_515	OLVX01000015	85913	86245	-
OG_7	OLVX01000015	86306	86923	-
OG_60	OLVX01000015	86929	87393	-
OG_8	OLVX01000015	87395	88747	-
OG_415	OLVX01000015	88740	93392	-
OG_432	OLVX01000015	93397	97053	-
OG_944	OLVX01000015	97060	97596	-
OG_943	OLVX01000015	97598	98077	-
OG_582	OLVX01000015	98049	98738	-
OG_9	OLVX01000015	98741	99421	-
OG_4151	OLVX01000015	99475	99708	-
OG_21	OLVX01000015	99710	100879	-
OG_462	OLVX01000015	100905	101759	-
OG_446	OLVX01000015	101790	102602	-
OG_1041	OLVX01000015	102714	102998	-
OG_253	OLVX01000015	103053	103955	-
OG_1041	OLVX01000015	104175	104513	-
OG_1041	OLVX01000015	104712	104984	-
OG_253	OLVX01000015	105034	105909	-
OG_1041	OLVX01000015	106086	106640	-
OG_356	OLVX01000015	106741	107403	-
OG_10	OLVX01000015	107605	108711	-
OG_39	OLVX01000015	108803	109990	-
OG_945	OLVX01000015	109990	110316	-
OG_11	OLVX01000015	110442	110888	-
OG_319	OLVX01000015	110890	111309	-
OG_3240	OLVX01000015	111312	111521	-
OG_304	OLVX01000015	111525	112034	-
OG_443	OLVX01000015	112037	112387	-
OG_268	OLVX01000015	112401	113315	-
OG_225	OLVX01000015	113488	113778	-
OG_70	OLVX01000015	113780	116011	-
OG_70	OLVX01000015	116023	119541	-
OG_70	OLVX01000015	119613	121145	-
OG_291	OLVX01000015	121148	122233	-
OG_1373	OLVX01000015	122250	122738	-
OG_70	OLVX01000015	122743	124368	-
OG_300	OLVX01000015	124382	127663	-
OG_946	OLVX01000015	127671	127868	-
OG_947	OLVX01000015	127861	128661	-
OG_47	OLVX01000015	128661	130871	-
OG_948	OLVX01000015	130874	131182	-
OG_64	OLVX01000015	131163	133481	-
OG_396	OLVX01000015	133488	134072	-
OG_48	OLVX01000015	134072	134932	-
OG_1374	OLVX01000015	134935	135147	-
OG_949	OLVX01000015	135156	135401	-
OG_951	OLVX01000015	135436	135960	-
OG_1217	OLVX01000015	135988	136206	-
OG_1215	OLVX01000015	136212	136442	-
OG_429	OLVX01000015	136455	137393	-
OG_66	OLVX01000015	137403	138095	-
OG_229	OLVX01000015	138268	138546	+
OG_404	OLVX01000015	138649	139083	+
OG_75	OLVX01000015	139113	139592	+
OG_599	OLVX01000015	139592	139978	+
OG_953	OLVX01000015	140053	140205	+
OG_1375	OLVX01000015	140220	141269	-
OG_793	OLVX01000015	141273	141455	-
OG_954	OLVX01000015	141466	141714	-
OG_288	OLVX01000015	141732	143999	-
OG_1376	OLVX01000015	144085	144294	-
OG_4490	OLVX01000015	144299	145069	-
OG_1377	OLVX01000015	145776	145892	+
OG_1378	OLVX01000015	146082	146450	+
OG_1379	OLVX01000015	146782	147057	+
OG_1380	OLVX01000015	147038	147220	+
OG_4490	OLVX01000015	147423	148184	-
OG_955	OLVX01000015	148583	149065	+
OG_1283	OLVX01000015	149053	149262	+
OG_77	OLVX01000015	151185	151709	+
OG_1350	OLVX01000015	151989	152207	+
OG_76	OLVX01000015	152850	153002	+
UG_516	OLVX01000015	153076	153213	+
OG_250	OLVX01000015	153466	153711	+
OG_1372	OLVX01000015	153692	153892	+
OG_1366	OLVX01000015	154892	155515	+
OG_1758	OLVX01000015	155466	156188	+
OG_4155	OLVX01000015	156529	156825	+
UG_517	OLVX01000015	156836	157045	+
OG_76	OLVX01000015	157094	157351	+
OG_76	OLVX01000015	157361	157582	+
OG_1386	OLVX01000015	157914	158033	+
OG_1387	OLVX01000015	158677	158934	+
OG_914	OLVX01000015	158961	159254	+
OG_4152	OLVX01000015	159304	159447	+
OG_911	OLVX01000015	159954	160235	+
OG_1367	OLVX01000015	160235	160390	+
OG_3528	OLVX01000015	160414	161418	+
OG_305	OLVX01000015	161590	161961	+
OG_305	OLVX01000015	162106	162255	+
OG_1260	OLVX01000015	162666	163001	+
OG_913	OLVX01000015	163015	163194	+
OG_53	OLVX01000015	163366	163956	+
UG_518	OLVX01000015	164736	164870	+
OG_1389	OLVX01000015	164858	165538	+
OG_1390	OLVX01000015	165519	166397	+
