GeneID	Chr	Start	End	Strand
OG_1159	OFRY01000050	1	303	-
OG_139	OFRY01000050	468	746	-
OG_577	OFRY01000050	747	938	-
OG_299	OFRY01000050	944	1375	-
OG_2043	OFRY01000050	1372	1656	-
OG_417	OFRY01000050	1669	2271	-
OG_317	OFRY01000050	2282	2986	-
OG_417	OFRY01000050	3106	4608	-
OG_630	OFRY01000050	4608	4862	-
OG_593	OFRY01000050	4870	5364	-
OG_211	OFRY01000050	5381	5920	-
OG_433	OFRY01000050	5920	6375	-
OG_3045	OFRY01000050	6377	6616	-
OG_36	OFRY01000050	6621	9887	-
OG_275	OFRY01000050	9889	10935	-
OG_3133	OFRY01000050	10916	11119	-
OG_74	OFRY01000050	11095	11463	-
OG_658	OFRY01000050	11420	12010	-
OG_1096	OFRY01000050	12033	12743	-
OG_600	OFRY01000050	12712	13491	-
OG_1098	OFRY01000050	13491	14324	-
OG_1099	OFRY01000050	14321	15493	-
OG_1465	OFRY01000050	15432	16709	-
OG_589	OFRY01000050	16775	17452	-
OG_323	OFRY01000050	17482	18525	-
OG_585	OFRY01000050	18554	19486	-
OG_611	OFRY01000050	19546	19998	-
OG_609	OFRY01000050	20009	20278	-
OG_1097	OFRY01000050	20271	20951	-
OG_441	OFRY01000050	20974	22182	-
UG_220	OFRY01000050	22179	22397	-
OG_161	OFRY01000050	22410	23009	-
OG_628	OFRY01000050	23069	23485	-
OG_390	OFRY01000050	23482	24621	-
OG_1617	OFRY01000050	24599	25069	-
UG_221	OFRY01000050	25084	25275	-
OG_607	OFRY01000050	25272	25649	-
OG_1466	OFRY01000050	25633	26031	-
UG_222	OFRY01000050	25985	26323	-
OG_1802	OFRY01000050	26338	26628	-
OG_3134	OFRY01000050	26633	27571	-
OG_332	OFRY01000050	27851	28285	-
OG_2528	OFRY01000050	28409	28771	-
OG_308	OFRY01000050	28781	29206	-
UG_223	OFRY01000050	29304	29420	-
UG_224	OFRY01000050	29433	29663	-
UG_225	OFRY01000050	29666	29830	-
UG_226	OFRY01000050	29981	30187	-
UG_227	OFRY01000050	30171	30347	-
UG_228	OFRY01000050	30397	30717	-
OG_3163	OFRY01000050	31245	31526	-
UG_229	OFRY01000050	31781	32005	-
OG_3163	OFRY01000050	32010	32291	-
OG_764	OFRY01000050	32404	32652	-
OG_2461	OFRY01000050	33559	33711	+
UG_230	OFRY01000050	33825	34712	+
OG_77	OFRY01000050	35020	35604	+
OG_673	OFRY01000050	36202	36654	+
OG_664	OFRY01000050	37184	37381	+
OG_1158	OFRY01000050	37387	37701	+
OG_598	OFRY01000050	37664	37885	+
OG_597	OFRY01000050	37894	38196	+
OG_822	OFRY01000050	38210	38590	+
OG_749	OFRY01000050	38587	38856	+
OG_2044	OFRY01000050	38853	39161	+
OG_596	OFRY01000050	39148	39570	+
OG_1028	OFRY01000050	39636	40196	+
OG_638	OFRY01000050	40193	40531	+
OG_407	OFRY01000050	40518	41072	+
OG_64	OFRY01000050	41069	43312	+
OG_47	OFRY01000050	43403	45817	+
OG_70	OFRY01000050	45823	46710	+
OG_191	OFRY01000050	46715	47326	+
OG_252	OFRY01000050	47330	47650	+
OG_1156	OFRY01000050	47652	48110	+
OG_612	OFRY01000050	48113	48211	+
OG_180	OFRY01000050	48255	48590	+
OG_225	OFRY01000050	48547	49221	+
OG_228	OFRY01000050	49378	50544	+
UG_231	OFRY01000050	50526	51311	+
OG_1038	OFRY01000050	51322	51786	+
OG_253	OFRY01000050	51924	52586	+
OG_253	OFRY01000050	52958	53851	+
OG_1038	OFRY01000050	53995	54915	+
OG_446	OFRY01000050	54983	56008	+
OG_414	OFRY01000050	56018	56758	+
OG_439	OFRY01000050	56758	57465	+
OG_1152	OFRY01000050	57496	58548	+
OG_595	OFRY01000050	58561	59160	+
OG_162	OFRY01000050	59153	59548	+
UG_232	OFRY01000050	59553	60908	+
UG_233	OFRY01000050	60911	62287	+
OG_1025	OFRY01000050	62349	63245	+
OG_393	OFRY01000050	63323	64045	+
OG_351	OFRY01000050	64045	64572	+
OG_583	OFRY01000050	64574	65281	+
OG_408	OFRY01000050	65283	69749	+
OG_229	OFRY01000050	69865	72411	+
OG_594	OFRY01000050	72413	73819	+
OG_130	OFRY01000050	73839	82514	+
OG_62	OFRY01000050	82575	87011	-
OG_62	OFRY01000050	87024	94187	-
OG_312	OFRY01000050	94342	95172	-
OG_3132	OFRY01000050	95176	95382	-
OG_2521	OFRY01000050	95369	95632	-
UG_234	OFRY01000050	95643	95843	-
OG_601	OFRY01000050	95868	96221	-
OG_603	OFRY01000050	96221	96421	-
OG_1159	OFRY01000050	96423	96512	-
