GeneID	Chr	Start	End	Strand
OG_1360	OGTL01000073	1	87	-
OG_704	OGTL01000073	200	700	-
OG_1356	OGTL01000073	2005	2235	-
OG_2808	OGTL01000073	2239	2358	-
OG_1355	OGTL01000073	2360	2509	-
OG_794	OGTL01000073	2618	3076	+
OG_1354	OGTL01000073	3176	3274	+
OG_413	OGTL01000073	3267	3839	+
OG_547	OGTL01000073	3961	4500	+
OG_407	OGTL01000073	4472	5077	+
OG_429	OGTL01000073	5081	6085	+
OG_3131	OGTL01000073	6082	6396	+
OG_795	OGTL01000073	6389	6706	+
OG_409	OGTL01000073	6693	7127	+
OG_424	OGTL01000073	7134	7418	+
OG_412	OGTL01000073	7426	7758	+
OG_64	OGTL01000073	7765	10014	+
OG_47	OGTL01000073	10027	12471	+
OG_431	OGTL01000073	12738	14039	+
OG_1039	OGTL01000073	14069	15541	+
OG_410	OGTL01000073	15565	16752	+
OG_439	OGTL01000073	16754	17425	+
OG_1151	OGTL01000073	17447	18334	+
OG_2390	OGTL01000073	18437	19003	+
OG_315	OGTL01000073	19007	19528	+
OG_120	OGTL01000073	19532	20017	+
OG_291	OGTL01000073	20062	23430	+
OG_291	OGTL01000073	23464	26001	+
OG_156	OGTL01000073	26007	26321	+
OG_4657	OGTL01000073	26329	26769	+
OG_2809	OGTL01000073	26773	27528	+
OG_813	OGTL01000073	27570	27911	+
OG_225	OGTL01000073	28354	28785	+
OG_37	OGTL01000073	28941	29234	+
OG_37	OGTL01000073	29250	29573	+
OG_425	OGTL01000073	29664	30161	+
OG_278	OGTL01000073	30164	30535	+
OG_420	OGTL01000073	30540	31049	+
OG_464	OGTL01000073	31134	31886	+
OG_361	OGTL01000073	31890	32840	+
OG_584	OGTL01000073	32779	33594	+
OG_415	OGTL01000073	33597	38045	+
OG_440	OGTL01000073	38042	38929	+
OG_436	OGTL01000073	39046	40551	+
OG_1794	OGTL01000073	40561	43359	+
OG_314	OGTL01000073	43343	49516	+
OG_62	OGTL01000073	49647	62384	+
OG_325	OGTL01000073	62727	63050	-
OG_211	OGTL01000073	63057	63743	-
OG_326	OGTL01000073	63743	64237	-
OG_353	OGTL01000073	64237	65292	-
OG_1353	OGTL01000073	65280	65540	-
OG_363	OGTL01000073	65515	66213	-
OG_228	OGTL01000073	66215	66991	-
OG_799	OGTL01000073	66972	67148	-
OG_1352	OGTL01000073	67145	67372	-
OG_312	OGTL01000073	67374	68354	-
OG_320	OGTL01000073	68365	68703	-
OG_248	OGTL01000073	68703	69485	-
OG_537	OGTL01000073	69693	70058	-
OG_245	OGTL01000073	70062	71264	-
OG_344	OGTL01000073	71261	71830	-
OG_680	OGTL01000073	71827	72252	-
OG_323	OGTL01000073	72194	73387	-
OG_2687	OGTL01000073	73475	74431	-
OG_1980	OGTL01000073	74534	75352	-
OG_3862	OGTL01000073	75411	76370	-
OG_218	OGTL01000073	76422	77798	-
OG_717	OGTL01000073	77785	78312	-
OG_253	OGTL01000073	78420	79100	-
OG_717	OGTL01000073	79281	81113	-
OG_716	OGTL01000073	81115	81696	-
OG_434	OGTL01000073	81698	83149	-
OG_542	OGTL01000073	83139	83606	-
OG_714	OGTL01000073	83613	83912	-
OG_711	OGTL01000073	83958	84434	-
OG_1343	OGTL01000073	84619	84948	-
OG_1050	OGTL01000073	84932	85201	-
OG_803	OGTL01000073	85360	85785	-
OG_3035	OGTL01000073	85856	86242	-
OG_1351	OGTL01000073	86246	86404	-
OG_1999	OGTL01000073	87069	87536	-
OG_1357	OGTL01000073	87693	87902	-
OG_792	OGTL01000073	88584	88751	-
OG_731	OGTL01000073	88777	88908	-
OG_707	OGTL01000073	88918	89487	-
OG_703	OGTL01000073	89709	90269	-
OG_1360	OGTL01000073	92272	92445	-
