GeneID	Chr	Start	End	Strand
OG_70	OIAT01000008	1	672	+
OG_2258	OIAT01000008	674	850	+
OG_471	OIAT01000008	940	3540	+
OG_2269	OIAT01000008	3565	3732	+
OG_2268	OIAT01000008	3729	4667	+
OG_1900	OIAT01000008	4727	5104	+
OG_459	OIAT01000008	5269	6021	+
OG_90	OIAT01000008	6105	8711	+
OG_131	OIAT01000008	8715	11606	+
OG_62	OIAT01000008	11587	16467	+
OG_1947	OIAT01000008	16613	17179	+
OG_123	OIAT01000008	17356	18246	+
OG_130	OIAT01000008	18420	20657	+
OG_268	OIAT01000008	20906	21913	+
OG_352	OIAT01000008	21937	22353	+
OG_304	OIAT01000008	22407	22904	+
OG_91	OIAT01000008	22906	23271	+
OG_319	OIAT01000008	23341	23658	+
OG_1484	OIAT01000008	23889	24218	+
OG_70	OIAT01000008	24297	26195	+
OG_169	OIAT01000008	26207	27256	+
OG_426	OIAT01000008	27345	28004	+
OG_426	OIAT01000008	28101	28418	+
OG_92	OIAT01000008	28542	28820	+
OG_427	OIAT01000008	28817	29218	+
OG_130	OIAT01000008	29306	35752	+
OG_123	OIAT01000008	35843	36856	+
OG_476	OIAT01000008	37289	37684	-
OG_1777	OIAT01000008	37681	37959	-
OG_2267	OIAT01000008	37972	38412	-
OG_2283	OIAT01000008	38485	39246	-
OG_3106	OIAT01000008	39385	39666	-
OG_3106	OIAT01000008	39675	39776	-
OG_93	OIAT01000008	39789	40229	-
OG_2266	OIAT01000008	40235	40390	-
OG_1946	OIAT01000008	40387	40899	-
OG_1945	OIAT01000008	41020	41313	-
OG_1489	OIAT01000008	41317	41547	-
OG_1944	OIAT01000008	41540	41656	-
OG_147	OIAT01000008	41653	42237	-
OG_1943	OIAT01000008	42265	42474	-
OG_4684	OIAT01000008	42491	42688	+
OG_1790	OIAT01000008	42695	43846	-
OG_4780	OIAT01000008	44061	44267	-
OG_1941	OIAT01000008	44264	44641	-
OG_1940	OIAT01000008	44642	45154	-
