GeneID	Chr	Start	End	Strand
OG_204	OLQJ01000056	1378	2040	-
OG_3207	OLQJ01000056	2270	2389	-
OG_1729	OLQJ01000056	2343	2579	-
OG_865	OLQJ01000056	3122	3313	+
OG_2942	OLQJ01000056	3310	3534	+
OG_1807	OLQJ01000056	3495	3791	+
OG_882	OLQJ01000056	3781	4020	+
OG_447	OLQJ01000056	3995	4309	+
OG_866	OLQJ01000056	4383	4601	+
OG_858	OLQJ01000056	4576	4884	+
OG_751	OLQJ01000056	4915	5274	+
UG_491	OLQJ01000056	5232	5333	-
OG_752	OLQJ01000056	5545	5925	+
OG_822	OLQJ01000056	5918	6310	+
OG_818	OLQJ01000056	6285	6677	+
OG_750	OLQJ01000056	6649	6840	+
OG_427	OLQJ01000056	6824	7255	+
OG_276	OLQJ01000056	7248	7649	+
OG_210	OLQJ01000056	7693	8037	+
OG_849	OLQJ01000056	8040	8348	+
OG_396	OLQJ01000056	8335	8865	+
OG_215	OLQJ01000056	8923	9060	+
OG_2936	OLQJ01000056	9212	9352	+
OG_2940	OLQJ01000056	9523	9723	+
OG_64	OLQJ01000056	9699	12887	+
OG_47	OLQJ01000056	12890	15394	+
OG_813	OLQJ01000056	15396	15758	+
OG_3139	OLQJ01000056	15774	16073	+
OG_885	OLQJ01000056	16066	16323	+
OG_288	OLQJ01000056	16325	18496	+
OG_206	OLQJ01000056	18501	18695	+
OG_229	OLQJ01000056	18688	18921	+
OG_305	OLQJ01000056	18918	19445	+
OG_106	OLQJ01000056	19469	20629	+
OG_1038	OLQJ01000056	20662	22134	+
OG_446	OLQJ01000056	22205	22957	+
OG_462	OLQJ01000056	22957	23652	+
OG_253	OLQJ01000056	23652	24383	+
OG_439	OLQJ01000056	24364	25107	+
OG_1149	OLQJ01000056	25215	26189	+
OG_812	OLQJ01000056	26269	26853	+
OG_174	OLQJ01000056	26847	27164	+
OG_300	OLQJ01000056	27161	29764	+
OG_378	OLQJ01000056	29767	30030	+
OG_291	OLQJ01000056	30036	31802	+
OG_291	OLQJ01000056	31805	34432	+
OG_980	OLQJ01000056	34413	34973	+
OG_981	OLQJ01000056	34984	35148	+
OG_404	OLQJ01000056	35451	35849	+
OG_322	OLQJ01000056	36184	36657	+
OG_322	OLQJ01000056	36605	37423	+
OG_172	OLQJ01000056	37539	37757	+
OG_70	OLQJ01000056	37766	38407	+
OG_70	OLQJ01000056	38410	39669	+
OG_124	OLQJ01000056	39945	40952	+
OG_679	OLQJ01000056	41121	41636	+
OG_191	OLQJ01000056	41596	42246	+
OG_317	OLQJ01000056	42260	42787	-
OG_319	OLQJ01000056	42889	43515	+
OG_268	OLQJ01000056	43545	44522	+
OG_443	OLQJ01000056	44546	44932	+
OG_304	OLQJ01000056	44978	45544	+
OG_456	OLQJ01000056	45683	46324	+
OG_351	OLQJ01000056	46321	46782	+
OG_583	OLQJ01000056	46779	47705	+
OG_408	OLQJ01000056	47702	51850	+
OG_445	OLQJ01000056	51852	53843	+
OG_125	OLQJ01000056	53843	55819	+
OG_62	OLQJ01000056	55821	68267	+
OG_130	OLQJ01000056	68269	73044	+
OG_1030	OLQJ01000056	73127	73627	-
OG_275	OLQJ01000056	73605	74663	-
OG_1772	OLQJ01000056	74605	74871	-
OG_908	OLQJ01000056	74846	75523	-
OG_74	OLQJ01000056	75569	75970	-
OG_323	OLQJ01000056	76122	77132	-
OG_416	OLQJ01000056	77468	78073	-
OG_306	OLQJ01000056	78113	78853	-
OG_770	OLQJ01000056	78919	79434	-
OG_448	OLQJ01000056	79449	80288	-
OG_338	OLQJ01000056	80410	80982	-
OG_717	OLQJ01000056	81039	83039	-
OG_1728	OLQJ01000056	83193	83606	-
OG_1724	OLQJ01000056	83634	84482	-
OG_893	OLQJ01000056	84503	84694	-
OG_175	OLQJ01000056	84699	85202	-
OG_234	OLQJ01000056	85224	85949	-
OG_234	OLQJ01000056	85958	86605	-
OG_845	OLQJ01000056	88713	89141	-
OG_184	OLQJ01000056	89131	89532	-
OG_362	OLQJ01000056	89590	91131	-
OG_846	OLQJ01000056	91217	91594	-
OG_841	OLQJ01000056	91607	92167	-
OG_758	OLQJ01000056	92179	92610	-
OG_840	OLQJ01000056	92570	93055	-
OG_835	OLQJ01000056	93052	93240	-
OG_754	OLQJ01000056	93231	93530	-
OG_753	OLQJ01000056	94560	95027	-
OG_888	OLQJ01000056	95067	95297	-
OG_847	OLQJ01000056	95269	95589	-
OG_203	OLQJ01000056	95810	96031	-
OG_2937	OLQJ01000056	96013	96126	-
OG_283	OLQJ01000056	96128	96607	-
OG_848	OLQJ01000056	96628	96885	-
OG_349	OLQJ01000056	97356	97838	-
OG_250	OLQJ01000056	97878	98276	-
OG_872	OLQJ01000056	98285	98620	-
OG_171	OLQJ01000056	98617	98955	-
OG_170	OLQJ01000056	98921	99229	-
OG_3206	OLQJ01000056	99276	99443	+
