GeneID	Chr	Start	End	Strand
OG_593	OLRZ01000056	65	553	+
OG_630	OLRZ01000056	553	822	+
OG_417	OLRZ01000056	822	2792	+
OG_356	OLRZ01000056	2885	3583	+
OG_417	OLRZ01000056	3648	3968	+
OG_348	OLRZ01000056	4005	4433	+
OG_139	OLRZ01000056	4420	4707	+
OG_1161	OLRZ01000056	4708	5121	+
OG_603	OLRZ01000056	5138	5347	+
OG_601	OLRZ01000056	5344	5655	+
OG_1519	OLRZ01000056	5671	6003	+
OG_1342	OLRZ01000056	6000	6281	+
OG_3410	OLRZ01000056	6416	6571	+
OG_332	OLRZ01000056	6574	7302	+
OG_828	OLRZ01000056	7290	7493	+
OG_170	OLRZ01000056	7497	7913	+
OG_460	OLRZ01000056	7888	8133	+
OG_312	OLRZ01000056	8143	9018	+
OG_1738	OLRZ01000056	9018	9209	+
OG_444	OLRZ01000056	9190	9945	+
OG_194	OLRZ01000056	9958	10584	+
OG_62	OLRZ01000056	10897	18114	+
OG_62	OLRZ01000056	18121	22158	+
OG_62	OLRZ01000056	22257	29420	-
OG_594	OLRZ01000056	29432	31147	-
OG_229	OLRZ01000056	31149	34010	-
OG_408	OLRZ01000056	34028	38311	-
OG_583	OLRZ01000056	38313	39005	-
OG_351	OLRZ01000056	39017	39568	-
OG_393	OLRZ01000056	39573	40304	-
OG_162	OLRZ01000056	40404	40682	-
OG_595	OLRZ01000056	40666	41169	-
OG_1152	OLRZ01000056	41238	42509	-
OG_414	OLRZ01000056	42544	43212	-
OG_446	OLRZ01000056	43214	44254	-
OG_317	OLRZ01000056	44574	45158	-
OG_1038	OLRZ01000056	45289	45780	-
OG_253	OLRZ01000056	45906	46547	-
OG_1038	OLRZ01000056	46675	47463	-
OG_376	OLRZ01000056	47916	49088	-
OG_420	OLRZ01000056	49246	49647	-
OG_37	OLRZ01000056	49632	49838	-
OG_427	OLRZ01000056	50011	50349	-
OG_225	OLRZ01000056	50396	50746	-
OG_180	OLRZ01000056	50724	51101	-
OG_1156	OLRZ01000056	51265	51726	-
OG_252	OLRZ01000056	51739	52107	-
OG_322	OLRZ01000056	52111	53349	-
OG_28	OLRZ01000056	53790	54047	-
OG_191	OLRZ01000056	54125	54763	-
OG_4788	OLRZ01000056	54786	55022	-
OG_1741	OLRZ01000056	55071	55940	-
OG_3143	OLRZ01000056	55915	56109	-
OG_3144	OLRZ01000056	56111	57589	-
OG_1740	OLRZ01000056	57596	57925	-
OG_369	OLRZ01000056	57930	59675	-
OG_307	OLRZ01000056	59680	60747	-
OG_47	OLRZ01000056	60744	63149	-
OG_64	OLRZ01000056	63238	65496	-
OG_407	OLRZ01000056	65508	66047	-
OG_638	OLRZ01000056	66044	66385	-
OG_596	OLRZ01000056	66455	66880	-
OG_749	OLRZ01000056	66873	67151	-
OG_819	OLRZ01000056	67148	67531	-
OG_597	OLRZ01000056	67536	67832	-
OG_598	OLRZ01000056	67841	68089	-
OG_1158	OLRZ01000056	68028	68321	-
OG_673	OLRZ01000056	68598	69083	-
OG_1343	OLRZ01000056	69123	69443	-
OG_1469	OLRZ01000056	69536	69667	-
OG_1028	OLRZ01000056	69686	70273	-
UG_493	OLRZ01000056	70472	70636	-
OG_622	OLRZ01000056	70825	71085	+
OG_4715	OLRZ01000056	71524	71706	+
UG_494	OLRZ01000056	72615	72896	+
OG_1467	OLRZ01000056	73089	73319	+
OG_3155	OLRZ01000056	73310	73414	+
OG_52	OLRZ01000056	73751	74038	+
OG_1466	OLRZ01000056	74410	74667	+
OG_1737	OLRZ01000056	74738	74842	+
OG_831	OLRZ01000056	75421	75780	+
OG_2528	OLRZ01000056	75836	76081	+
OG_607	OLRZ01000056	76084	76506	+
OG_1168	OLRZ01000056	76576	77115	+
OG_1208	OLRZ01000056	77336	78139	+
OG_1173	OLRZ01000056	78141	78506	+
OG_390	OLRZ01000056	78503	79726	+
OG_161	OLRZ01000056	79723	80325	+
OG_441	OLRZ01000056	80322	81575	+
OG_1097	OLRZ01000056	81581	82261	+
OG_609	OLRZ01000056	82254	82517	+
OG_611	OLRZ01000056	82519	82905	+
OG_585	OLRZ01000056	82958	83884	+
OG_323	OLRZ01000056	83910	84908	+
OG_589	OLRZ01000056	84930	85571	+
OG_1465	OLRZ01000056	85634	86941	+
OG_1099	OLRZ01000056	86943	88028	+
OG_1098	OLRZ01000056	88052	88993	+
OG_600	OLRZ01000056	88993	89697	+
OG_1096	OLRZ01000056	89694	90371	+
OG_658	OLRZ01000056	90358	90936	+
OG_74	OLRZ01000056	90933	91430	+
OG_423	OLRZ01000056	91423	91716	+
OG_275	OLRZ01000056	91700	92740	+
OG_40	OLRZ01000056	92730	95297	+
OG_1739	OLRZ01000056	95315	95530	+
OG_211	OLRZ01000056	95554	96093	+
