GeneID	Chr	Start	End	Strand
OG_628	Fferm_crAss_ms_6	114	446	-
UG_41	Fferm_crAss_ms_6	675	998	-
OG_1625	Fferm_crAss_ms_6	1095	1520	-
UG_42	Fferm_crAss_ms_6	1718	1861	-
OG_1624	Fferm_crAss_ms_6	2134	2391	-
OG_1623	Fferm_crAss_ms_6	2397	2660	-
UG_43	Fferm_crAss_ms_6	2790	3014	-
OG_1622	Fferm_crAss_ms_6	3014	3262	-
UG_44	Fferm_crAss_ms_6	3243	3518	-
OG_1621	Fferm_crAss_ms_6	3523	3735	-
OG_3455	Fferm_crAss_ms_6	3768	4067	-
UG_45	Fferm_crAss_ms_6	4069	4236	+
OG_2667	Fferm_crAss_ms_6	4329	4508	-
UG_46	Fferm_crAss_ms_6	4505	4624	-
OG_3456	Fferm_crAss_ms_6	4637	4801	-
OG_2609	Fferm_crAss_ms_6	5333	5602	-
OG_1620	Fferm_crAss_ms_6	6160	6495	-
OG_1649	Fferm_crAss_ms_6	6696	7151	-
UG_47	Fferm_crAss_ms_6	7239	7493	+
OG_1648	Fferm_crAss_ms_6	7477	7668	+
OG_1647	Fferm_crAss_ms_6	7655	7837	+
OG_1646	Fferm_crAss_ms_6	7776	7994	+
OG_599	Fferm_crAss_ms_6	7991	8416	+
OG_288	Fferm_crAss_ms_6	8413	10137	+
OG_1645	Fferm_crAss_ms_6	10677	11069	+
OG_68	Fferm_crAss_ms_6	11073	12557	+
OG_1644	Fferm_crAss_ms_6	12532	12810	+
OG_598	Fferm_crAss_ms_6	12795	13052	+
OG_597	Fferm_crAss_ms_6	13055	13369	+
OG_819	Fferm_crAss_ms_6	13369	13782	+
OG_749	Fferm_crAss_ms_6	13772	14095	+
OG_596	Fferm_crAss_ms_6	14079	14459	+
OG_396	Fferm_crAss_ms_6	14498	15088	+
OG_64	Fferm_crAss_ms_6	15063	17366	+
OG_47	Fferm_crAss_ms_6	17467	19863	+
OG_291	Fferm_crAss_ms_6	19918	20427	+
OG_455	Fferm_crAss_ms_6	20442	22559	+
OG_1146	Fferm_crAss_ms_6	22562	22843	+
OG_1614	Fferm_crAss_ms_6	22959	24719	+
OG_300	Fferm_crAss_ms_6	24676	27543	+
OG_191	Fferm_crAss_ms_6	27549	28160	+
OG_252	Fferm_crAss_ms_6	28160	28426	+
OG_1156	Fferm_crAss_ms_6	28430	28873	+
OG_376	Fferm_crAss_ms_6	29008	30168	+
OG_1038	Fferm_crAss_ms_6	30184	31683	+
OG_446	Fferm_crAss_ms_6	31756	32751	+
OG_414	Fferm_crAss_ms_6	32760	33545	+
OG_1152	Fferm_crAss_ms_6	33563	34588	+
OG_31	Fferm_crAss_ms_6	34780	34977	+
OG_1618	Fferm_crAss_ms_6	34980	35297	+
OG_1643	Fferm_crAss_ms_6	35290	35553	+
OG_1642	Fferm_crAss_ms_6	35528	35824	+
OG_673	Fferm_crAss_ms_6	35838	36221	+
OG_164	Fferm_crAss_ms_6	36350	37282	+
OG_317	Fferm_crAss_ms_6	37266	37766	+
OG_393	Fferm_crAss_ms_6	37772	38548	+
OG_351	Fferm_crAss_ms_6	38548	39114	+
