GeneID	Genome	Start	End	Strand	Annotation
OG_70	11_lib200753_1	1	1329	-	nan
OG_201	11_lib200753_1	1331	1735	-	nan
OG_300	11_lib200753_1	1739	5920	-	nan
OG_419	11_lib200753_1	5922	6221	-	nan
OG_812	11_lib200753_1	6196	6465	-	nan
OG_1149	11_lib200753_1	6543	7535	-	gene73
OG_439	11_lib200753_1	7650	8351	-	gene74
OG_462	11_lib200753_1	9069	9776	-	gene74
OG_446	11_lib200753_1	9779	10531	-	gene75
OG_253	11_lib200753_1	10549	11178	-	GIY,HNH
OG_1038	11_lib200753_1	11242	12675	-	MCP
OG_317	11_lib200753_1	12779	13405	-	HNH
OG_106	11_lib200753_1	13593	14783	-	gene77
OG_305	11_lib200753_1	14801	15364	-	HNH
OG_229	11_lib200753_1	15364	15579	-	gene49
OG_288	11_lib200753_1	15585	16244	-	ZnMc
OG_599	11_lib200753_1	16464	16901	-	nan
OG_47	11_lib200753_1	16921	19506	-	portal
OG_64	11_lib200753_1	19508	21580	-	TerL
OG_1065	11_lib200753_1	21582	21773	-	nan
OG_396	11_lib200753_1	21843	22373	-	gene86
OG_210	11_lib200753_1	22373	22714	-	nan
OG_4765	11_lib200753_1	22716	22874	-	nan
OG_211	11_lib200753_1	22819	23070	-	dUTP
OG_77	11_lib200753_1	23161	23916	-	HNH
OG_1469	11_lib200753_1	24241	24357	-	nan
OG_447	11_lib200753_1	24326	24685	-	p2
OG_427	11_lib200753_1	24634	25092	-	nan
OG_750	11_lib200753_1	25064	25276	-	nan
OG_818	11_lib200753_1	25254	25643	-	nan
OG_822	11_lib200753_1	25624	26007	-	phage_O
OG_752	11_lib200753_1	26000	26407	-	nan
OG_1755	11_lib200753_1	26409	26582	-	nan
OG_751	11_lib200753_1	26777	27154	-	nan
OG_866	11_lib200753_1	27215	27433	-	nan
UG_1	11_lib200753_1	27666	27839	-	nan
OG_4685	11_lib200753_1	27853	28131	-	nan
OG_1066	11_lib200753_1	28159	28344	-	nan
OG_1067	11_lib200753_1	28532	28966	+	nan
UG_2	11_lib200753_1	28918	29085	-	nan
OG_683	11_lib200753_1	29111	29326	+	nan
OG_1071	11_lib200753_1	29957	30286	+	nan
OG_1072	11_lib200753_1	30372	30494	+	nan
OG_1073	11_lib200753_1	30491	30733	+	nan
OG_2797	11_lib200753_1	30925	31230	+	nan
OG_2798	11_lib200753_1	31241	31495	+	nan
OG_1069	11_lib200753_1	31727	32020	+	nan
OG_591	11_lib200753_1	32038	32436	+	nan
OG_349	11_lib200753_1	32495	33010	+	nan
OG_1074	11_lib200753_1	33859	34299	+	nan
OG_1075	11_lib200753_1	34299	34421	+	nan
OG_1076	11_lib200753_1	34605	34826	+	nan
OG_760	11_lib200753_1	35010	35378	+	nan
OG_753	11_lib200753_1	35413	35811	+	nan
OG_1081	11_lib200753_1	36444	36575	+	nan
OG_473	11_lib200753_1	36858	37367	-	HNH
OG_1077	11_lib200753_1	37769	38146	+	nan
OG_834	11_lib200753_1	38148	38342	+	nan
OG_839	11_lib200753_1	38324	38758	+	nan
OG_166	11_lib200753_1	38755	39261	+	nan
OG_841	11_lib200753_1	39317	39883	+	RpoE
OG_1078	11_lib200753_1	39880	40257	+	nan
OG_362	11_lib200753_1	40344	41738	+	p4
OG_1079	11_lib200753_1	41752	42135	+	nan
OG_1405	11_lib200753_1	42132	42230	+	nan
OG_1080	11_lib200753_1	42633	42770	+	nan
OG_479	11_lib200753_1	44617	45156	+	nan
OG_214	11_lib200753_1	45165	45656	+	p15
OG_175	11_lib200753_1	45959	46462	+	cons1
OG_1725	11_lib200753_1	46634	47977	+	nan
OG_717	11_lib200753_1	48102	50018	+	DNApB
OG_338	11_lib200753_1	50064	50624	+	Rep_Org
