GeneID	Chr	Start	End	Strand
OG_367	OLSP01000004	2	1264	-
OG_148	OLSP01000004	1236	1508	-
OG_229	OLSP01000004	1518	1817	-
OG_2577	OLSP01000004	1979	2716	+
OG_429	OLSP01000004	2673	3590	+
OG_1215	OLSP01000004	3665	3937	+
OG_951	OLSP01000004	3948	4571	+
OG_949	OLSP01000004	4571	4798	+
OG_29	OLSP01000004	4804	5469	+
OG_396	OLSP01000004	5475	6062	+
OG_64	OLSP01000004	6064	8313	+
OG_948	OLSP01000004	8270	8584	+
OG_47	OLSP01000004	8550	10772	+
OG_28	OLSP01000004	10775	11038	+
OG_2704	OLSP01000004	11040	11459	+
OG_70	OLSP01000004	11459	13489	+
OG_124	OLSP01000004	13821	15056	+
OG_187	OLSP01000004	15016	15393	+
OG_947	OLSP01000004	15396	16190	+
OG_2457	OLSP01000004	16168	16353	+
OG_152	OLSP01000004	16355	17335	+
OG_70	OLSP01000004	17338	20223	+
OG_2694	OLSP01000004	20225	20602	+
OG_291	OLSP01000004	20602	22317	+
OG_70	OLSP01000004	22367	26989	+
OG_2731	OLSP01000004	27103	27384	+
OG_1401	OLSP01000004	27389	27835	+
OG_176	OLSP01000004	27888	31583	+
OG_224	OLSP01000004	31580	39310	+
OG_37	OLSP01000004	39498	40370	+
OG_1616	OLSP01000004	40436	40885	+
OG_425	OLSP01000004	40898	41347	+
OG_1618	OLSP01000004	41347	41688	+
OG_39	OLSP01000004	41675	44917	+
OG_945	OLSP01000004	44889	45236	+
OG_1209	OLSP01000004	45233	45826	+
OG_10	OLSP01000004	45836	47017	+
OG_1041	OLSP01000004	47034	48455	+
OG_410	OLSP01000004	48558	49394	+
OG_439	OLSP01000004	49405	50355	+
OG_21	OLSP01000004	50363	51235	+
OG_9	OLSP01000004	51296	51970	+
OG_582	OLSP01000004	51970	52659	+
OG_943	OLSP01000004	52659	53099	+
OG_944	OLSP01000004	53099	53701	+
OG_432	OLSP01000004	53682	56825	+
OG_408	OLSP01000004	56825	61516	+
OG_8	OLSP01000004	61509	62873	+
OG_7	OLSP01000004	62873	63436	+
OG_248	OLSP01000004	63493	64110	-
OG_335	OLSP01000004	64110	68729	-
OG_24	OLSP01000004	68729	70378	-
OG_3658	OLSP01000004	70378	71379	-
OG_62	OLSP01000004	71369	80905	-
OG_421	OLSP01000004	80916	89606	-
OG_941	OLSP01000004	89596	91410	-
OG_63	OLSP01000004	91407	96266	-
OG_942	OLSP01000004	96331	96645	-
OG_2553	OLSP01000004	96783	97031	-
OG_1656	OLSP01000004	97028	97492	-
OG_2705	OLSP01000004	97461	97646	-
OG_1656	OLSP01000004	97612	98121	-
OG_2706	OLSP01000004	98114	98320	-
OG_1658	OLSP01000004	98305	98685	-
OG_677	OLSP01000004	98682	99257	-
OG_2699	OLSP01000004	99226	99759	-
OG_674	OLSP01000004	99756	100316	-
OG_3659	OLSP01000004	100583	100711	+
OG_2594	OLSP01000004	100670	101554	-
OG_1490	OLSP01000004	101547	102239	-
OG_675	OLSP01000004	102230	103393	-
OG_44	OLSP01000004	103390	103974	-
OG_2569	OLSP01000004	103953	104162	-
OG_908	OLSP01000004	104152	104847	-
OG_2511	OLSP01000004	104844	105167	-
OG_2708	OLSP01000004	105139	105357	-
OG_1205	OLSP01000004	105350	106000	-
OG_2527	OLSP01000004	106012	106218	-
OG_1096	OLSP01000004	106205	106891	-
OG_3421	OLSP01000004	106888	107043	-
OG_312	OLSP01000004	107040	107903	-
OG_105	OLSP01000004	107890	108165	-
OG_2562	OLSP01000004	108162	108689	-
OG_305	OLSP01000004	108705	109259	-
OG_417	OLSP01000004	109332	111500	-
OG_603	OLSP01000004	111500	111661	-
OG_53	OLSP01000004	111720	112478	-
OG_1814	OLSP01000004	112478	112723	-
OG_2698	OLSP01000004	112726	113256	-
OG_2593	OLSP01000004	113240	113578	-
OG_2519	OLSP01000004	113571	113747	-
OG_1159	OLSP01000004	113747	114667	-
OG_1229	OLSP01000004	114667	115431	-
OG_2560	OLSP01000004	115421	115822	-
OG_2516	OLSP01000004	115791	116108	-
OG_2710	OLSP01000004	116108	116329	-
OG_3	OLSP01000004	116331	117710	-
OG_2559	OLSP01000004	117779	117988	-
OG_1	OLSP01000004	118040	118348	-
OG_2557	OLSP01000004	118345	118596	-
OG_38	OLSP01000004	118593	118898	-
OG_2	OLSP01000004	118888	119133	-
OG_245	OLSP01000004	119126	120328	-
UG_510	OLSP01000004	120328	120549	-
OG_211	OLSP01000004	120549	121130	-
OG_2502	OLSP01000004	121108	121515	-
OG_2502	OLSP01000004	121502	121783	-
OG_434	OLSP01000004	121795	123216	-
OG_433	OLSP01000004	123213	123713	-
OG_4160	OLSP01000004	123700	124098	-
OG_36	OLSP01000004	124262	126328	-
OG_1268	OLSP01000004	126336	127115	-
OG_27	OLSP01000004	127125	128723	-
OG_767	OLSP01000004	128863	129396	-
OG_936	OLSP01000004	129606	129857	-
OG_20	OLSP01000004	129857	130207	-
OG_275	OLSP01000004	130218	131237	-
OG_472	OLSP01000004	131230	131730	-
OG_1281	OLSP01000004	131714	132199	-
OG_2500	OLSP01000004	132202	132420	-
OG_26	OLSP01000004	132417	132842	-
OG_1285	OLSP01000004	132839	133762	-
OG_3911	OLSP01000004	133759	134070	-
OG_3911	OLSP01000004	134027	134479	-
OG_3907	OLSP01000004	134457	134960	-
OG_3912	OLSP01000004	134957	135688	-
OG_932	OLSP01000004	135693	136082	-
OG_323	OLSP01000004	136054	137061	-
OG_57	OLSP01000004	137110	137778	-
OG_931	OLSP01000004	137790	138362	-
OG_1097	OLSP01000004	138359	139057	-
OG_448	OLSP01000004	139061	140161	-
OG_17	OLSP01000004	140161	140781	-
OG_2592	OLSP01000004	140832	141023	-
OG_2732	OLSP01000004	141082	141264	-
OG_218	OLSP01000004	141264	142532	-
OG_930	OLSP01000004	142659	143495	-
OG_929	OLSP01000004	143563	143859	-
OG_2712	OLSP01000004	143860	144081	-
OG_2496	OLSP01000004	144100	144273	-
OG_2713	OLSP01000004	144333	144530	-
OG_2591	OLSP01000004	144685	145053	-
OG_453	OLSP01000004	145010	145321	-
OG_631	OLSP01000004	145314	145829	-
OG_1279	OLSP01000004	145884	146543	-
OG_2494	OLSP01000004	146497	146814	-
OG_2590	OLSP01000004	146768	147163	-
OG_2589	OLSP01000004	147190	147351	-
OG_1270	OLSP01000004	147354	147674	-
OG_2714	OLSP01000004	147682	148074	-
OG_2588	OLSP01000004	148071	148559	-
OG_1296	OLSP01000004	148648	148935	-
OG_2715	OLSP01000004	149041	151524	-
OG_2587	OLSP01000004	151582	151938	-
OG_4832	OLSP01000004	151958	152605	-
OG_4831	OLSP01000004	152609	153208	-
OG_2586	OLSP01000004	153264	153602	-
OG_2585	OLSP01000004	154128	154457	-
OG_2492	OLSP01000004	154822	154953	-
OG_927	OLSP01000004	154975	155385	-
OG_2490	OLSP01000004	155382	155783	-
OG_35	OLSP01000004	155786	156016	-
OG_1286	OLSP01000004	156303	156557	-
OG_25	OLSP01000004	156514	157746	-
OG_990	OLSP01000004	157984	158244	-
OG_2716	OLSP01000004	158241	158621	-
OG_643	OLSP01000004	158730	159104	-
OG_3528	OLSP01000004	159316	160539	-
OG_2702	OLSP01000004	160729	161022	-
OG_2626	OLSP01000004	161394	161732	-
OG_2470	OLSP01000004	162473	162670	-
UG_511	OLSP01000004	162934	163071	-
OG_2718	OLSP01000004	163098	163241	-
OG_2621	OLSP01000004	163238	163546	-
OG_2700	OLSP01000004	165800	165976	-
OG_2701	OLSP01000004	167608	167922	-
OG_1273	OLSP01000004	167916	168827	-
OG_2720	OLSP01000004	169226	169474	-
OG_1758	OLSP01000004	169471	170265	-
OG_3419	OLSP01000004	170871	171092	-
OG_2581	OLSP01000004	171092	171454	-
OG_2721	OLSP01000004	171456	171860	-
OG_2722	OLSP01000004	171857	172057	-
OG_2723	OLSP01000004	172141	172587	-
OG_2580	OLSP01000004	172714	173007	-
OG_2640	OLSP01000004	174056	174922	-
OG_3418	OLSP01000004	175047	175427	-
OG_4834	OLSP01000004	175832	176362	-
OG_2695	OLSP01000004	176657	176932	-
OG_4833	OLSP01000004	176994	177515	-
OG_3660	OLSP01000004	177625	177798	-
OG_3100	OLSP01000004	177833	178000	-
OG_2579	OLSP01000004	178798	179010	+
OG_3116	OLSP01000004	179001	179390	+
OG_2727	OLSP01000004	179392	179538	+
OG_969	OLSP01000004	179535	179744	+
OG_2571	OLSP01000004	179728	179940	+
OG_2728	OLSP01000004	179921	180133	+
OG_2729	OLSP01000004	180126	180362	+
OG_3637	OLSP01000004	180396	180593	+
OG_2578	OLSP01000004	180613	180813	-
OG_2458	OLSP01000004	180844	181035	-
OG_1472	OLSP01000004	181032	181265	-
OG_2696	OLSP01000004	181231	181488	-
OG_367	OLSP01000004	181493	182542	-
