GeneID	Chr	Start	End	Strand
OG_479	OGPX01000023	521	1075	+
OG_214	OGPX01000023	1098	1637	+
OG_175	OGPX01000023	2018	2512	+
OG_875	OGPX01000023	2611	3435	+
OG_717	OGPX01000023	3375	5663	+
OG_338	OGPX01000023	5712	6284	+
OG_448	OGPX01000023	6256	7239	+
OG_770	OGPX01000023	7242	7820	+
OG_306	OGPX01000023	7904	8653	+
OG_416	OGPX01000023	8680	9300	+
OG_323	OGPX01000023	9426	10400	+
OG_810	OGPX01000023	10375	10713	+
OG_74	OGPX01000023	10706	11059	+
OG_32	OGPX01000023	11071	11361	+
OG_333	OGPX01000023	11420	12286	+
OG_32	OGPX01000023	12437	13030	+
OG_908	OGPX01000023	13077	13892	+
OG_275	OGPX01000023	14028	15020	+
OG_843	OGPX01000023	15001	15435	+
OG_130	OGPX01000023	15470	19876	-
OG_62	OGPX01000023	19879	22581	-
OG_356	OGPX01000023	22698	23405	-
OG_62	OGPX01000023	23596	34131	-
OG_125	OGPX01000023	34147	36021	-
OG_445	OGPX01000023	36021	37961	-
OG_408	OGPX01000023	37927	42105	-
OG_583	OGPX01000023	42096	43025	-
OG_253	OGPX01000023	43022	43900	-
OG_351	OGPX01000023	43887	44354	-
OG_456	OGPX01000023	44351	45016	-
OG_317	OGPX01000023	45022	45600	-
OG_304	OGPX01000023	45830	46111	-
OG_319	OGPX01000023	46131	46577	-
OG_191	OGPX01000023	46574	47230	-
OG_679	OGPX01000023	47187	47726	-
OG_124	OGPX01000023	47827	48855	-
OG_70	OGPX01000023	49180	53199	-
OG_70	OGPX01000023	53214	53768	-
OG_811	OGPX01000023	53787	54116	-
OG_65	OGPX01000023	54165	54626	-
OG_322	OGPX01000023	54817	55260	-
OG_173	OGPX01000023	55275	55490	-
OG_378	OGPX01000023	55450	55746	-
OG_300	OGPX01000023	55765	60423	-
OG_419	OGPX01000023	60423	60620	-
OG_812	OGPX01000023	60617	61153	-
OG_1149	OGPX01000023	61227	62213	-
OG_305	OGPX01000023	62225	62713	-
OG_439	OGPX01000023	62816	63556	-
OG_462	OGPX01000023	63553	64230	-
OG_446	OGPX01000023	64230	64982	-
OG_253	OGPX01000023	65007	65981	-
OG_1038	OGPX01000023	66080	67201	-
OG_317	OGPX01000023	67260	67904	-
OG_1038	OGPX01000023	68005	68376	-
OG_106	OGPX01000023	68419	69597	-
OG_229	OGPX01000023	69619	69792	-
OG_288	OGPX01000023	69755	70933	-
OG_813	OGPX01000023	70995	71348	-
OG_47	OGPX01000023	71350	73806	-
OG_64	OGPX01000023	73848	75908	-
OG_253	OGPX01000023	75919	76737	-
OG_814	OGPX01000023	76890	77129	-
OG_396	OGPX01000023	77181	77708	-
OG_815	OGPX01000023	77695	78039	-
OG_211	OGPX01000023	78026	78529	-
OG_447	OGPX01000023	78532	78861	-
OG_276	OGPX01000023	78851	79129	-
OG_427	OGPX01000023	79113	79547	-
OG_817	OGPX01000023	79544	79681	-
OG_750	OGPX01000023	79678	79878	-
OG_818	OGPX01000023	79826	80188	-
OG_822	OGPX01000023	80181	80549	-
OG_752	OGPX01000023	80542	80964	-
OG_823	OGPX01000023	80946	81149	-
OG_751	OGPX01000023	81273	81626	-
OG_200	OGPX01000023	81672	81878	-
OG_1091	OGPX01000023	82138	82323	-
OG_1091	OGPX01000023	82406	82561	-
OG_183	OGPX01000023	82777	83466	+
OG_1092	OGPX01000023	83585	83689	+
OG_199	OGPX01000023	83686	83925	+
OG_3015	OGPX01000023	84061	84366	+
OG_198	OGPX01000023	84885	85232	+
OG_762	OGPX01000023	85183	85521	+
OG_824	OGPX01000023	85579	85836	+
OG_825	OGPX01000023	85808	85954	+
OG_2041	OGPX01000023	85967	86167	+
OG_349	OGPX01000023	86183	86629	+
OG_2870	OGPX01000023	87257	87526	+
OG_826	OGPX01000023	87538	87927	+
OG_1094	OGPX01000023	88082	88360	+
OG_827	OGPX01000023	88737	89186	+
OG_828	OGPX01000023	89850	90092	+
OG_833	OGPX01000023	90888	91091	+
OG_2551	OGPX01000023	91072	91413	+
OG_754	OGPX01000023	91373	91696	+
OG_834	OGPX01000023	91698	91901	+
OG_840	OGPX01000023	91895	92353	+
OG_758	OGPX01000023	92353	92799	+
OG_841	OGPX01000023	92852	93397	+
OG_842	OGPX01000023	93415	93765	+
OG_267	OGPX01000023	93834	95549	+
OG_197	OGPX01000023	95569	96039	+
