GeneID	Chr	Start	End	Strand
OG_1028	HvCF_E3_ms_3	400	1086	+
OG_3337	HvCF_E3_ms_3	1049	1369	-
OG_1743	HvCF_E3_ms_3	1467	1703	-
OG_1184	HvCF_E3_ms_3	3472	3636	+
OG_673	HvCF_E3_ms_3	3848	4294	+
OG_664	HvCF_E3_ms_3	4832	5017	+
OG_1158	HvCF_E3_ms_3	5001	5327	+
OG_598	HvCF_E3_ms_3	5290	5508	+
OG_597	HvCF_E3_ms_3	5521	5805	+
OG_819	HvCF_E3_ms_3	5814	6194	+
OG_749	HvCF_E3_ms_3	6191	6463	+
OG_596	HvCF_E3_ms_3	6484	6882	+
OG_396	HvCF_E3_ms_3	6875	7477	+
OG_638	HvCF_E3_ms_3	7480	7821	+
OG_64	HvCF_E3_ms_3	7802	10090	+
OG_253	HvCF_E3_ms_3	10200	10883	+
OG_47	HvCF_E3_ms_3	10876	13305	+
OG_70	HvCF_E3_ms_3	13302	14189	+
OG_195	HvCF_E3_ms_3	14191	14343	+
OG_455	HvCF_E3_ms_3	14345	14536	+
OG_70	HvCF_E3_ms_3	14552	15778	+
OG_70	HvCF_E3_ms_3	15789	17495	+
OG_1169	HvCF_E3_ms_3	17477	18307	+
OG_191	HvCF_E3_ms_3	18310	18924	+
OG_252	HvCF_E3_ms_3	18926	19306	+
OG_1156	HvCF_E3_ms_3	19245	19718	+
OG_1170	HvCF_E3_ms_3	19715	19813	+
OG_28	HvCF_E3_ms_3	19776	19895	+
OG_70	HvCF_E3_ms_3	20035	22131	+
OG_124	HvCF_E3_ms_3	22163	22546	+
OG_427	HvCF_E3_ms_3	22687	23028	+
OG_37	HvCF_E3_ms_3	23205	23984	+
OG_425	HvCF_E3_ms_3	24038	24538	+
OG_278	HvCF_E3_ms_3	24541	24921	+
OG_420	HvCF_E3_ms_3	24926	25552	+
OG_376	HvCF_E3_ms_3	25704	26885	+
OG_1038	HvCF_E3_ms_3	27154	28665	+
OG_446	HvCF_E3_ms_3	28738	29769	+
OG_414	HvCF_E3_ms_3	29786	30649	+
OG_439	HvCF_E3_ms_3	30649	31335	+
