GeneID	Chr	Start	End	Strand
OG_473	PPYF01266999	3	230	+
OG_1951	PPYF01266999	269	529	+
OG_463	PPYF01266999	673	1356	+
OG_86	PPYF01266999	1397	2242	+
OG_1950	PPYF01266999	2387	2788	+
OG_1949	PPYF01266999	2788	3021	+
OG_1514	PPYF01266999	3026	3442	+
OG_87	PPYF01266999	3435	3749	+
OG_88	PPYF01266999	3751	4557	+
OG_100	PPYF01266999	4559	9037	+
OG_100	PPYF01266999	9115	9423	-
OG_1954	PPYF01266999	9563	9664	+
OG_89	PPYF01266999	9733	10398	+
OG_4770	PPYF01266999	10400	10672	+
OG_1790	PPYF01266999	10607	11593	-
OG_1231	PPYF01266999	11927	12394	+
OG_581	PPYF01266999	12488	13372	+
OG_227	PPYF01266999	13387	14106	+
OG_1948	PPYF01266999	14249	14749	+
OG_408	PPYF01266999	14942	21460	+
OG_2258	PPYF01266999	21492	21668	+
OG_471	PPYF01266999	21757	23676	+
OG_1900	PPYF01266999	23711	24088	+
OG_90	PPYF01266999	24191	26911	+
OG_131	PPYF01266999	26915	29818	+
OG_62	PPYF01266999	29802	34676	+
OG_1947	PPYF01266999	34762	35370	+
OG_360	PPYF01266999	35562	36473	+
OG_130	PPYF01266999	36645	38882	+
OG_268	PPYF01266999	39131	40138	+
OG_352	PPYF01266999	40162	40578	+
OG_304	PPYF01266999	40632	41129	+
OG_91	PPYF01266999	41131	41499	+
OG_319	PPYF01266999	41593	41886	+
OG_1484	PPYF01266999	42117	42446	+
OG_70	PPYF01266999	42526	44550	+
OG_169	PPYF01266999	44562	45611	+
OG_426	PPYF01266999	45701	46360	+
OG_426	PPYF01266999	46462	46776	+
OG_92	PPYF01266999	46905	47183	+
OG_1789	PPYF01266999	47242	48429	+
OG_427	PPYF01266999	48437	48874	+
OG_1790	PPYF01266999	49007	50122	-
OG_130	PPYF01266999	50289	56735	+
OG_123	PPYF01266999	56926	57801	+
OG_2275	PPYF01266999	57836	58051	-
OG_2276	PPYF01266999	58141	58254	-
OG_476	PPYF01266999	58275	58697	-
OG_1777	PPYF01266999	58694	58972	-
OG_2267	PPYF01266999	58985	59377	-
OG_3106	PPYF01266999	59418	59699	-
OG_2266	PPYF01266999	59842	59997	-
OG_1946	PPYF01266999	59994	60524	-
OG_1945	PPYF01266999	60500	60970	-
OG_1489	PPYF01266999	60974	61204	-
OG_1944	PPYF01266999	61197	61313	-
OG_147	PPYF01266999	61310	61891	-
