GeneID	Chr	Start	End	Strand
OG_211	OLXK01000100	3	377	+
OG_264	OLXK01000100	402	677	+
OG_469	OLXK01000100	646	918	+
OG_2391	OLXK01000100	994	1239	+
OG_62	OLXK01000100	2066	15904	-
OG_314	OLXK01000100	15988	23163	-
OG_279	OLXK01000100	23166	25067	-
OG_1794	OLXK01000100	25080	26297	-
OG_436	OLXK01000100	26378	28996	-
OG_415	OLXK01000100	29000	33442	-
OG_584	OLXK01000100	33448	34206	-
OG_361	OLXK01000100	34163	35095	-
OG_464	OLXK01000100	35099	35788	-
OG_2183	OLXK01000100	35889	36386	-
OG_2184	OLXK01000100	36502	36816	-
OG_4062	OLXK01000100	36903	38216	-
OG_300	OLXK01000100	38203	45177	-
OG_70	OLXK01000100	45539	46153	-
OG_156	OLXK01000100	46155	46475	-
OG_319	OLXK01000100	46602	47024	-
OG_2392	OLXK01000100	47108	47332	-
OG_304	OLXK01000100	47346	47819	-
OG_359	OLXK01000100	47819	48136	-
OG_268	OLXK01000100	48155	49081	-
OG_2404	OLXK01000100	49127	49231	-
OG_2393	OLXK01000100	49265	49639	-
OG_120	OLXK01000100	49629	49922	-
OG_213	OLXK01000100	49919	50134	-
OG_2390	OLXK01000100	50147	50770	-
OG_1151	OLXK01000100	50838	51689	-
OG_439	OLXK01000100	51718	52626	-
OG_410	OLXK01000100	52638	53789	-
OG_1038	OLXK01000100	53810	55288	-
OG_431	OLXK01000100	55314	56678	-
OG_47	OLXK01000100	57119	59548	-
OG_64	OLXK01000100	59576	61882	-
OG_337	OLXK01000100	61879	62202	-
OG_437	OLXK01000100	62162	62428	-
OG_2645	OLXK01000100	62421	62675	-
OG_4767	OLXK01000100	62675	63283	-
OG_429	OLXK01000100	63414	64403	-
OG_407	OLXK01000100	64422	65042	-
OG_547	OLXK01000100	65024	65536	-
OG_413	OLXK01000100	65631	66167	-
OG_702	OLXK01000100	67245	67589	+
OG_2405	OLXK01000100	67912	68223	+
UG_522	OLXK01000100	68236	68499	+
OG_2394	OLXK01000100	68486	68581	+
OG_2395	OLXK01000100	68763	68969	+
OG_4566	OLXK01000100	69287	69529	+
OG_2406	OLXK01000100	69526	69711	+
OG_764	OLXK01000100	69704	69961	+
OG_706	OLXK01000100	70056	70550	+
OG_769	OLXK01000100	70616	70807	+
OG_2396	OLXK01000100	70890	71042	+
OG_912	OLXK01000100	71061	71483	+
OG_1801	OLXK01000100	71596	71766	+
OG_1800	OLXK01000100	71769	71903	+
OG_2397	OLXK01000100	72017	72259	+
OG_332	OLXK01000100	72246	73022	+
OG_651	OLXK01000100	73027	73206	+
OG_2398	OLXK01000100	73203	73427	+
OG_2407	OLXK01000100	73517	73855	+
OG_4782	OLXK01000100	73873	74196	+
OG_2408	OLXK01000100	74222	74470	+
OG_714	OLXK01000100	74483	74749	+
OG_541	OLXK01000100	74746	75255	+
OG_434	OLXK01000100	75255	77816	+
OG_2409	OLXK01000100	77806	78138	+
OG_2399	OLXK01000100	78220	78615	+
OG_2410	OLXK01000100	78622	78738	+
OG_716	OLXK01000100	78748	79317	+
OG_717	OLXK01000100	79307	81577	+
OG_218	OLXK01000100	81577	82992	+
OG_3862	OLXK01000100	83053	83985	+
OG_1980	OLXK01000100	84056	84871	+
OG_2687	OLXK01000100	84976	85953	+
OG_323	OLXK01000100	86063	87289	+
OG_680	OLXK01000100	87246	87683	+
OG_344	OLXK01000100	87677	88174	+
OG_245	OLXK01000100	88171	89370	+
OG_538	OLXK01000100	89379	89735	+
OG_2411	OLXK01000100	89888	90004	+
OG_2400	OLXK01000100	90044	91516	+
OG_348	OLXK01000100	91536	92186	+
OG_312	OLXK01000100	92192	93169	+
OG_2401	OLXK01000100	93160	93381	+
OG_2402	OLXK01000100	93386	93574	+
OG_228	OLXK01000100	93584	94348	+
OG_1416	OLXK01000100	94350	94490	+
OG_2403	OLXK01000100	94507	94779	+
OG_353	OLXK01000100	94812	95864	+
OG_2021	OLXK01000100	95854	96135	+
OG_2647	OLXK01000100	96468	97016	+
OG_211	OLXK01000100	97020	97304	+
