GeneID	Chr	Start	End	Strand
OG_2233	OFLY01000012	326	604	+
OG_1587	OFLY01000012	923	1327	+
OG_107	OFLY01000012	1324	1995	+
OG_1567	OFLY01000012	2171	2380	+
OG_1499	OFLY01000012	2525	2779	+
OG_3533	OFLY01000012	2776	3240	+
OG_3533	OFLY01000012	3274	3585	+
OG_1495	OFLY01000012	3649	3897	+
OG_1564	OFLY01000012	3878	4171	+
OG_1563	OFLY01000012	4122	4505	+
OG_1562	OFLY01000012	4505	4786	+
OG_1561	OFLY01000012	4788	5261	+
OG_1560	OFLY01000012	5245	5649	+
OG_1559	OFLY01000012	5728	5979	+
OG_53	OFLY01000012	5976	6314	+
OG_1493	OFLY01000012	6352	6759	+
OG_2043	OFLY01000012	6938	7999	+
OG_308	OFLY01000012	8046	8789	+
OG_308	OFLY01000012	8794	8898	+
OG_308	OFLY01000012	8876	9526	+
OG_1549	OFLY01000012	9587	9715	+
OG_2811	OFLY01000012	9886	10362	+
OG_1550	OFLY01000012	10643	11305	+
OG_1549	OFLY01000012	11326	11763	+
OG_6	OFLY01000012	11775	12629	+
OG_1490	OFLY01000012	12641	13447	+
OG_98	OFLY01000012	13454	13807	+
OG_1783	OFLY01000012	13908	14222	+
OG_109	OFLY01000012	14219	14602	+
OG_1547	OFLY01000012	14627	14878	+
OG_1782	OFLY01000012	14897	15643	+
OG_1786	OFLY01000012	15650	15790	+
OG_1517	OFLY01000012	15877	16143	+
OG_4086	OFLY01000012	16160	16570	+
OG_1489	OFLY01000012	16590	16793	+
OG_1892	OFLY01000012	16790	17455	+
OG_1546	OFLY01000012	17533	17787	+
OG_2818	OFLY01000012	17799	18269	+
OG_1488	OFLY01000012	18444	18965	+
OG_1893	OFLY01000012	19048	20370	+
OG_2247	OFLY01000012	20367	20600	+
OG_1519	OFLY01000012	20597	20947	+
OG_1487	OFLY01000012	20940	21953	+
OG_1544	OFLY01000012	21931	22284	+
OG_1543	OFLY01000012	22286	22543	+
OG_1927	OFLY01000012	22510	23076	+
OG_1481	OFLY01000012	23130	23408	+
OG_448	OFLY01000012	23386	24510	+
OG_122	OFLY01000012	24525	25127	+
OG_112	OFLY01000012	25143	25340	+
OG_1486	OFLY01000012	25343	26056	+
OG_1542	OFLY01000012	26044	26295	+
OG_1541	OFLY01000012	26285	26773	+
OG_3866	OFLY01000012	26806	28506	+
OG_1540	OFLY01000012	28659	29018	+
OG_1485	OFLY01000012	29015	30034	+
OG_1539	OFLY01000012	30031	30204	+
OG_1538	OFLY01000012	30201	30515	+
OG_1537	OFLY01000012	30522	30908	+
OG_99	OFLY01000012	30895	32319	+
OG_1536	OFLY01000012	32316	32672	+
OG_1535	OFLY01000012	32673	32960	+
OG_4306	OFLY01000012	32957	33295	+
OG_447	OFLY01000012	33349	33897	+
OG_1533	OFLY01000012	33894	34205	+
OG_1532	OFLY01000012	34213	34743	+
OG_1530	OFLY01000012	34736	35449	+
OG_1529	OFLY01000012	35446	35637	+
OG_1527	OFLY01000012	35666	35878	+
OG_4085	OFLY01000012	35880	36368	+
OG_1526	OFLY01000012	36458	37015	-
OG_121	OFLY01000012	37199	37363	-
OG_121	OFLY01000012	37402	37560	-
OG_130	OFLY01000012	38031	44453	-
OG_1484	OFLY01000012	44597	44956	-
OG_1779	OFLY01000012	44970	45140	-
OG_1037	OFLY01000012	45130	45447	-
OG_1525	OFLY01000012	45444	45794	-
OG_1524	OFLY01000012	45811	46116	-
OG_1777	OFLY01000012	46120	46395	-
OG_105	OFLY01000012	46392	47144	-
OG_1778	OFLY01000012	47144	47347	-
OG_1523	OFLY01000012	47344	47562	-
OG_1522	OFLY01000012	47559	47786	-
OG_319	OFLY01000012	48253	48546	-
OG_91	OFLY01000012	48640	49008	-
OG_304	OFLY01000012	49016	49504	-
OG_352	OFLY01000012	49561	49974	-
OG_268	OFLY01000012	49998	51005	-
UG_208	OFLY01000012	51043	51165	+
OG_123	OFLY01000012	51188	51796	-
OG_4770	OFLY01000012	52120	52317	-
OG_130	OFLY01000012	52543	54801	-
OG_1521	OFLY01000012	54828	55322	-
OG_62	OFLY01000012	55360	62067	-
OG_362	OFLY01000012	62071	65094	-
OG_90	OFLY01000012	65094	67934	-
OG_2259	OFLY01000012	68003	69022	-
OG_48	OFLY01000012	69774	72194	-
OG_427	OFLY01000012	72178	72591	-
OG_1790	OFLY01000012	72838	73977	-
OG_408	OFLY01000012	74176	80946	-
OG_1956	OFLY01000012	81025	81771	-
OG_4674	OFLY01000012	81775	82266	-
OG_813	OFLY01000012	82232	82693	-
OG_1515	OFLY01000012	82671	83807	-
OG_227	OFLY01000012	83812	84540	-
OG_1588	OFLY01000012	84542	84709	-
OG_581	OFLY01000012	84706	85602	-
OG_123	OFLY01000012	85686	86639	-
OG_1231	OFLY01000012	86740	87234	-
OG_459	OFLY01000012	87380	88129	+
OG_89	OFLY01000012	88187	88891	-
OG_1586	OFLY01000012	88888	89277	-
OG_461	OFLY01000012	89246	89620	-
OG_1585	OFLY01000012	89725	89847	-
OG_100	OFLY01000012	89923	93855	-
OG_88	OFLY01000012	93852	94622	-
OG_87	OFLY01000012	94639	95025	-
OG_1514	OFLY01000012	95042	95464	-
OG_1584	OFLY01000012	95448	95726	-
OG_1583	OFLY01000012	95701	96054	-
OG_124	OFLY01000012	96112	97530	-
OG_103	OFLY01000012	98047	100104	-
OG_86	OFLY01000012	100107	100745	-
OG_1513	OFLY01000012	100742	100993	-
OG_473	OFLY01000012	101017	102243	-
OG_1512	OFLY01000012	102546	102872	-
OG_907	OFLY01000012	102894	103772	-
OG_2259	OFLY01000012	103855	104901	-
UG_209	OFLY01000012	105051	105140	-
OG_1582	OFLY01000012	105653	106090	-
OG_1511	OFLY01000012	106102	106689	-
OG_65	OFLY01000012	106691	107152	-
OG_169	OFLY01000012	107284	108396	-
OG_70	OFLY01000012	108412	109473	-
OG_1581	OFLY01000012	109479	109697	-
OG_231	OFLY01000012	109783	110055	-
OG_322	OFLY01000012	110057	112186	-
OG_1580	OFLY01000012	112186	112470	-
OG_1510	OFLY01000012	112482	114224	-
OG_1212	OFLY01000012	114316	116304	-
OG_85	OFLY01000012	116447	117121	-
OG_84	OFLY01000012	117128	118213	-
OG_1040	OFLY01000012	118289	119989	-
OG_106	OFLY01000012	120012	121178	-
OG_47	OFLY01000012	121305	124064	-
OG_64	OFLY01000012	124106	127306	-
OG_1579	OFLY01000012	127314	127652	-
OG_1578	OFLY01000012	127630	128151	-
OG_1509	OFLY01000012	128138	128419	-
OG_1214	OFLY01000012	128425	129162	-
OG_1508	OFLY01000012	129166	129615	-
OG_83	OFLY01000012	129602	130042	-
OG_1577	OFLY01000012	130348	131961	+
OG_434	OFLY01000012	132219	133658	+
OG_452	OFLY01000012	133671	133982	+
OG_127	OFLY01000012	133994	134866	+
OG_1576	OFLY01000012	134863	135165	+
OG_1575	OFLY01000012	135170	135418	+
OG_1574	OFLY01000012	135415	135849	+
OG_1505	OFLY01000012	135856	136389	+
OG_1504	OFLY01000012	136486	137595	+
OG_1503	OFLY01000012	137608	138576	+
OG_1573	OFLY01000012	138632	138880	+
OG_211	OFLY01000012	138883	139533	+
OG_4752	OFLY01000012	139558	140283	+
OG_1502	OFLY01000012	140804	141496	+
OG_1572	OFLY01000012	141493	141762	+
OG_155	OFLY01000012	141793	142449	-
OG_1571	OFLY01000012	142634	143044	+
OG_49	OFLY01000012	143041	143322	+
OG_1501	OFLY01000012	143534	144337	+
UG_210	OFLY01000012	144395	144541	+
OG_2985	OFLY01000012	144538	144720	+
OG_1500	OFLY01000012	145080	145619	+
OG_1570	OFLY01000012	146175	146345	+
OG_1569	OFLY01000012	146368	146574	+
OG_2812	OFLY01000012	146946	147113	+
