GeneID	Chr	Start	End	Strand
OG_4618	OHUS01000015	1	102	+
OG_647	OHUS01000015	104	226	+
OG_649	OHUS01000015	265	561	+
OG_34	OHUS01000015	573	992	+
OG_34	OHUS01000015	1216	1671	+
OG_52	OHUS01000015	1656	2282	+
OG_179	OHUS01000015	2285	2617	+
OG_650	OHUS01000015	2629	3024	+
OG_308	OHUS01000015	3030	4034	+
OG_4156	OHUS01000015	4037	4513	+
OG_652	OHUS01000015	4526	4738	+
OG_1516	OHUS01000015	4735	5094	+
OG_4814	OHUS01000015	5091	5348	+
OG_634	OHUS01000015	5357	5518	+
OG_653	OHUS01000015	5524	5688	+
OG_670	OHUS01000015	5696	5941	+
OG_1932	OHUS01000015	6156	6530	+
OG_654	OHUS01000015	6530	6895	+
OG_671	OHUS01000015	6897	7040	+
OG_619	OHUS01000015	7307	7510	+
OG_4813	OHUS01000015	7556	7810	+
OG_642	OHUS01000015	7817	7978	+
OG_655	OHUS01000015	7975	8118	+
OG_672	OHUS01000015	8115	8267	+
OG_158	OHUS01000015	8270	8644	+
OG_656	OHUS01000015	8669	8848	+
OG_158	OHUS01000015	8879	9265	+
OG_657	OHUS01000015	9731	9943	+
OG_607	OHUS01000015	9951	10247	+
OG_608	OHUS01000015	10342	10521	+
OG_643	OHUS01000015	10533	10943	+
OG_636	OHUS01000015	10943	11371	+
OG_390	OHUS01000015	11364	12581	+
OG_161	OHUS01000015	12578	13183	+
OG_678	OHUS01000015	13185	13451	+
OG_629	OHUS01000015	13550	13903	+
OG_441	OHUS01000015	13903	15084	+
OG_1097	OHUS01000015	15131	15865	+
OG_609	OHUS01000015	15858	16157	+
OG_611	OHUS01000015	16172	16618	+
OG_317	OHUS01000015	16636	17154	+
OG_585	OHUS01000015	17117	18082	+
OG_323	OHUS01000015	18095	19117	+
OG_589	OHUS01000015	19164	19877	+
OG_1465	OHUS01000015	19942	21057	+
OG_1099	OHUS01000015	21026	22162	+
OG_1098	OHUS01000015	22167	23117	+
OG_600	OHUS01000015	23117	23785	+
OG_1096	OHUS01000015	23776	24429	+
OG_659	OHUS01000015	24426	24743	+
OG_74	OHUS01000015	24730	25233	+
OG_275	OHUS01000015	25217	26263	+
OG_36	OHUS01000015	26283	28439	+
OG_460	OHUS01000015	28443	28709	+
OG_635	OHUS01000015	28696	29070	+
OG_433	OHUS01000015	29067	29564	+
OG_211	OHUS01000015	29589	30068	+
OG_593	OHUS01000015	30068	30556	+
OG_717	OHUS01000015	30553	32430	+
OG_299	OHUS01000015	32486	32911	+
OG_620	OHUS01000015	32904	33317	+
OG_660	OHUS01000015	33319	33483	+
OG_661	OHUS01000015	33483	33659	+
OG_1159	OHUS01000015	33656	34126	+
OG_601	OHUS01000015	34119	34433	+
OG_312	OHUS01000015	34435	35304	+
OG_194	OHUS01000015	35307	35939	+
OG_62	OHUS01000015	36076	41256	+
OG_317	OHUS01000015	41410	41952	+
OG_62	OHUS01000015	42161	44995	+
OG_62	OHUS01000015	44997	48932	+
OG_291	OHUS01000015	48973	55338	-
OG_594	OHUS01000015	55351	57150	-
OG_229	OHUS01000015	57143	59737	-
OG_408	OHUS01000015	59844	65213	-
OG_583	OHUS01000015	65216	65899	-
OG_351	OHUS01000015	65901	66434	-
OG_393	OHUS01000015	66427	67134	-
OG_162	OHUS01000015	67209	67547	-
OG_595	OHUS01000015	67534	68157	-
OG_1152	OHUS01000015	68214	69212	-
OG_414	OHUS01000015	69249	69935	-
OG_414	OHUS01000015	69935	70702	-
OG_446	OHUS01000015	70756	71757	-
OG_1038	OHUS01000015	71837	73351	-
OG_106	OHUS01000015	73385	74512	-
OG_1156	OHUS01000015	74618	75049	-
OG_252	OHUS01000015	75021	75368	-
OG_625	OHUS01000015	75365	75757	-
OG_420	OHUS01000015	75831	76241	-
OG_278	OHUS01000015	76246	76590	-
OG_425	OHUS01000015	76592	77032	-
OG_37	OHUS01000015	77089	77832	-
OG_225	OHUS01000015	77933	78214	-
OG_180	OHUS01000015	78198	78602	-
OG_180	OHUS01000015	78604	78963	-
OG_612	OHUS01000015	78963	79067	-
OG_163	OHUS01000015	79098	79484	-
OG_70	OHUS01000015	79509	80459	-
OG_455	OHUS01000015	80478	80927	-
OG_663	OHUS01000015	80930	81169	-
OG_70	OHUS01000015	81171	81899	-
OG_47	OHUS01000015	81896	84280	-
OG_64	OHUS01000015	84381	86630	-
OG_638	OHUS01000015	86614	86940	-
OG_365	OHUS01000015	86931	87263	-
OG_407	OHUS01000015	87256	87798	-
OG_596	OHUS01000015	87845	88270	-
OG_749	OHUS01000015	88257	88535	-
OG_819	OHUS01000015	88525	88920	-
OG_597	OHUS01000015	88922	89185	-
OG_598	OHUS01000015	89188	89415	-
OG_665	OHUS01000015	89422	89562	-
OG_667	OHUS01000015	89573	89761	-
OG_668	OHUS01000015	90029	90139	-
OG_669	OHUS01000015	90239	90517	-
OG_599	OHUS01000015	91479	91895	-
OG_209	OHUS01000015	91964	94744	-
OG_617	OHUS01000015	94749	95249	-
OG_622	OHUS01000015	95680	96012	+
OG_644	OHUS01000015	96430	96744	+
OG_641	OHUS01000015	96774	97082	+
OG_645	OHUS01000015	97146	97280	+
OG_646	OHUS01000015	97277	97456	+
OG_2915	OHUS01000015	97461	97643	+
OG_4618	OHUS01000015	98061	98540	+
