GeneID	Chr	Start	End	Strand
OG_70_11_lib200753_1	11_lib200753_1	1	1329	-
OG_201_11_lib200753_1	11_lib200753_1	1331	1735	-
OG_300_11_lib200753_1	11_lib200753_1	1739	5920	-
OG_419_11_lib200753_1	11_lib200753_1	5922	6221	-
OG_812_11_lib200753_1	11_lib200753_1	6196	6465	-
OG_1149_11_lib200753_1	11_lib200753_1	6543	7535	-
OG_439_11_lib200753_1	11_lib200753_1	7650	8351	-
OG_439_11_lib200753_1	11_lib200753_1	8354	9037	-
OG_462_11_lib200753_1	11_lib200753_1	9069	9776	-
OG_446_11_lib200753_1	11_lib200753_1	9779	10531	-
OG_253_11_lib200753_1	11_lib200753_1	10549	11178	-
OG_1038_11_lib200753_1	11_lib200753_1	11242	12675	-
OG_317_11_lib200753_1	11_lib200753_1	12779	13405	-
OG_106_11_lib200753_1	11_lib200753_1	13593	14783	-
OG_305_11_lib200753_1	11_lib200753_1	14801	15364	-
OG_229_11_lib200753_1	11_lib200753_1	15364	15579	-
OG_288_11_lib200753_1	11_lib200753_1	15585	16244	-
OG_253_11_lib200753_1	11_lib200753_1	16210	16464	-
OG_599_11_lib200753_1	11_lib200753_1	16464	16901	-
OG_47_11_lib200753_1	11_lib200753_1	16921	19506	-
OG_64_11_lib200753_1	11_lib200753_1	19508	21580	-
OG_1065_11_lib200753_1	11_lib200753_1	21582	21773	-
OG_396_11_lib200753_1	11_lib200753_1	21843	22373	-
OG_210_11_lib200753_1	11_lib200753_1	22373	22714	-
OG_4765_11_lib200753_1	11_lib200753_1	22716	22874	-
OG_211_11_lib200753_1	11_lib200753_1	22819	23070	-
OG_77_11_lib200753_1	11_lib200753_1	23161	23916	-
OG_211_11_lib200753_1	11_lib200753_1	23979	24239	-
OG_1469_11_lib200753_1	11_lib200753_1	24241	24357	-
OG_447_11_lib200753_1	11_lib200753_1	24326	24685	-
OG_427_11_lib200753_1	11_lib200753_1	24634	25092	-
OG_750_11_lib200753_1	11_lib200753_1	25064	25276	-
OG_818_11_lib200753_1	11_lib200753_1	25254	25643	-
OG_822_11_lib200753_1	11_lib200753_1	25624	26007	-
OG_752_11_lib200753_1	11_lib200753_1	26000	26407	-
OG_1755_11_lib200753_1	11_lib200753_1	26409	26582	-
OG_751_11_lib200753_1	11_lib200753_1	26777	27154	-
OG_866_11_lib200753_1	11_lib200753_1	27215	27433	-
UG_1_11_lib200753_1	11_lib200753_1	27666	27839	-
OG_4685_11_lib200753_1	11_lib200753_1	27853	28131	-
OG_1066_11_lib200753_1	11_lib200753_1	28159	28344	-
OG_1067_11_lib200753_1	11_lib200753_1	28532	28966	+
UG_2_11_lib200753_1	11_lib200753_1	28918	29085	-
OG_683_11_lib200753_1	11_lib200753_1	29111	29326	+
OG_1071_11_lib200753_1	11_lib200753_1	29957	30286	+
OG_1072_11_lib200753_1	11_lib200753_1	30372	30494	+
OG_1073_11_lib200753_1	11_lib200753_1	30491	30733	+
OG_2797_11_lib200753_1	11_lib200753_1	30925	31230	+
OG_2798_11_lib200753_1	11_lib200753_1	31241	31495	+
OG_1069_11_lib200753_1	11_lib200753_1	31727	32020	+
OG_591_11_lib200753_1	11_lib200753_1	32038	32436	+
OG_349_11_lib200753_1	11_lib200753_1	32495	33010	+
OG_317_11_lib200753_1	11_lib200753_1	33102	33569	+
OG_1074_11_lib200753_1	11_lib200753_1	33859	34299	+
OG_1075_11_lib200753_1	11_lib200753_1	34299	34421	+
OG_1076_11_lib200753_1	11_lib200753_1	34605	34826	+
OG_760_11_lib200753_1	11_lib200753_1	35010	35378	+
OG_753_11_lib200753_1	11_lib200753_1	35413	35811	+
OG_1081_11_lib200753_1	11_lib200753_1	36444	36575	+
OG_473_11_lib200753_1	11_lib200753_1	36858	37367	-
OG_1077_11_lib200753_1	11_lib200753_1	37769	38146	+
OG_834_11_lib200753_1	11_lib200753_1	38148	38342	+
OG_839_11_lib200753_1	11_lib200753_1	38324	38758	+
OG_166_11_lib200753_1	11_lib200753_1	38755	39261	+
OG_841_11_lib200753_1	11_lib200753_1	39317	39883	+
OG_1078_11_lib200753_1	11_lib200753_1	39880	40257	+
OG_362_11_lib200753_1	11_lib200753_1	40344	41738	+
OG_1079_11_lib200753_1	11_lib200753_1	41752	42135	+
OG_1405_11_lib200753_1	11_lib200753_1	42132	42230	+
OG_1080_11_lib200753_1	11_lib200753_1	42633	42770	+
OG_479_11_lib200753_1	11_lib200753_1	44617	45156	+
OG_214_11_lib200753_1	11_lib200753_1	45165	45656	+
OG_175_11_lib200753_1	11_lib200753_1	45959	46462	+
OG_1725_11_lib200753_1	11_lib200753_1	46634	47977	+
OG_717_11_lib200753_1	11_lib200753_1	48102	50018	+
OG_338_11_lib200753_1	11_lib200753_1	50064	50624	+
OG_448_11_lib200753_1	11_lib200753_1	50605	51561	+
OG_770_11_lib200753_1	11_lib200753_1	51579	52094	+
OG_306_11_lib200753_1	11_lib200753_1	52186	52929	+
OG_416_11_lib200753_1	11_lib200753_1	52950	53561	+
OG_323_11_lib200753_1	11_lib200753_1	53811	54773	+
OG_1205_11_lib200753_1	11_lib200753_1	54770	55351	+
OG_1061_11_lib200753_1	11_lib200753_1	55323	55553	+
OG_1062_11_lib200753_1	11_lib200753_1	55557	55703	+
OG_74_11_lib200753_1	11_lib200753_1	55654	56061	+
OG_904_11_lib200753_1	11_lib200753_1	56030	56338	+
OG_905_11_lib200753_1	11_lib200753_1	56298	56447	+
OG_908_11_lib200753_1	11_lib200753_1	56428	57114	+
OG_1063_11_lib200753_1	11_lib200753_1	57111	57284	+
OG_275_11_lib200753_1	11_lib200753_1	57284	58279	+
OG_1030_11_lib200753_1	11_lib200753_1	58251	58727	+
OG_130_11_lib200753_1	11_lib200753_1	58824	64847	-
OG_62_11_lib200753_1	11_lib200753_1	64854	78509	-
OG_125_11_lib200753_1	11_lib200753_1	78512	80305	-
OG_445_11_lib200753_1	11_lib200753_1	80308	82356	-
OG_408_11_lib200753_1	11_lib200753_1	82358	86482	-
OG_583_11_lib200753_1	11_lib200753_1	86482	87447	-
OG_351_11_lib200753_1	11_lib200753_1	87455	87913	-
OG_456_11_lib200753_1	11_lib200753_1	87900	88556	-
OG_169_11_lib200753_1	11_lib200753_1	88568	89221	-
OG_322_11_lib200753_1	11_lib200753_1	89224	90957	-
OG_1156_11_lib200753_1	11_lib200753_1	90960	91421	-
OG_70_11_lib200753_1	11_lib200753_1	91421	91930	-
OG_304_11_lib200753_1	11_lib200753_1	91984	92547	-
OG_352_11_lib200753_1	11_lib200753_1	92614	93024	-
OG_268_11_lib200753_1	11_lib200753_1	93042	93977	-
OG_319_11_lib200753_1	11_lib200753_1	94016	94759	-
OG_191_11_lib200753_1	11_lib200753_1	94808	95407	-
OG_679_11_lib200753_1	11_lib200753_1	95409	95954	-
OG_169_11_lib200753_1	11_lib200753_1	96157	97185	-
OG_1956_11_lib200753_1	11_lib200753_1	97203	97976	-
OG_70_11_lib200753_1	11_lib200753_1	97978	99882	-
OG_439_16T1_lib200772_5	16T1_lib200772_5	1	639	+
OG_1151_16T1_lib200772_5	16T1_lib200772_5	661	1548	+
OG_2390_16T1_lib200772_5	16T1_lib200772_5	1614	2219	+
OG_315_16T1_lib200772_5	16T1_lib200772_5	2224	2496	+
OG_315_16T1_lib200772_5	16T1_lib200772_5	2512	2757	+
OG_120_16T1_lib200772_5	16T1_lib200772_5	2750	3235	+
OG_291_16T1_lib200772_5	16T1_lib200772_5	3280	6672	+
OG_291_16T1_lib200772_5	16T1_lib200772_5	6704	8545	+
OG_156_16T1_lib200772_5	16T1_lib200772_5	8551	8865	+
OG_813_16T1_lib200772_5	16T1_lib200772_5	8868	9209	+
OG_180_16T1_lib200772_5	16T1_lib200772_5	9377	10078	+
OG_37_16T1_lib200772_5	16T1_lib200772_5	10237	10869	+
OG_425_16T1_lib200772_5	16T1_lib200772_5	10960	11457	+
OG_278_16T1_lib200772_5	16T1_lib200772_5	11461	11832	+
OG_420_16T1_lib200772_5	16T1_lib200772_5	11837	12346	+
OG_464_16T1_lib200772_5	16T1_lib200772_5	12431	13183	+
OG_361_16T1_lib200772_5	16T1_lib200772_5	13187	14137	+
OG_584_16T1_lib200772_5	16T1_lib200772_5	14076	14891	+
OG_415_16T1_lib200772_5	16T1_lib200772_5	14894	19339	+
OG_440_16T1_lib200772_5	16T1_lib200772_5	19336	20235	+
OG_436_16T1_lib200772_5	16T1_lib200772_5	20352	21857	+
OG_1794_16T1_lib200772_5	16T1_lib200772_5	21867	24668	+
OG_314_16T1_lib200772_5	16T1_lib200772_5	24652	30825	+
OG_62_16T1_lib200772_5	16T1_lib200772_5	30956	43693	+
OG_325_16T1_lib200772_5	16T1_lib200772_5	44036	44359	-
OG_211_16T1_lib200772_5	16T1_lib200772_5	44366	45052	-
OG_326_16T1_lib200772_5	16T1_lib200772_5	45056	45547	-
OG_353_16T1_lib200772_5	16T1_lib200772_5	45547	46602	-
OG_1353_16T1_lib200772_5	16T1_lib200772_5	46590	46850	-
OG_363_16T1_lib200772_5	16T1_lib200772_5	46825	47511	-
OG_228_16T1_lib200772_5	16T1_lib200772_5	47513	48289	-
OG_799_16T1_lib200772_5	16T1_lib200772_5	48270	48446	-
OG_1352_16T1_lib200772_5	16T1_lib200772_5	48443	48670	-
OG_312_16T1_lib200772_5	16T1_lib200772_5	48696	49682	-
OG_320_16T1_lib200772_5	16T1_lib200772_5	49657	49995	-
OG_248_16T1_lib200772_5	16T1_lib200772_5	49992	50777	-
OG_537_16T1_lib200772_5	16T1_lib200772_5	50987	51352	-
OG_245_16T1_lib200772_5	16T1_lib200772_5	51359	52561	-
OG_344_16T1_lib200772_5	16T1_lib200772_5	52558	53127	-
OG_680_16T1_lib200772_5	16T1_lib200772_5	53124	53549	-
OG_323_16T1_lib200772_5	16T1_lib200772_5	53491	54684	-
OG_2687_16T1_lib200772_5	16T1_lib200772_5	54772	55728	-
OG_1980_16T1_lib200772_5	16T1_lib200772_5	55831	56673	-
OG_3862_16T1_lib200772_5	16T1_lib200772_5	56734	57693	-
OG_218_16T1_lib200772_5	16T1_lib200772_5	57745	59127	-
OG_717_16T1_lib200772_5	16T1_lib200772_5	59108	59635	-
OG_253_16T1_lib200772_5	16T1_lib200772_5	59746	60459	-
OG_717_16T1_lib200772_5	16T1_lib200772_5	60641	62473	-
OG_716_16T1_lib200772_5	16T1_lib200772_5	62475	63044	-
OG_434_16T1_lib200772_5	16T1_lib200772_5	63046	64500	-
OG_542_16T1_lib200772_5	16T1_lib200772_5	64490	64957	-
OG_714_16T1_lib200772_5	16T1_lib200772_5	64964	65263	-
OG_711_16T1_lib200772_5	16T1_lib200772_5	65268	65588	-
OG_1343_16T1_lib200772_5	16T1_lib200772_5	65968	66297	-
OG_1350_16T1_lib200772_5	16T1_lib200772_5	66287	66502	-
OG_1362_16T1_lib200772_5	16T1_lib200772_5	66507	66761	-
OG_1046_16T1_lib200772_5	16T1_lib200772_5	66901	67311	-
OG_1351_16T1_lib200772_5	16T1_lib200772_5	67376	67597	-
OG_2000_16T1_lib200772_5	16T1_lib200772_5	67599	67916	-
OG_1359_16T1_lib200772_5	16T1_lib200772_5	67919	68227	-
OG_1999_16T1_lib200772_5	16T1_lib200772_5	68230	68832	-
OG_792_16T1_lib200772_5	16T1_lib200772_5	69311	69478	-
OG_731_16T1_lib200772_5	16T1_lib200772_5	69504	69635	-
OG_707_16T1_lib200772_5	16T1_lib200772_5	69645	70226	-
OG_703_16T1_lib200772_5	16T1_lib200772_5	70448	71008	-
UG_3_16T1_lib200772_5	16T1_lib200772_5	71455	71586	-
OG_1365_16T1_lib200772_5	16T1_lib200772_5	71636	71806	+
OG_1364_16T1_lib200772_5	16T1_lib200772_5	72432	72659	+
UG_4_16T1_lib200772_5	16T1_lib200772_5	72767	73027	-
OG_1360_16T1_lib200772_5	16T1_lib200772_5	73105	73308	-
OG_704_16T1_lib200772_5	16T1_lib200772_5	73421	73933	-
OG_1346_16T1_lib200772_5	16T1_lib200772_5	74077	74322	-
OG_1363_16T1_lib200772_5	16T1_lib200772_5	75299	75418	-
OG_1356_16T1_lib200772_5	16T1_lib200772_5	75408	75629	-
OG_1355_16T1_lib200772_5	16T1_lib200772_5	75642	75767	-
OG_794_16T1_lib200772_5	16T1_lib200772_5	75876	76334	+
OG_1354_16T1_lib200772_5	16T1_lib200772_5	76434	76532	+
OG_413_16T1_lib200772_5	16T1_lib200772_5	76525	77097	+
OG_547_16T1_lib200772_5	16T1_lib200772_5	77219	77758	+
OG_407_16T1_lib200772_5	16T1_lib200772_5	77730	78335	+
OG_365_16T1_lib200772_5	16T1_lib200772_5	78337	78636	+
OG_429_16T1_lib200772_5	16T1_lib200772_5	78640	79644	+
