GeneID	Chr	Start	End	Strand
OG_1956	OLRA01000126	1	642	+
OG_169	OLRA01000126	649	1686	+
OG_679	OLRA01000126	1869	2414	+
OG_191	OLRA01000126	2416	3015	+
OG_319	OLRA01000126	3064	3807	+
OG_268	OLRA01000126	3846	4793	+
OG_352	OLRA01000126	4811	5221	+
OG_304	OLRA01000126	5288	5851	+
OG_70	OLRA01000126	5905	6414	+
OG_1156	OLRA01000126	6414	6875	+
OG_322	OLRA01000126	6878	8941	+
OG_231	OLRA01000126	8943	9227	+
OG_456	OLRA01000126	9217	9873	+
OG_351	OLRA01000126	9860	10318	+
OG_583	OLRA01000126	10328	11269	+
OG_408	OLRA01000126	11269	15393	+
OG_445	OLRA01000126	15395	17443	+
OG_125	OLRA01000126	17446	19239	+
OG_62	OLRA01000126	19242	29585	+
OG_356	OLRA01000126	29765	30412	+
OG_62	OLRA01000126	30495	33236	+
OG_130	OLRA01000126	33243	39233	+
OG_1030	OLRA01000126	39330	39809	-
OG_275	OLRA01000126	39778	40773	-
OG_1063	OLRA01000126	40773	40946	-
OG_908	OLRA01000126	40943	41629	-
OG_74	OLRA01000126	41626	42042	-
OG_1062	OLRA01000126	41993	42139	-
OG_1205	OLRA01000126	42136	42699	-
OG_1419	OLRA01000126	42696	42938	-
OG_323	OLRA01000126	42935	43984	-
OG_416	OLRA01000126	44150	44761	-
OG_306	OLRA01000126	44782	45102	-
OG_305	OLRA01000126	45301	45921	-
OG_306	OLRA01000126	46043	46360	-
OG_770	OLRA01000126	46452	46967	-
OG_448	OLRA01000126	46985	47941	-
OG_338	OLRA01000126	47922	48482	-
OG_717	OLRA01000126	48534	50444	-
OG_1725	OLRA01000126	50569	51912	-
OG_175	OLRA01000126	52084	52587	-
OG_214	OLRA01000126	52890	53381	-
OG_479	OLRA01000126	53390	53965	-
OG_1079	OLRA01000126	56411	56794	-
OG_362	OLRA01000126	56808	58202	-
OG_1078	OLRA01000126	58289	58666	-
OG_841	OLRA01000126	58663	59229	-
OG_166	OLRA01000126	59285	59791	-
OG_839	OLRA01000126	59788	60222	-
OG_834	OLRA01000126	60204	60398	-
OG_1077	OLRA01000126	60400	60777	-
OG_473	OLRA01000126	61177	61686	+
OG_1081	OLRA01000126	61969	62100	-
OG_753	OLRA01000126	62711	63109	-
OG_760	OLRA01000126	63145	63516	-
OG_1076	OLRA01000126	63709	63930	-
OG_1075	OLRA01000126	64114	64236	-
OG_1074	OLRA01000126	64236	64676	-
OG_349	OLRA01000126	65050	65565	-
OG_591	OLRA01000126	65620	66024	-
OG_1073	OLRA01000126	66198	66440	-
OG_1072	OLRA01000126	66437	66580	-
OG_1071	OLRA01000126	66666	66995	-
OG_1068	OLRA01000126	67926	68048	-
OG_683	OLRA01000126	68073	68288	-
OG_1067	OLRA01000126	68425	68868	-
OG_4685	OLRA01000126	69092	69370	+
OG_3433	OLRA01000126	69384	69584	+
OG_866	OLRA01000126	69844	70032	+
OG_751	OLRA01000126	70093	70470	+
OG_1755	OLRA01000126	70625	70885	+
OG_752	OLRA01000126	70887	71294	+
OG_822	OLRA01000126	71287	71670	+
OG_818	OLRA01000126	71651	72040	+
OG_750	OLRA01000126	72018	72230	+
OG_427	OLRA01000126	72202	72660	+
OG_447	OLRA01000126	72609	72968	+
OG_211	OLRA01000126	73055	73555	+
OG_4765	OLRA01000126	73500	73658	+
OG_210	OLRA01000126	73660	74001	+
OG_396	OLRA01000126	74001	74531	+
OG_1065	OLRA01000126	74601	74792	+
OG_64	OLRA01000126	74794	77904	+
OG_47	OLRA01000126	77906	80491	+
OG_599	OLRA01000126	80511	80957	+
OG_288	OLRA01000126	80960	82246	+
OG_229	OLRA01000126	82252	82464	+
OG_106	OLRA01000126	82482	83672	+
OG_1038	OLRA01000126	83696	84082	+
OG_317	OLRA01000126	84185	84925	+
OG_1038	OLRA01000126	84918	86042	+
OG_446	OLRA01000126	86131	86883	+
OG_462	OLRA01000126	86886	87593	+
OG_439	OLRA01000126	87616	88299	+
OG_439	OLRA01000126	88302	89003	+
OG_1149	OLRA01000126	89119	90111	+
OG_812	OLRA01000126	90189	90458	+
OG_419	OLRA01000126	90433	90732	+
OG_300	OLRA01000126	90734	94915	+
OG_201	OLRA01000126	94919	95323	+
OG_70	OLRA01000126	95325	99782	+
OG_124	OLRA01000126	100078	101109	+
OG_169	OLRA01000126	101090	101734	+
OG_291	OLRA01000126	101736	102611	+
OG_1956	OLRA01000126	102631	102783	+
