GeneID	Chr	Start	End	Strand
OG_70	OHJU01000015	2	1216	-
OG_70	OHJU01000015	1231	1785	-
OG_811	OHJU01000015	1804	2133	-
OG_65	OHJU01000015	2182	2643	-
OG_322	OHJU01000015	2671	3138	-
OG_173	OHJU01000015	3101	3331	-
OG_378	OHJU01000015	3291	3587	-
OG_300	OHJU01000015	3609	8627	-
OG_291	OHJU01000015	8646	11666	-
OG_291	OHJU01000015	11663	12202	-
OG_812	OHJU01000015	12199	12732	-
OG_1149	OHJU01000015	12807	13790	-
OG_439	OHJU01000015	13890	14624	-
OG_462	OHJU01000015	14627	15304	-
OG_446	OHJU01000015	15304	16056	-
OG_1038	OHJU01000015	16133	17599	-
OG_106	OHJU01000015	17642	18820	-
OG_229	OHJU01000015	18842	19015	-
OG_288	OHJU01000015	18978	19793	-
OG_813	OHJU01000015	20224	20673	-
OG_47	OHJU01000015	20676	23162	-
OG_64	OHJU01000015	23204	26302	-
OG_814	OHJU01000015	26452	26691	-
OG_396	OHJU01000015	26743	27270	-
OG_815	OHJU01000015	27257	27583	-
OG_211	OHJU01000015	27586	28101	-
OG_447	OHJU01000015	28104	28433	-
OG_276	OHJU01000015	28423	28701	-
OG_427	OHJU01000015	28685	29119	-
OG_817	OHJU01000015	29116	29253	-
OG_750	OHJU01000015	29250	29450	-
OG_818	OHJU01000015	29398	29760	-
OG_822	OHJU01000015	29753	30121	-
OG_752	OHJU01000015	30114	30536	-
OG_823	OHJU01000015	30518	30712	-
OG_751	OHJU01000015	30864	31217	-
OG_200	OHJU01000015	31263	31469	-
OG_1091	OHJU01000015	31704	31889	-
OG_1091	OHJU01000015	32001	32156	-
OG_183	OHJU01000015	32393	33082	+
OG_1092	OHJU01000015	33200	33304	+
OG_223	OHJU01000015	34065	34325	+
OG_223	OHJU01000015	34327	34575	+
OG_2231	OHJU01000015	34930	35445	+
OG_198	OHJU01000015	35417	35719	+
OG_762	OHJU01000015	35716	36045	+
OG_1093	OHJU01000015	35985	36095	+
OG_824	OHJU01000015	36112	36369	+
OG_825	OHJU01000015	36341	36487	+
OG_2041	OHJU01000015	36500	36700	+
OG_349	OHJU01000015	36717	37139	+
OG_826	OHJU01000015	37882	38271	+
OG_827	OHJU01000015	38783	39232	+
OG_828	OHJU01000015	39897	40139	+
OG_305	OHJU01000015	40373	40975	-
OG_832	OHJU01000015	41502	42056	+
OG_833	OHJU01000015	42364	42567	+
OG_2551	OHJU01000015	42548	42889	+
OG_754	OHJU01000015	42882	43172	+
OG_834	OHJU01000015	43174	43377	+
OG_840	OHJU01000015	43371	43829	+
OG_758	OHJU01000015	43829	44275	+
OG_841	OHJU01000015	44328	44873	+
OG_842	OHJU01000015	44891	45241	+
OG_267	OHJU01000015	45311	47026	+
OG_197	OHJU01000015	47046	47516	+
OG_4549	OHJU01000015	49318	49506	+
OG_479	OHJU01000015	49595	50173	+
OG_214	OHJU01000015	50196	50735	+
OG_175	OHJU01000015	51116	51610	+
OG_875	OHJU01000015	51709	52533	+
OG_717	OHJU01000015	52473	54458	+
OG_338	OHJU01000015	54509	55081	+
OG_448	OHJU01000015	55053	56036	+
OG_770	OHJU01000015	56039	56617	+
OG_306	OHJU01000015	56701	57450	+
OG_416	OHJU01000015	57477	58097	+
OG_323	OHJU01000015	58223	59197	+
OG_810	OHJU01000015	59172	59510	+
OG_74	OHJU01000015	59476	59856	+
OG_32	OHJU01000015	59868	60743	+
OG_908	OHJU01000015	60790	61605	+
OG_275	OHJU01000015	61741	62733	+
OG_843	OHJU01000015	62714	63148	+
OG_130	OHJU01000015	63183	67589	-
OG_62	OHJU01000015	67592	80914	-
OG_125	OHJU01000015	80927	82789	-
OG_445	OHJU01000015	82789	84729	-
OG_408	OHJU01000015	84695	88873	-
OG_583	OHJU01000015	88864	89787	-
OG_351	OHJU01000015	89796	90263	-
OG_456	OHJU01000015	90260	90925	-
OG_304	OHJU01000015	91189	91767	-
OG_352	OHJU01000015	91819	92235	-
OG_268	OHJU01000015	92253	93170	-
OG_319	OHJU01000015	93194	93829	-
OG_191	OHJU01000015	93826	94482	-
OG_679	OHJU01000015	94439	94981	-
OG_124	OHJU01000015	95079	96107	-
OG_70	OHJU01000015	96433	98775	-
