GeneID	Chr	Start	End	Strand
OG_607	OHBM01000040	1	246	+
OG_1168	OHBM01000040	346	900	+
OG_608	OHBM01000040	902	1087	+
UG_272	OHBM01000040	1118	1219	+
OG_450	OHBM01000040	1212	1409	+
OG_1208	OHBM01000040	1399	2199	+
OG_1174	OHBM01000040	2430	2771	+
OG_390	OHBM01000040	2794	3933	+
OG_628	OHBM01000040	3930	4331	+
OG_161	OHBM01000040	4328	4927	+
OG_441	OHBM01000040	4930	6141	+
OG_1097	OHBM01000040	6166	6846	+
OG_609	OHBM01000040	6839	7102	+
OG_611	OHBM01000040	7114	7560	+
OG_585	OHBM01000040	7619	8542	+
OG_323	OHBM01000040	8564	9604	+
OG_317	OHBM01000040	9626	10207	+
OG_589	OHBM01000040	10229	10885	+
OG_1465	OHBM01000040	10945	12246	+
OG_1099	OHBM01000040	12185	13402	+
OG_1098	OHBM01000040	13399	14337	+
OG_600	OHBM01000040	14337	15107	+
OG_1096	OHBM01000040	15104	15307	+
OG_356	OHBM01000040	15377	16081	+
OG_1096	OHBM01000040	16241	16714	+
OG_658	OHBM01000040	16731	17282	+
OG_74	OHBM01000040	17272	17769	+
OG_423	OHBM01000040	17753	18016	+
OG_275	OHBM01000040	18028	19083	+
OG_36	OHBM01000040	19085	20032	+
OG_470	OHBM01000040	20047	20742	+
OG_36	OHBM01000040	21094	22236	+
OG_334	OHBM01000040	22299	23027	+
OG_433	OHBM01000040	22981	23457	+
OG_211	OHBM01000040	23441	23977	+
OG_593	OHBM01000040	24001	24495	+
OG_630	OHBM01000040	24495	24773	+
OG_417	OHBM01000040	24770	27082	+
OG_348	OHBM01000040	27110	27541	+
OG_1163	OHBM01000040	27772	28119	+
OG_603	OHBM01000040	28116	28322	+
OG_601	OHBM01000040	28322	28672	+
OG_460	OHBM01000040	28688	28897	+
OG_312	OHBM01000040	28925	29815	+
OG_196	OHBM01000040	29828	30067	+
OG_194	OHBM01000040	30132	30695	+
OG_62	OHBM01000040	30808	38145	+
OG_62	OHBM01000040	38147	42568	+
OG_62	OHBM01000040	42623	49813	-
OG_594	OHBM01000040	49823	51130	-
OG_229	OHBM01000040	51132	53903	-
OG_408	OHBM01000040	54023	58873	-
OG_583	OHBM01000040	58875	59582	-
OG_253	OHBM01000040	59566	60204	-
OG_209	OHBM01000040	60194	60733	-
OG_351	OHBM01000040	60730	61284	-
OG_393	OHBM01000040	61288	62025	-
OG_162	OHBM01000040	62074	62412	-
OG_595	OHBM01000040	62400	62972	-
OG_1152	OHBM01000040	63038	64093	-
OG_439	OHBM01000040	64123	64809	-
OG_414	OHBM01000040	64809	65672	-
OG_446	OHBM01000040	65689	66711	-
OG_1038	OHBM01000040	66778	68289	-
OG_376	OHBM01000040	68380	69546	-
OG_420	OHBM01000040	69700	69897	-
OG_70	OHBM01000040	69953	70528	-
OG_28	OHBM01000040	70774	71028	-
OG_1170	OHBM01000040	70991	71089	-
OG_1156	OHBM01000040	71086	71550	-
OG_252	OHBM01000040	71498	71878	-
OG_191	OHBM01000040	71880	72464	-
OG_1169	OHBM01000040	72497	73327	-
OG_70	OHBM01000040	73309	75015	-
OG_70	OHBM01000040	75025	76764	-
OG_455	OHBM01000040	76786	76977	-
OG_70	OHBM01000040	77133	78020	-
OG_47	OHBM01000040	78017	80440	-
OG_253	OHBM01000040	80433	81116	-
OG_64	OHBM01000040	81215	83515	-
OG_638	OHBM01000040	83487	83837	-
OG_396	OHBM01000040	83840	84379	-
OG_596	OHBM01000040	84436	84861	-
OG_2044	OHBM01000040	84874	85077	-
OG_749	OHBM01000040	85074	85343	-
OG_819	OHBM01000040	85340	85723	-
OG_317	OHBM01000040	85716	86210	-
OG_597	OHBM01000040	86219	86551	-
OG_598	OHBM01000040	86572	86793	-
OG_1158	OHBM01000040	86762	87091	-
OG_664	OHBM01000040	87099	87296	-
OG_673	OHBM01000040	87801	88247	-
OG_3337	OHBM01000040	89773	90093	+
OG_1028	OHBM01000040	90056	90742	-
OG_764	OHBM01000040	91250	91468	+
OG_3163	OHBM01000040	91546	91827	+
OG_3163	OHBM01000040	92286	92567	+
OG_648	OHBM01000040	92740	92829	+
OG_1467	OHBM01000040	93046	93210	+
OG_3236	OHBM01000040	93296	93526	+
OG_1736	OHBM01000040	93544	93774	+
OG_1466	OHBM01000040	94217	94525	+
OG_607	OHBM01000040	94679	94834	+
