GeneID	Chr	Start	End	Strand
OG_448	SRR4295172_ms_4	177	866	+
OG_770	SRR4295172_ms_4	880	1317	+
OG_306	SRR4295172_ms_4	1396	2136	+
OG_416	SRR4295172_ms_4	2157	2780	+
OG_323	SRR4295172_ms_4	3043	4041	+
OG_74	SRR4295172_ms_4	3995	4375	+
OG_32	SRR4295172_ms_4	4387	5208	+
OG_275	SRR4295172_ms_4	5331	6305	+
OG_1030	SRR4295172_ms_4	6283	6768	+
OG_130	SRR4295172_ms_4	6821	12007	-
OG_62	SRR4295172_ms_4	12010	25404	-
OG_125	SRR4295172_ms_4	25406	27193	-
OG_445	SRR4295172_ms_4	27207	29330	-
OG_408	SRR4295172_ms_4	29327	33499	-
OG_583	SRR4295172_ms_4	33506	34414	-
OG_351	SRR4295172_ms_4	34419	34862	-
OG_456	SRR4295172_ms_4	34859	35521	-
OG_304	SRR4295172_ms_4	35656	36222	-
OG_352	SRR4295172_ms_4	36265	36705	-
OG_268	SRR4295172_ms_4	36723	37706	-
OG_319	SRR4295172_ms_4	37739	38344	-
OG_191	SRR4295172_ms_4	38375	39013	-
OG_679	SRR4295172_ms_4	38985	39515	-
OG_124	SRR4295172_ms_4	39611	40636	-
OG_70	SRR4295172_ms_4	40895	42136	-
OG_70	SRR4295172_ms_4	42138	42668	-
OG_231	SRR4295172_ms_4	42665	42940	-
OG_322	SRR4295172_ms_4	42987	46346	-
OG_1156	SRR4295172_ms_4	46364	46825	-
OG_1471	SRR4295172_ms_4	46816	47019	-
OG_173	SRR4295172_ms_4	47042	47227	-
OG_224	SRR4295172_ms_4	47229	55172	-
OG_176	SRR4295172_ms_4	55169	58549	-
OG_70	SRR4295172_ms_4	58546	59568	-
OG_300	SRR4295172_ms_4	59568	62609	-
OG_291	SRR4295172_ms_4	62617	63774	-
OG_853	SRR4295172_ms_4	63749	64009	-
OG_812	SRR4295172_ms_4	63960	64586	-
OG_1149	SRR4295172_ms_4	64662	65642	-
OG_439	SRR4295172_ms_4	65740	66402	-
OG_462	SRR4295172_ms_4	66405	67103	-
OG_446	SRR4295172_ms_4	67103	67855	-
OG_1038	SRR4295172_ms_4	67927	69396	-
OG_106	SRR4295172_ms_4	69432	70598	-
OG_229	SRR4295172_ms_4	70617	70832	-
OG_898	SRR4295172_ms_4	70792	71163	-
OG_288	SRR4295172_ms_4	71138	72430	-
OG_813	SRR4295172_ms_4	72479	72832	-
OG_47	SRR4295172_ms_4	72834	75338	-
OG_64	SRR4295172_ms_4	75341	77392	-
OG_215	SRR4295172_ms_4	77641	77775	-
OG_396	SRR4295172_ms_4	77837	78370	-
OG_849	SRR4295172_ms_4	78357	78662	-
OG_210	SRR4295172_ms_4	78662	79015	-
OG_276	SRR4295172_ms_4	79049	79459	-
OG_427	SRR4295172_ms_4	79422	79883	-
OG_750	SRR4295172_ms_4	79831	80058	-
OG_818	SRR4295172_ms_4	80030	80416	-
OG_822	SRR4295172_ms_4	80391	80783	-
OG_752	SRR4295172_ms_4	80776	81153	-
OG_751	SRR4295172_ms_4	81378	81728	-
OG_866	SRR4295172_ms_4	81761	82045	-
OG_886	SRR4295172_ms_4	82045	82281	-
OG_266	SRR4295172_ms_4	82638	83369	+
OG_1033	SRR4295172_ms_4	83813	83995	+
OG_1034	SRR4295172_ms_4	84002	84169	+
OG_171	SRR4295172_ms_4	85195	85491	+
OG_855	SRR4295172_ms_4	85518	85703	+
OG_349	SRR4295172_ms_4	85706	86329	+
OG_848	SRR4295172_ms_4	86639	86887	+
OG_283	SRR4295172_ms_4	86890	87360	+
OG_854	SRR4295172_ms_4	87363	87461	+
OG_250	SRR4295172_ms_4	87458	87865	+
OG_847	SRR4295172_ms_4	88202	88468	+
OG_753	SRR4295172_ms_4	88516	88980	+
OG_754	SRR4295172_ms_4	89870	90208	+
OG_835	SRR4295172_ms_4	90202	90327	+
OG_840	SRR4295172_ms_4	90324	90794	+
OG_758	SRR4295172_ms_4	90772	91128	+
OG_841	SRR4295172_ms_4	91297	91860	+
OG_846	SRR4295172_ms_4	91872	92240	+
OG_362	SRR4295172_ms_4	92301	93839	+
OG_184	SRR4295172_ms_4	93907	94308	+
OG_845	SRR4295172_ms_4	94301	94726	+
OG_234	SRR4295172_ms_4	96875	97507	+
OG_234	SRR4295172_ms_4	97513	98088	+
OG_175	SRR4295172_ms_4	98310	98813	+
OG_1724	SRR4295172_ms_4	98867	99631	+
OG_852	SRR4295172_ms_4	99657	100106	+
OG_717	SRR4295172_ms_4	100237	102216	+
OG_338	SRR4295172_ms_4	102272	102838	+
OG_448	SRR4295172_ms_4	102819	102968	+
