GeneID	Chr	Start	End	Strand
OG_322	OICG01000006	3	1934	-
OG_1580	OICG01000006	1934	2218	-
OG_1510	OICG01000006	2230	3972	-
OG_1212	OICG01000006	4064	6052	-
OG_85	OICG01000006	6195	6869	-
OG_84	OICG01000006	6873	7961	-
OG_1040	OICG01000006	8066	9766	-
OG_106	OICG01000006	9789	10955	-
OG_47	OICG01000006	11082	13841	-
OG_64	OICG01000006	13884	16652	-
OG_1579	OICG01000006	16660	16998	-
OG_1578	OICG01000006	16976	17497	-
OG_1509	OICG01000006	17484	17765	-
OG_1214	OICG01000006	17769	18506	-
OG_1508	OICG01000006	18510	18959	-
OG_83	OICG01000006	18946	19386	-
OG_1577	OICG01000006	19687	21300	+
OG_434	OICG01000006	21558	22985	+
OG_452	OICG01000006	22997	23308	+
OG_127	OICG01000006	23320	24192	+
OG_1576	OICG01000006	24189	24491	+
OG_1575	OICG01000006	24496	24744	+
OG_1574	OICG01000006	24741	25175	+
OG_1505	OICG01000006	25182	25715	+
OG_1504	OICG01000006	25812	26921	+
OG_1503	OICG01000006	26934	27902	+
OG_1573	OICG01000006	27958	28206	+
OG_211	OICG01000006	28209	28859	+
OG_4752	OICG01000006	28884	29636	+
OG_1502	OICG01000006	30161	30853	+
OG_1572	OICG01000006	30850	31119	+
OG_155	OICG01000006	31150	31806	-
OG_70	OICG01000006	32094	33038	+
OG_1571	OICG01000006	33119	33529	+
OG_49	OICG01000006	33526	34086	+
OG_1501	OICG01000006	34099	35070	+
OG_1500	OICG01000006	35730	36269	+
OG_1570	OICG01000006	36854	37024	+
OG_1569	OICG01000006	37047	37253	+
OG_2233	OICG01000006	38205	38465	+
OG_1587	OICG01000006	38802	39206	+
OG_373	OICG01000006	39203	39544	+
OG_107	OICG01000006	39559	39873	+
OG_1567	OICG01000006	40047	40271	+
OG_670	OICG01000006	40268	40480	+
OG_1499	OICG01000006	40590	40844	+
OG_3533	OICG01000006	40841	41650	+
OG_1495	OICG01000006	41714	41962	+
OG_1564	OICG01000006	41943	42236	+
OG_1563	OICG01000006	42187	42570	+
OG_1562	OICG01000006	42582	42851	+
OG_1561	OICG01000006	42853	43326	+
OG_1560	OICG01000006	43310	43714	+
OG_1559	OICG01000006	43793	44044	+
OG_108	OICG01000006	44041	44556	+
OG_1558	OICG01000006	44543	44911	+
OG_1557	OICG01000006	44898	45086	+
OG_1784	OICG01000006	45189	45659	+
OG_1264	OICG01000006	45671	46138	+
OG_1555	OICG01000006	46150	46464	+
OG_1483	OICG01000006	46469	47323	+
OG_1493	OICG01000006	47392	47784	+
OG_1554	OICG01000006	47781	48017	+
OG_2234	OICG01000006	48029	48925	+
OG_2988	OICG01000006	48936	49226	+
OG_2043	OICG01000006	49239	50300	+
OG_308	OICG01000006	50347	51090	+
OG_308	OICG01000006	51095	51832	+
OG_1552	OICG01000006	51829	52302	+
OG_1551	OICG01000006	52428	52682	+
OG_1550	OICG01000006	52701	53363	+
OG_1549	OICG01000006	53384	53821	+
OG_6	OICG01000006	53833	54702	+
OG_1490	OICG01000006	54699	55496	+
OG_1783	OICG01000006	55508	55816	+
OG_109	OICG01000006	55819	56202	+
OG_1547	OICG01000006	56227	56478	+
OG_1782	OICG01000006	56497	57243	+
OG_1594	OICG01000006	57248	57559	+
OG_1593	OICG01000006	57584	57781	+
OG_1590	OICG01000006	57789	58040	+
OG_1589	OICG01000006	58227	58694	+
OG_1781	OICG01000006	58691	58936	+
OG_1517	OICG01000006	58981	59223	+
OG_1489	OICG01000006	59272	59475	+
OG_1892	OICG01000006	59472	60137	+
OG_1546	OICG01000006	60213	60467	+
OG_2818	OICG01000006	60479	60949	+
OG_1545	OICG01000006	60942	61193	+
OG_1488	OICG01000006	61193	61666	+
OG_1893	OICG01000006	61647	62966	+
OG_2247	OICG01000006	62963	63196	+
OG_1519	OICG01000006	63193	63543	+
OG_1487	OICG01000006	63536	64549	+
OG_1544	OICG01000006	64527	64880	+
OG_1543	OICG01000006	64882	65139	+
OG_1927	OICG01000006	65106	65672	+
OG_1481	OICG01000006	65725	66003	+
OG_448	OICG01000006	65981	67105	+
OG_122	OICG01000006	67120	67722	+
OG_112	OICG01000006	67738	67944	+
OG_1486	OICG01000006	67947	68660	+
OG_1542	OICG01000006	68648	68899	+
OG_1541	OICG01000006	68889	69383	+
OG_3866	OICG01000006	69417	71117	+
OG_1540	OICG01000006	71271	71630	+
OG_1485	OICG01000006	71627	72646	+
OG_1539	OICG01000006	72643	72816	+
OG_1538	OICG01000006	72813	73142	+
OG_1537	OICG01000006	73146	73523	+
OG_99	OICG01000006	73513	74934	+
OG_1536	OICG01000006	74931	75287	+
OG_1535	OICG01000006	75288	75575	+
OG_4306	OICG01000006	75572	75910	+
OG_447	OICG01000006	75964	76512	+
OG_1533	OICG01000006	76509	76817	+
OG_102	OICG01000006	76822	77193	+
OG_102	OICG01000006	77220	78002	+
OG_1532	OICG01000006	77999	78541	+
OG_1530	OICG01000006	78534	79247	+
OG_1529	OICG01000006	79244	79435	+
OG_1527	OICG01000006	79443	79679	+
OG_4085	OICG01000006	79681	80169	+
OG_1780	OICG01000006	80153	80410	+
UG_303	OICG01000006	80452	80988	-
OG_121	OICG01000006	81187	81804	-
OG_130	OICG01000006	82017	88439	-
OG_1484	OICG01000006	88582	88968	-
OG_1779	OICG01000006	88955	89125	-
OG_1037	OICG01000006	89115	89432	-
OG_1525	OICG01000006	89429	89779	-
OG_1524	OICG01000006	89797	90102	-
OG_1777	OICG01000006	90106	90381	-
OG_105	OICG01000006	90378	91241	-
OG_4769	OICG01000006	91265	91900	-
OG_1778	OICG01000006	91902	92105	-
OG_1523	OICG01000006	92102	92320	-
OG_1522	OICG01000006	92317	92544	-
OG_319	OICG01000006	93016	93309	-
OG_91	OICG01000006	93403	93780	-
OG_304	OICG01000006	93788	94276	-
OG_352	OICG01000006	94333	94746	-
OG_268	OICG01000006	94770	95777	-
OG_4770	OICG01000006	96111	96308	-
OG_408	OICG01000006	96533	98791	-
OG_1789	OICG01000006	98858	100084	-
OG_1521	OICG01000006	100218	100748	-
OG_62	OICG01000006	100751	107452	-
OG_362	OICG01000006	107456	110479	-
OG_90	OICG01000006	110479	113328	-
OG_2259	OICG01000006	113397	114416	-
OG_471	OICG01000006	115168	117423	-
OG_427	OICG01000006	117407	117826	-
OG_1790	OICG01000006	118020	119159	+
OG_2232	OICG01000006	119305	120939	-
OG_408	OICG01000006	121636	128499	-
OG_1956	OICG01000006	128578	129327	-
OG_4674	OICG01000006	129358	129828	-
OG_813	OICG01000006	129821	130282	-
OG_1515	OICG01000006	130266	131396	-
OG_227	OICG01000006	131401	132129	-
OG_1588	OICG01000006	132135	132299	-
OG_581	OICG01000006	132296	133192	-
OG_123	OICG01000006	133276	134226	-
OG_1231	OICG01000006	134328	134822	-
OG_89	OICG01000006	134893	135597	-
OG_1586	OICG01000006	135594	135983	-
OG_461	OICG01000006	135952	136326	-
OG_1585	OICG01000006	136431	136553	-
OG_100	OICG01000006	136667	141148	-
OG_88	OICG01000006	141145	141891	-
OG_87	OICG01000006	141931	142317	-
OG_1514	OICG01000006	142334	142756	-
OG_1584	OICG01000006	142740	143018	-
OG_1583	OICG01000006	142993	143346	-
OG_124	OICG01000006	143405	144823	-
OG_103	OICG01000006	145327	147384	-
OG_86	OICG01000006	147387	148025	-
OG_1513	OICG01000006	148022	148273	-
OG_1512	OICG01000006	148275	148601	-
OG_907	OICG01000006	148623	149501	-
OG_1582	OICG01000006	149585	150052	-
OG_1511	OICG01000006	150034	150393	-
OG_65	OICG01000006	150623	151084	-
OG_169	OICG01000006	151216	152328	-
OG_70	OICG01000006	152344	153393	-
OG_231	OICG01000006	153699	153971	-
OG_322	OICG01000006	153973	154152	-
