GeneID	Chr	Start	End	Strand
OG_421	OLYV01000018	3	3176	+
OG_24	OLYV01000018	3178	10116	+
OG_24	OLYV01000018	10413	13208	+
OG_24	OLYV01000018	13205	15652	+
OG_335	OLYV01000018	15654	20216	+
OG_2458	OLYV01000018	20261	20443	+
OG_138	OLYV01000018	20440	20625	+
OG_299	OLYV01000018	20681	20932	-
OG_317	OLYV01000018	20913	21434	-
OG_1656	OLYV01000018	21437	21907	-
OG_4160	OLYV01000018	21919	22281	-
OG_908	OLYV01000018	22265	22963	-
OG_2528	OLYV01000018	22960	23202	-
OG_4345	OLYV01000018	23205	23495	-
OG_4325	OLYV01000018	23488	23664	-
OG_2511	OLYV01000018	23661	23957	-
OG_4344	OLYV01000018	23917	24240	-
OG_4324	OLYV01000018	24241	24540	-
OG_2659	OLYV01000018	24522	24695	-
OG_1205	OLYV01000018	24692	25039	-
OG_333	OLYV01000018	25120	26022	-
OG_1205	OLYV01000018	26086	26388	-
OG_1096	OLYV01000018	26363	27049	-
OG_1342	OLYV01000018	27046	27381	-
OG_2530	OLYV01000018	27383	27598	-
OG_312	OLYV01000018	27621	28496	-
OG_4343	OLYV01000018	28496	28948	-
OG_4342	OLYV01000018	28961	29158	-
OG_2644	OLYV01000018	29155	29493	-
OG_4341	OLYV01000018	29507	29887	-
OG_452	OLYV01000018	29899	30360	-
OG_3920	OLYV01000018	30541	30759	-
OG_4340	OLYV01000018	30877	31116	-
OG_4339	OLYV01000018	31123	31692	-
OG_1819	OLYV01000018	31694	32041	-
OG_4338	OLYV01000018	32046	32171	-
OG_4321	OLYV01000018	32168	32542	-
OG_49	OLYV01000018	32539	33057	-
OG_460	OLYV01000018	33050	33292	-
OG_4337	OLYV01000018	33289	33489	-
OG_4336	OLYV01000018	33434	33649	-
OG_601	OLYV01000018	33646	33873	-
OG_4323	OLYV01000018	33870	34283	-
OG_4335	OLYV01000018	34463	34888	-
OG_356	OLYV01000018	35002	35772	-
OG_417	OLYV01000018	35857	37842	-
OG_53	OLYV01000018	37817	38443	-
OG_1814	OLYV01000018	38430	38693	-
OG_1159	OLYV01000018	38680	39144	-
OG_2512	OLYV01000018	39141	39995	-
OG_4334	OLYV01000018	39995	40660	-
OG_3	OLYV01000018	40657	42027	-
OG_38	OLYV01000018	42029	42337	-
OG_2698	OLYV01000018	42334	42945	-
OG_1290	OLYV01000018	42942	43694	-
OG_4333	OLYV01000018	43681	43848	-
OG_245	OLYV01000018	43851	45071	-
OG_1	OLYV01000018	45068	45376	-
OG_4332	OLYV01000018	45366	45581	-
OG_3781	OLYV01000018	45582	45944	-
OG_211	OLYV01000018	45948	46469	-
OG_2502	OLYV01000018	46459	46725	-
OG_4331	OLYV01000018	46722	46928	-
OG_433	OLYV01000018	46925	47398	-
OG_1274	OLYV01000018	47409	48059	-
OG_2527	OLYV01000018	48049	48252	-
OG_36	OLYV01000018	48252	50420	-
OG_1268	OLYV01000018	50478	51260	-
OG_4322	OLYV01000018	51381	51704	-
OG_27	OLYV01000018	51664	53265	-
OG_767	OLYV01000018	53371	53922	-
OG_20	OLYV01000018	54201	54542	-
OG_275	OLYV01000018	54554	55594	-
OG_472	OLYV01000018	55578	56111	-
OG_2500	OLYV01000018	56108	56317	-
OG_932	OLYV01000018	56348	56917	-
OG_323	OLYV01000018	56878	57900	-
OG_57	OLYV01000018	57993	58700	-
OG_931	OLYV01000018	58713	59312	-
