GeneID	Chr	Start	End	Strand
OG_433	OLOE01000004	1	138	-
OG_36	OLOE01000004	131	2341	-
OG_1268	OLOE01000004	2418	3194	-
OG_79	OLOE01000004	3202	4338	-
OG_27	OLOE01000004	4339	5934	-
OG_767	OLOE01000004	6046	6597	-
OG_936	OLOE01000004	6829	7053	-
OG_20	OLOE01000004	7056	7418	-
OG_275	OLOE01000004	7400	8434	-
OG_3604	OLOE01000004	8424	8654	-
OG_472	OLOE01000004	8654	9163	-
OG_2500	OLOE01000004	9186	9398	-
OG_3040	OLOE01000004	9395	10198	-
OG_3605	OLOE01000004	10195	10500	-
OG_1285	OLOE01000004	10497	11417	-
OG_3911	OLOE01000004	11430	11954	-
OG_3911	OLOE01000004	11951	12304	-
OG_3911	OLOE01000004	12273	12659	-
OG_800	OLOE01000004	12656	12826	-
OG_3907	OLOE01000004	12828	13370	-
OG_3606	OLOE01000004	13426	13599	-
OG_932	OLOE01000004	13617	14012	-
OG_323	OLOE01000004	13960	14997	-
OG_57	OLOE01000004	15097	15795	-
OG_931	OLOE01000004	15804	16412	-
OG_1097	OLOE01000004	16414	17112	-
OG_441	OLOE01000004	17112	18212	-
OG_338	OLOE01000004	18209	18829	-
OG_2592	OLOE01000004	18879	19103	-
OG_3607	OLOE01000004	19143	19343	-
OG_218	OLOE01000004	19345	20622	-
OG_3608	OLOE01000004	20624	20746	-
OG_930	OLOE01000004	20730	21593	-
OG_929	OLOE01000004	21671	21967	-
OG_3041	OLOE01000004	21933	22352	-
OG_3609	OLOE01000004	22343	22813	-
OG_3610	OLOE01000004	22848	23111	-
OG_2496	OLOE01000004	23113	23298	-
OG_3611	OLOE01000004	23249	23500	-
OG_3612	OLOE01000004	23493	23627	-
OG_122	OLOE01000004	23907	24278	-
OG_631	OLOE01000004	24278	24799	-
OG_1279	OLOE01000004	24822	25454	-
OG_2494	OLOE01000004	25411	25728	-
OG_2590	OLOE01000004	25682	26098	-
OG_3613	OLOE01000004	26107	26298	-
OG_3614	OLOE01000004	26337	26603	-
OG_2535	OLOE01000004	26655	27209	-
OG_1270	OLOE01000004	27194	27472	-
OG_34	OLOE01000004	27462	27872	-
OG_921	OLOE01000004	27875	28192	-
OG_3615	OLOE01000004	28195	28515	-
OG_3528	OLOE01000004	28604	29812	-
OG_1142	OLOE01000004	30013	30402	-
OG_3616	OLOE01000004	30399	30713	-
OG_2585	OLOE01000004	30697	30999	-
OG_1470	OLOE01000004	30996	31166	-
OG_3617	OLOE01000004	31340	31621	-
OG_77	OLOE01000004	31786	32286	-
UG_475	OLOE01000004	32438	32851	+
OG_937	OLOE01000004	32733	33086	-
OG_2492	OLOE01000004	33103	33216	-
OG_958	OLOE01000004	33232	33633	-
OG_3618	OLOE01000004	33638	33895	-
OG_77	OLOE01000004	33951	34664	-
OG_927	OLOE01000004	35040	35477	-
OG_2491	OLOE01000004	35474	35890	-
OG_35	OLOE01000004	36008	36247	-
OG_3619	OLOE01000004	36705	36998	-
OG_2274	OLOE01000004	36998	37954	-
