GeneID	Chr	Start	End	Strand
OG_24	OLGM01000006	2	2311	+
OG_24	OLGM01000006	2315	4711	+
OG_335	OLGM01000006	4713	9299	+
OG_504	OLGM01000006	9289	11073	+
OG_3052	OLGM01000006	11166	11759	-
OG_348	OLGM01000006	11756	12217	-
OG_4446	OLGM01000006	12214	12387	-
OG_4447	OLGM01000006	12371	12781	-
OG_938	OLGM01000006	12860	13234	-
OG_908	OLGM01000006	13239	13919	-
OG_4325	OLGM01000006	13897	14031	-
OG_4324	OLGM01000006	14034	14405	-
OG_1205	OLGM01000006	14344	15003	-
OG_1096	OLGM01000006	15000	15665	-
OG_312	OLGM01000006	15655	16542	-
OG_642	OLGM01000006	16502	16630	-
OG_601	OLGM01000006	16623	16871	-
OG_4323	OLGM01000006	16864	17277	-
OG_717	OLGM01000006	17282	19198	-
OG_53	OLGM01000006	19188	19805	-
OG_1814	OLGM01000006	19786	20046	-
OG_2512	OLGM01000006	20043	20900	-
OG_3	OLGM01000006	20897	22258	-
OG_2559	OLGM01000006	22239	22460	-
OG_38	OLGM01000006	22450	22803	-
OG_4448	OLGM01000006	22800	23111	-
OG_245	OLGM01000006	23098	24312	-
OG_4449	OLGM01000006	24336	24698	-
OG_3781	OLGM01000006	24689	25045	-
OG_4450	OLGM01000006	25045	25620	-
OG_211	OLGM01000006	25617	26123	-
OG_1274	OLGM01000006	26126	26860	-
OG_2181	OLGM01000006	26857	27072	-
OG_2502	OLGM01000006	27065	27346	-
OG_4451	OLGM01000006	27322	27537	-
OG_40	OLGM01000006	27540	28961	-
OG_356	OLGM01000006	28961	29758	-
OG_40	OLGM01000006	29981	30772	-
OG_1268	OLGM01000006	30769	31563	-
OG_3042	OLGM01000006	31621	31980	-
OG_4322	OLGM01000006	31977	32135	-
OG_4452	OLGM01000006	32138	32632	-
OG_4855	OLGM01000006	32635	32907	-
OG_4856	OLGM01000006	32910	33173	-
OG_3090	OLGM01000006	33452	34072	-
OG_27	OLGM01000006	34075	35616	-
OG_767	OLGM01000006	35702	36253	-
OG_20	OLGM01000006	36506	36847	-
OG_275	OLGM01000006	36838	37860	-
OG_472	OLGM01000006	37857	38429	-
OG_2500	OLGM01000006	38416	38643	-
OG_4453	OLGM01000006	38643	38858	-
OG_932	OLGM01000006	38855	39415	-
OG_323	OLGM01000006	39388	40398	-
OG_57	OLGM01000006	40465	41157	-
OG_931	OLGM01000006	41171	41740	-
OG_1097	OLGM01000006	41737	42432	-
OG_441	OLGM01000006	42433	43503	-
OG_17	OLGM01000006	43500	44120	-
OG_2592	OLGM01000006	44171	44344	-
OG_218	OLGM01000006	44348	45403	-
OG_253	OLGM01000006	45604	46617	-
OG_930	OLGM01000006	46871	47737	-
OG_929	OLGM01000006	47774	48079	-
OG_2496	OLGM01000006	48076	48228	-
OG_4444	OLGM01000006	48200	48514	-
OG_631	OLGM01000006	48502	49071	-
OG_2494	OLGM01000006	49068	49367	-
OG_2590	OLGM01000006	49324	49740	-
OG_2535	OLGM01000006	49840	50319	-
OG_1270	OLGM01000006	50307	50582	-
OG_2492	OLGM01000006	50582	50713	-
OG_4454	OLGM01000006	50716	51147	-
OG_4455	OLGM01000006	51131	51310	-
OG_958	OLGM01000006	51298	51825	-
OG_927	OLGM01000006	51874	52296	-
OG_2491	OLGM01000006	52262	52690	-
OG_34	OLGM01000006	52687	53058	-
OG_4456	OLGM01000006	53058	53291	-
OG_4457	OLGM01000006	53388	53876	-
OG_4458	OLGM01000006	53857	54048	-
OG_4459	OLGM01000006	54048	54290	-
OG_4460	OLGM01000006	54251	54790	-
OG_1524	OLGM01000006	54961	55506	-
OG_4461	OLGM01000006	55503	55862	-
OG_4462	OLGM01000006	55859	56050	-
OG_4463	OLGM01000006	56047	56214	-
OG_4445	OLGM01000006	56190	56414	-
OG_4464	OLGM01000006	56468	56572	-
OG_4465	OLGM01000006	56574	56885	-
OG_4442	OLGM01000006	56887	57150	-
OG_4466	OLGM01000006	57147	57368	-
OG_4467	OLGM01000006	57374	58138	-
OG_4468	OLGM01000006	58468	59097	-
OG_4469	OLGM01000006	59312	59626	-
OG_4470	OLGM01000006	59648	59848	-
OG_4471	OLGM01000006	59818	60006	-
UG_453	OLGM01000006	59981	60211	-
OG_4472	OLGM01000006	60177	60932	-
OG_4327	OLGM01000006	60998	61291	-
OG_4473	OLGM01000006	61342	61485	-
OG_4851	OLGM01000006	61511	63940	-
OG_4474	OLGM01000006	63930	64151	-
OG_374	OLGM01000006	64318	65754	-
OG_957	OLGM01000006	65751	66011	-
OG_2569	OLGM01000006	65972	66214	-
OG_4475	OLGM01000006	66204	66584	-
OG_4476	OLGM01000006	66601	66759	-
OG_4477	OLGM01000006	66749	66982	-
OG_1273	OLGM01000006	67671	69371	-
OG_4478	OLGM01000006	69422	69742	-
OG_4443	OLGM01000006	69708	71174	-
OG_4440	OLGM01000006	71427	71627	-
OG_4479	OLGM01000006	71765	71914	-
OG_2778	OLGM01000006	72687	72944	-
OG_4480	OLGM01000006	73022	73486	-
OG_4481	OLGM01000006	74816	75112	-
OG_2182	OLGM01000006	75109	75426	-
OG_4482	OLGM01000006	75484	75849	-
OG_4483	OLGM01000006	76000	76350	-
OG_4484	OLGM01000006	76418	76729	-
OG_4485	OLGM01000006	77476	77733	-
OG_4486	OLGM01000006	78258	78773	-
OG_305	OLGM01000006	79007	79930	+
OG_4326	OLGM01000006	79976	80410	+
OG_77	OLGM01000006	80485	81288	+
OG_2462	OLGM01000006	81514	81666	+
OG_4487	OLGM01000006	81717	82742	-
OG_2696	OLGM01000006	82749	82988	-
OG_288	OLGM01000006	82957	83439	-
OG_209	OLGM01000006	83426	84253	-
OG_4853	OLGM01000006	84238	84810	-
OG_4852	OLGM01000006	84807	85694	-
OG_4854	OLGM01000006	85691	87166	-
OG_507	OLGM01000006	87166	87822	-
OG_209	OLGM01000006	87827	90268	-
OG_471	OLGM01000006	90268	90948	-
OG_467	OLGM01000006	90945	92129	-
OG_229	OLGM01000006	92172	92483	-
OG_3048	OLGM01000006	92620	92862	+
OG_429	OLGM01000006	92894	93796	+
OG_1215	OLGM01000006	94016	94159	+
OG_951	OLGM01000006	94183	94779	+
OG_949	OLGM01000006	94779	95009	+
OG_29	OLGM01000006	95044	95556	+
OG_396	OLGM01000006	95553	96140	+
OG_64	OLGM01000006	96143	96751	+
OG_333	OLGM01000006	96829	97698	+
OG_64	OLGM01000006	97769	99493	+
OG_948	OLGM01000006	99435	99743	+
OG_47	OLGM01000006	99733	101919	+
OG_947	OLGM01000006	101919	102653	+
OG_2457	OLGM01000006	102592	102846	+
OG_22	OLGM01000006	102828	104573	+
OG_291	OLGM01000006	104566	105243	+
OG_70	OLGM01000006	105233	105829	+
OG_291	OLGM01000006	105831	106931	+
OG_70	OLGM01000006	106937	107929	+
OG_291	OLGM01000006	107932	109542	+
OG_169	OLGM01000006	109664	110290	+
OG_625	OLGM01000006	110287	110679	+
OG_70	OLGM01000006	110731	113721	+
OG_187	OLGM01000006	113708	114418	+
OG_3266	OLGM01000006	114415	114888	+
OG_268	OLGM01000006	115141	116088	+
OG_352	OLGM01000006	116101	116526	+
OG_304	OLGM01000006	116545	117075	+
OG_1021	OLGM01000006	117120	117314	+
OG_319	OLGM01000006	117370	117747	+
OG_1209	OLGM01000006	117857	118444	+
OG_152	OLGM01000006	118434	118682	+
OG_10	OLGM01000006	118706	119791	+
OG_1041	OLGM01000006	119825	120274	+
OG_253	OLGM01000006	120418	121509	+
OG_1041	OLGM01000006	121522	122106	+
OG_253	OLGM01000006	122225	123142	+
OG_1041	OLGM01000006	123219	123614	+
OG_253	OLGM01000006	123834	124931	+
OG_479	OLGM01000006	125106	125975	+
OG_439	OLGM01000006	126020	126961	+
OG_21	OLGM01000006	126975	127928	+
OG_9	OLGM01000006	128006	128692	+
OG_582	OLGM01000006	128716	129384	+
OG_943	OLGM01000006	129384	130406	+
OG_432	OLGM01000006	130403	134884	+
OG_408	OLGM01000006	134848	140553	+
OG_8	OLGM01000006	140546	142285	+
OG_508	OLGM01000006	142285	143754	+
OG_7	OLGM01000006	143751	144326	+
OG_942	OLGM01000006	144453	144785	+
OG_63	OLGM01000006	144807	147770	+
OG_941	OLGM01000006	147754	149694	+
OG_421	OLGM01000006	149681	158920	+
OG_24	OLGM01000006	158939	167239	+
