GeneID	Chr	Start	End	Strand
OG_229	OLSE01000140	165	2693	+
OG_594	OLSE01000140	2686	4311	+
OG_62	OLSE01000140	4318	11283	+
OG_326	OLSE01000140	11361	11552	-
OG_62	OLSE01000140	11573	15622	-
OG_62	OLSE01000140	15625	23451	-
OG_4665	OLSE01000140	23576	23848	-
OG_194	OLSE01000140	23823	24449	-
OG_444	OLSE01000140	24461	25228	-
OG_196	OLSE01000140	25228	25470	-
OG_312	OLSE01000140	25489	26427	-
OG_3681	OLSE01000140	26414	26719	-
OG_603	OLSE01000140	26721	27161	-
OG_3192	OLSE01000140	27161	27703	-
OG_1162	OLSE01000140	27700	28014	-
OG_1163	OLSE01000140	27972	28277	-
OG_3128	OLSE01000140	28279	28764	-
OG_1161	OLSE01000140	28761	29201	-
OG_1159	OLSE01000140	29198	29674	-
OG_348	OLSE01000140	29667	30131	-
OG_219	OLSE01000140	30113	30400	-
OG_305	OLSE01000140	30402	30983	-
OG_417	OLSE01000140	31064	33388	-
OG_630	OLSE01000140	33385	33696	-
OG_593	OLSE01000140	33693	34208	-
OG_211	OLSE01000140	34233	34700	-
OG_40	OLSE01000140	34702	37305	-
OG_275	OLSE01000140	37302	38345	-
OG_423	OLSE01000140	38329	38613	-
OG_74	OLSE01000140	38579	39058	-
OG_658	OLSE01000140	39039	39578	-
OG_1096	OLSE01000140	39598	40263	-
OG_600	OLSE01000140	40260	41063	-
OG_1098	OLSE01000140	41063	42166	-
OG_1099	OLSE01000140	42169	43404	-
OG_1465	OLSE01000140	43343	44677	-
OG_589	OLSE01000140	44739	45419	-
OG_323	OLSE01000140	45448	46443	-
OG_585	OLSE01000140	46464	47384	-
OG_611	OLSE01000140	47409	47783	-
OG_609	OLSE01000140	47789	48061	-
OG_1097	OLSE01000140	48054	48761	-
OG_441	OLSE01000140	48778	49998	-
OG_161	OLSE01000140	50002	50607	-
OG_628	OLSE01000140	50612	51013	-
OG_390	OLSE01000140	51010	52185	-
OG_1617	OLSE01000140	52178	52624	-
OG_1174	OLSE01000140	52674	53000	-
OG_1208	OLSE01000140	53003	53788	-
OG_2548	OLSE01000140	53978	54163	-
OG_607	OLSE01000140	54352	54729	-
OG_1176	OLSE01000140	54744	55124	-
OG_2232	OLSE01000140	55995	57413	-
OG_1464	OLSE01000140	57543	57962	-
OG_2546	OLSE01000140	57987	58241	-
OG_52	OLSE01000140	58537	59283	-
OG_1736	OLSE01000140	59295	59525	-
OG_1468	OLSE01000140	59530	59799	-
OG_1468	OLSE01000140	59766	59879	-
OG_3971	OLSE01000140	59905	60114	-
OG_1157	OLSE01000140	60114	60383	-
OG_2791	OLSE01000140	61173	61322	-
OG_622	OLSE01000140	61399	61659	-
OG_165	OLSE01000140	61859	62164	+
OG_2547	OLSE01000140	62540	62689	+
OG_599	OLSE01000140	62686	63078	+
OG_1463	OLSE01000140	63850	64164	+
OG_1462	OLSE01000140	64889	65221	+
OG_2659	OLSE01000140	66056	66223	+
OG_673	OLSE01000140	66375	66851	+
OG_148	OLSE01000140	67088	67504	+
OG_664	OLSE01000140	67676	67825	+
OG_1158	OLSE01000140	67839	68087	+
OG_598	OLSE01000140	68053	68286	+
OG_597	OLSE01000140	68289	68618	+
OG_819	OLSE01000140	68622	69005	+
OG_749	OLSE01000140	69002	69286	+
OG_596	OLSE01000140	69261	69671	+
OG_396	OLSE01000140	69722	70249	+
OG_640	OLSE01000140	70252	70563	+
OG_64	OLSE01000140	70551	72824	+
OG_47	OLSE01000140	72898	75318	+
OG_70	OLSE01000140	75324	75716	+
OG_291	OLSE01000140	75723	78098	+
OG_291	OLSE01000140	78107	82747	+
OG_291	OLSE01000140	82832	84616	+
OG_191	OLSE01000140	84631	85311	+
OG_252	OLSE01000140	85314	85652	+
OG_1156	OLSE01000140	85724	86185	+
OG_376	OLSE01000140	86421	87590	+
OG_1038	OLSE01000140	87625	89139	+
OG_446	OLSE01000140	89211	90203	+
OG_414	OLSE01000140	90208	90924	+
OG_414	OLSE01000140	90924	91616	+
OG_1152	OLSE01000140	91648	92880	+
OG_595	OLSE01000140	92951	93604	+
OG_162	OLSE01000140	93597	93941	+
OG_456	OLSE01000140	94044	94727	+
OG_351	OLSE01000140	94727	95284	+
OG_583	OLSE01000140	95277	95987	+
OG_408	OLSE01000140	95989	100101	+
