GeneID	Chr	Start	End	Strand
OG_1079	OJQH01000019	1095	1478	-
OG_362	OJQH01000019	1492	2886	-
OG_1078	OJQH01000019	2973	3350	-
OG_841	OJQH01000019	3347	3913	-
OG_166	OJQH01000019	3969	4475	-
OG_839	OJQH01000019	4472	4906	-
OG_834	OJQH01000019	4888	5082	-
OG_1077	OJQH01000019	5084	5461	-
OG_305	OJQH01000019	5773	6318	+
OG_1081	OJQH01000019	6451	6582	-
OG_753	OJQH01000019	7195	7593	-
OG_760	OJQH01000019	7628	7969	-
OG_1076	OJQH01000019	8162	8383	-
OG_1075	OJQH01000019	8566	8688	-
OG_1074	OJQH01000019	8688	9128	-
OG_349	OJQH01000019	9528	10043	-
OG_591	OJQH01000019	10101	10502	-
OG_1073	OJQH01000019	10675	10917	-
OG_1072	OJQH01000019	10917	11057	-
OG_1071	OJQH01000019	11142	11471	-
OG_937	OJQH01000019	11870	12019	-
OG_3534	OJQH01000019	13096	13680	-
OG_1066	OJQH01000019	13891	14076	+
OG_4685	OJQH01000019	14104	14382	+
OG_891	OJQH01000019	14396	14599	+
OG_866	OJQH01000019	14818	15036	+
OG_751	OJQH01000019	15097	15474	+
OG_1755	OJQH01000019	15629	15889	+
OG_752	OJQH01000019	15891	16298	+
OG_822	OJQH01000019	16291	16674	+
OG_818	OJQH01000019	16655	17044	+
OG_750	OJQH01000019	17022	17234	+
OG_427	OJQH01000019	17206	17664	+
OG_447	OJQH01000019	17613	17972	+
OG_1469	OJQH01000019	17914	18057	+
OG_211	OJQH01000019	18059	18559	+
OG_210	OJQH01000019	18664	19005	+
OG_396	OJQH01000019	19005	19535	+
OG_1065	OJQH01000019	19605	19796	+
OG_64	OJQH01000019	19798	21870	+
OG_47	OJQH01000019	21893	24457	+
OG_599	OJQH01000019	24537	24923	+
OG_288	OJQH01000019	24926	26851	+
OG_229	OJQH01000019	26857	27069	+
OG_106	OJQH01000019	27087	28277	+
OG_1038	OJQH01000019	28301	29788	+
OG_446	OJQH01000019	29877	30629	+
OG_462	OJQH01000019	30632	31339	+
OG_439	OJQH01000019	31341	32045	+
OG_439	OJQH01000019	32048	32749	+
OG_1149	OJQH01000019	32865	33857	+
OG_812	OJQH01000019	33935	34204	+
OG_419	OJQH01000019	34179	34478	+
OG_300	OJQH01000019	34480	38655	+
OG_201	OJQH01000019	38658	39062	+
OG_70	OJQH01000019	39064	43533	+
OG_124	OJQH01000019	43829	44860	+
OG_169	OJQH01000019	44841	45485	+
OG_70	OJQH01000019	45487	46353	+
OG_1956	OJQH01000019	46355	47128	+
OG_169	OJQH01000019	47145	48185	+
OG_679	OJQH01000019	48350	48895	+
OG_191	OJQH01000019	48897	49496	+
OG_319	OJQH01000019	49545	50288	+
OG_268	OJQH01000019	50327	51262	+
OG_352	OJQH01000019	51280	51690	+
OG_304	OJQH01000019	51758	52321	+
OG_70	OJQH01000019	52369	52884	+
OG_1156	OJQH01000019	52884	53342	+
OG_322	OJQH01000019	53345	55402	+
OG_231	OJQH01000019	55404	55685	+
OG_456	OJQH01000019	55675	56331	+
OG_351	OJQH01000019	56318	56776	+
OG_583	OJQH01000019	56786	57727	+
OG_408	OJQH01000019	57727	61851	+
OG_445	OJQH01000019	61853	63730	+
OG_125	OJQH01000019	63733	65568	+
OG_62	OJQH01000019	65572	79782	+
OG_130	OJQH01000019	79785	83960	+
OG_1030	OJQH01000019	84015	84488	-
OG_275	OJQH01000019	84482	85477	-
OG_1403	OJQH01000019	85477	85641	-
OG_908	OJQH01000019	85638	86324	-
OG_905	OJQH01000019	86305	86460	-
OG_74	OJQH01000019	86414	86836	-
OG_1062	OJQH01000019	86787	86930	-
OG_1205	OJQH01000019	86914	87492	-
OG_317	OJQH01000019	87573	88061	-
OG_323	OJQH01000019	88015	89100	-
OG_416	OJQH01000019	89264	89875	-
OG_306	OJQH01000019	89896	90216	-
OG_305	OJQH01000019	90415	91035	-
OG_306	OJQH01000019	91157	91474	-
OG_770	OJQH01000019	91566	92081	-
OG_448	OJQH01000019	92099	93055	-
OG_338	OJQH01000019	93036	93596	-
OG_717	OJQH01000019	93642	95558	-
OG_1725	OJQH01000019	95683	97026	-
OG_175	OJQH01000019	97184	97687	-
OG_214	OJQH01000019	97990	98481	-
OG_479	OJQH01000019	98490	99029	-
