GeneID	Chr	Start	End	Strand
OG_4697	OAWA01000024	1	225	-
OG_4837	OAWA01000024	230	1096	-
OG_2492	OAWA01000024	1099	1212	-
OG_927	OAWA01000024	1217	1624	-
OG_2490	OAWA01000024	1611	2075	-
OG_35	OAWA01000024	2080	2331	-
OG_800	OAWA01000024	2614	2757	-
OG_25	OAWA01000024	2714	3907	-
OG_2511	OAWA01000024	3909	4127	-
OG_2630	OAWA01000024	4072	4563	-
OG_2486	OAWA01000024	4565	4741	-
OG_77	OAWA01000024	4920	5393	-
OG_2629	OAWA01000024	5507	5683	-
OG_590	OAWA01000024	5735	6130	-
OG_4838	OAWA01000024	6484	7308	-
OG_2628	OAWA01000024	7310	7768	-
OG_2474	OAWA01000024	7752	7916	-
OG_77	OAWA01000024	7969	8418	-
OG_2627	OAWA01000024	8543	8761	-
OG_374	OAWA01000024	8809	10266	-
OG_957	OAWA01000024	10270	10533	-
OG_2572	OAWA01000024	10818	11885	-
OG_2576	OAWA01000024	11892	12824	-
OG_2584	OAWA01000024	12828	13208	-
OG_15	OAWA01000024	14169	15062	-
OG_2626	OAWA01000024	15173	15460	-
OG_3866	OAWA01000024	15688	17649	-
OG_1541	OAWA01000024	17663	18184	-
OG_2625	OAWA01000024	18667	18774	-
OG_1756	OAWA01000024	19222	19368	-
OG_2624	OAWA01000024	19726	19917	-
OG_2623	OAWA01000024	19927	20220	-
OG_2622	OAWA01000024	20210	20533	-
OG_1742	OAWA01000024	20946	21053	-
OG_2620	OAWA01000024	22157	22474	-
OG_2619	OAWA01000024	22471	22758	-
OG_2618	OAWA01000024	22721	23059	-
OG_2484	OAWA01000024	23149	23430	-
OG_2617	OAWA01000024	23427	23684	-
OG_2013	OAWA01000024	23955	24356	-
OG_1273	OAWA01000024	24853	26547	-
OG_2616	OAWA01000024	26928	27623	-
OG_2615	OAWA01000024	27620	28117	-
OG_2614	OAWA01000024	28144	28425	-
OG_3648	OAWA01000024	28422	28775	-
OG_2581	OAWA01000024	29458	29811	-
OG_2613	OAWA01000024	29969	30592	-
OG_2612	OAWA01000024	30634	30795	-
OG_2580	OAWA01000024	30905	31147	-
OG_2611	OAWA01000024	31158	31391	-
