GeneID	Chr	Start	End	Strand
UG_613	QWBY01000010	2	1006	-
OG_1156	QWBY01000010	1015	1464	-
UG_614	QWBY01000010	1461	1745	-
OG_291	QWBY01000010	1747	2547	-
OG_70	QWBY01000010	2566	3441	-
OG_70	QWBY01000010	3444	4253	-
UG_615	QWBY01000010	4266	4865	-
OG_343	QWBY01000010	4867	6918	-
OG_22	QWBY01000010	6921	8696	-
UG_616	QWBY01000010	8794	8970	-
OG_947	QWBY01000010	8951	9709	-
OG_47	QWBY01000010	9711	11915	-
OG_948	QWBY01000010	11878	12195	-
OG_64	QWBY01000010	12143	14269	-
OG_396	QWBY01000010	14284	14838	-
OG_29	QWBY01000010	14838	15074	-
OG_949	QWBY01000010	15092	15319	-
OG_951	QWBY01000010	15307	15816	-
OG_1215	QWBY01000010	15818	16042	-
OG_1215	QWBY01000010	16036	16242	-
OG_429	QWBY01000010	16256	17137	-
UG_617	QWBY01000010	17127	17792	-
OG_471	QWBY01000010	17887	18675	+
UG_618	QWBY01000010	18735	19700	-
OG_2696	QWBY01000010	19706	19936	-
UG_619	QWBY01000010	19943	20755	-
OG_66	QWBY01000010	20758	21423	-
UG_620	QWBY01000010	21531	22511	-
UG_621	QWBY01000010	22514	23014	-
UG_622	QWBY01000010	23048	23353	-
UG_623	QWBY01000010	23358	24533	-
OG_509	QWBY01000010	24610	26430	-
UG_624	QWBY01000010	27414	27830	+
UG_625	QWBY01000010	28454	29176	+
UG_626	QWBY01000010	29393	29743	+
UG_627	QWBY01000010	30006	30446	+
OG_648	QWBY01000010	31331	31537	+
UG_628	QWBY01000010	32016	32393	+
UG_629	QWBY01000010	32512	33252	+
UG_630	QWBY01000010	33270	33632	+
UG_631	QWBY01000010	33638	33958	+
UG_632	QWBY01000010	34628	35044	+
UG_633	QWBY01000010	35046	35459	+
UG_634	QWBY01000010	35587	35754	+
UG_635	QWBY01000010	35724	36116	+
OG_1270	QWBY01000010	36113	36373	+
UG_636	QWBY01000010	36397	36549	+
UG_637	QWBY01000010	36712	36888	+
UG_638	QWBY01000010	36890	37240	+
UG_639	QWBY01000010	37221	37658	+
OG_2591	QWBY01000010	37655	38038	+
OG_929	QWBY01000010	38123	38431	+
UG_640	QWBY01000010	38424	38669	+
OG_930	QWBY01000010	38671	39492	+
OG_68	QWBY01000010	39470	40918	+
UG_641	QWBY01000010	40915	41202	+
UG_642	QWBY01000010	41206	41538	+
UG_643	QWBY01000010	41706	42137	+
UG_644	QWBY01000010	42085	42534	+
UG_645	QWBY01000010	42534	42824	+
UG_646	QWBY01000010	42826	43395	+
OG_218	QWBY01000010	43395	44696	+
OG_4561	QWBY01000010	44693	45271	+
OG_3117	QWBY01000010	45264	46748	+
UG_647	QWBY01000010	46753	47472	+
OG_17	QWBY01000010	47426	48046	+
UG_648	QWBY01000010	48043	48273	+
UG_649	QWBY01000010	48263	48505	+
UG_650	QWBY01000010	48514	48744	+
OG_441	QWBY01000010	48756	49799	+
OG_1097	QWBY01000010	49820	50593	+
UG_651	QWBY01000010	50614	50928	+
UG_652	QWBY01000010	50930	51253	+
OG_931	QWBY01000010	51243	52016	+
OG_57	QWBY01000010	52041	52757	+
OG_323	QWBY01000010	52757	53764	+
UG_653	QWBY01000010	53764	54165	+
OG_932	QWBY01000010	54135	54677	+
OG_472	QWBY01000010	54667	55161	+
OG_275	QWBY01000010	55154	56212	+
OG_767	QWBY01000010	56330	56893	+
OG_27	QWBY01000010	57016	58569	+
OG_1268	QWBY01000010	58591	59361	+
UG_654	QWBY01000010	59361	60329	+
UG_655	QWBY01000010	60326	60517	+
OG_434	QWBY01000010	60510	61844	+
UG_656	QWBY01000010	61837	62280	+
OG_211	QWBY01000010	62277	62771	+
OG_3812	QWBY01000010	62774	63097	+
UG_657	QWBY01000010	63097	63567	+
OG_417	QWBY01000010	63564	65624	+
OG_348	QWBY01000010	65626	65910	+
UG_658	QWBY01000010	65900	66454	+
OG_245	QWBY01000010	66451	67656	+
UG_659	QWBY01000010	67649	67933	+
UG_660	QWBY01000010	67920	68159	+
UG_661	QWBY01000010	68156	68401	+
UG_662	QWBY01000010	68343	68663	+
OG_312	QWBY01000010	68656	69480	+
UG_663	QWBY01000010	69473	70084	+
OG_927	QWBY01000010	70084	70518	+
OG_3266	QWBY01000010	70521	71015	+
UG_664	QWBY01000010	71022	71348	+
OG_105	QWBY01000010	71498	71770	+
OG_4562	QWBY01000010	71770	71937	+
UG_665	QWBY01000010	72084	72662	+
UG_666	QWBY01000010	72676	72918	+
UG_667	QWBY01000010	73168	73863	+
OG_427	QWBY01000010	73961	74335	+
OG_4563	QWBY01000010	74338	74574	+
UG_668	QWBY01000010	74577	74714	+
OG_1524	QWBY01000010	74715	75035	+
UG_669	QWBY01000010	75047	75406	+
OG_105	QWBY01000010	75515	75760	+
UG_670	QWBY01000010	75806	76546	+
OG_813	QWBY01000010	76834	77175	+
UG_671	QWBY01000010	77157	77456	+
UG_672	QWBY01000010	77461	78021	+
UG_673	QWBY01000010	78025	78507	+
UG_674	QWBY01000010	78644	79441	+
UG_675	QWBY01000010	79464	79796	+
UG_676	QWBY01000010	79798	80397	+
UG_677	QWBY01000010	80360	80578	+
OG_4560	QWBY01000010	80583	80735	+
UG_678	QWBY01000010	80794	81354	+
OG_36	QWBY01000010	81582	83729	+
UG_679	QWBY01000010	83779	84027	+
OG_2510	QWBY01000010	84046	84555	+
OG_3812	QWBY01000010	84558	84923	+
UG_680	QWBY01000010	85069	85608	+
OG_61	QWBY01000010	85605	86108	+
OG_335	QWBY01000010	86156	90901	-
OG_24	QWBY01000010	90903	91931	-
OG_62	QWBY01000010	91933	101742	-
OG_421	QWBY01000010	101751	111659	-
OG_941	QWBY01000010	111670	113670	-
UG_681	QWBY01000010	113674	117186	-
OG_942	QWBY01000010	117241	117519	-
UG_682	QWBY01000010	117588	119000	-
OG_7	QWBY01000010	118987	119553	-
