GeneID	Chr	Start	End	Strand
OG_229	OJQL01000090	1	1527	+
OG_594	OJQL01000090	1527	3239	+
OG_62	OJQL01000090	3245	12127	+
OG_356	OJQL01000090	12294	13010	+
OG_62	OJQL01000090	13053	15890	+
OG_130	OJQL01000090	15893	21037	+
OG_1641	OJQL01000090	21093	21401	-
OG_923	OJQL01000090	21403	22434	-
OG_312	OJQL01000090	22431	23558	-
OG_908	OJQL01000090	23555	24229	-
OG_348	OJQL01000090	24232	24495	-
OG_460	OJQL01000090	24485	24754	-
OG_417	OJQL01000090	24756	26771	-
OG_1640	OJQL01000090	26731	27057	-
OG_593	OJQL01000090	27050	27607	-
OG_211	OJQL01000090	27607	28143	-
OG_40	OJQL01000090	28119	30650	-
OG_275	OJQL01000090	30650	31702	-
OG_1639	OJQL01000090	31686	31976	-
OG_74	OJQL01000090	31951	32397	-
OG_1096	OJQL01000090	32397	33035	-
OG_869	OJQL01000090	33041	34507	-
OG_2447	OJQL01000090	34516	35988	-
OG_3452	OJQL01000090	35992	36366	-
OG_333	OJQL01000090	36535	37356	-
OG_3452	OJQL01000090	37488	37940	-
OG_4149	OJQL01000090	37940	38572	-
OG_1638	OJQL01000090	38577	39515	-
OG_1637	OJQL01000090	39505	40500	-
OG_1368	OJQL01000090	40493	41251	-
OG_1636	OJQL01000090	41278	41520	-
OG_323	OJQL01000090	41492	42529	-
OG_585	OJQL01000090	42529	43446	-
OG_1635	OJQL01000090	43433	43693	-
OG_1097	OJQL01000090	43695	44411	-
OG_441	OJQL01000090	44359	45576	-
OG_161	OJQL01000090	45576	46124	-
OG_390	OJQL01000090	46115	47290	-
OG_1634	OJQL01000090	47287	47535	-
OG_1633	OJQL01000090	47538	47921	-
OG_1632	OJQL01000090	48019	48384	-
OG_1631	OJQL01000090	48351	48545	-
OG_1617	OJQL01000090	48523	49011	-
OG_112	OJQL01000090	49108	49728	-
OG_1630	OJQL01000090	49783	49956	-
OG_1629	OJQL01000090	49956	50306	-
OG_1628	OJQL01000090	50414	50641	-
OG_1296	OJQL01000090	50646	51011	-
OG_1205	OJQL01000090	51013	51525	-
OG_1619	OJQL01000090	51518	52021	-
OG_1627	OJQL01000090	52014	52358	-
OG_3453	OJQL01000090	52541	52816	-
OG_1626	OJQL01000090	52870	53103	-
OG_1653	OJQL01000090	53899	54150	-
OG_628	OJQL01000090	54328	54660	-
OG_317	OJQL01000090	54970	55473	-
UG_361	OJQL01000090	55595	55918	-
OG_1625	OJQL01000090	56017	56430	-
OG_1624	OJQL01000090	57050	57301	-
OG_1623	OJQL01000090	57304	57564	-
OG_3455	OJQL01000090	58285	58575	-
OG_2667	OJQL01000090	58841	59020	-
OG_3456	OJQL01000090	59149	59313	-
OG_1652	OJQL01000090	59800	60003	-
OG_1620	OJQL01000090	60453	60788	-
UG_362	OJQL01000090	60968	61450	+
OG_1648	OJQL01000090	61769	61951	+
OG_1647	OJQL01000090	61948	62124	+
OG_1646	OJQL01000090	62090	62284	+
OG_599	OJQL01000090	62284	62709	+
OG_288	OJQL01000090	62727	64361	+
OG_1471	OJQL01000090	64426	64674	+
OG_793	OJQL01000090	64914	65093	+
OG_1645	OJQL01000090	65106	65507	+
OG_68	OJQL01000090	65507	66997	+
OG_1644	OJQL01000090	66966	67250	+
OG_598	OJQL01000090	67235	67492	+
OG_597	OJQL01000090	67495	67839	+
OG_819	OJQL01000090	67839	68252	+
OG_749	OJQL01000090	68242	68565	+
OG_596	OJQL01000090	68549	68929	+
OG_396	OJQL01000090	68968	69552	+
OG_64	OJQL01000090	69533	72865	+
OG_47	OJQL01000090	72966	75362	+
OG_291	OJQL01000090	75417	77618	+
OG_291	OJQL01000090	77630	78505	+
OG_176	OJQL01000090	78518	78808	+
OG_1146	OJQL01000090	78811	79203	+
OG_426	OJQL01000090	79209	79832	+
OG_1615	OJQL01000090	79906	80202	+
OG_1614	OJQL01000090	80221	81048	+
OG_300	OJQL01000090	81054	81965	+
OG_300	OJQL01000090	81966	83360	+
OG_191	OJQL01000090	83368	83979	+
OG_252	OJQL01000090	83979	84227	+
OG_1156	OJQL01000090	84249	84692	+
OG_376	OJQL01000090	84828	85985	+
OG_1038	OJQL01000090	86001	86369	+
OG_253	OJQL01000090	86523	87113	+
OG_1038	OJQL01000090	87225	88382	+
OG_446	OJQL01000090	88447	89445	+
OG_414	OJQL01000090	89454	90239	+
OG_1152	OJQL01000090	90259	91275	+
OG_37	OJQL01000090	91445	91978	+
OG_1616	OJQL01000090	92006	92464	+
OG_31	OJQL01000090	92486	92926	+
OG_1618	OJQL01000090	92930	93247	+
OG_1643	OJQL01000090	93240	93506	+
OG_1642	OJQL01000090	93484	93777	+
OG_673	OJQL01000090	93791	94171	+
OG_164	OJQL01000090	94300	95229	+
OG_317	OJQL01000090	95213	95713	+
OG_393	OJQL01000090	95719	96495	+
OG_351	OJQL01000090	96495	97061	+
OG_583	OJQL01000090	97039	97758	+
OG_408	OJQL01000090	97761	104021	+
UG_363	OJQL01000090	104021	104365	+
