GeneID	Chr	Start	End	Strand
OG_70	OGOO01000044	3	950	+
OG_92	OGOO01000044	1080	1358	+
OG_427	OGOO01000044	1355	1756	+
OG_1790	OGOO01000044	1889	3004	-
OG_130	OGOO01000044	3148	9594	+
OG_123	OGOO01000044	9709	10650	+
OG_49	OGOO01000044	11288	11410	-
OG_200	OGOO01000044	11424	11783	-
OG_1777	OGOO01000044	11820	12098	-
OG_3725	OGOO01000044	12095	12415	-
OG_111	OGOO01000044	12464	13240	-
OG_2267	OGOO01000044	13212	13655	-
OG_2283	OGOO01000044	13728	14489	-
OG_3106	OGOO01000044	14628	15020	-
OG_93	OGOO01000044	15033	15518	-
OG_2266	OGOO01000044	15470	15625	-
OG_1946	OGOO01000044	15622	16152	-
OG_1945	OGOO01000044	16128	16580	-
OG_1489	OGOO01000044	16584	16814	-
OG_1944	OGOO01000044	16807	16923	-
OG_147	OGOO01000044	16920	17501	-
OG_4779	OGOO01000044	17526	17774	-
OG_2281	OGOO01000044	17916	18419	-
OG_4684	OGOO01000044	18436	18579	+
OG_1790	OGOO01000044	18621	19022	-
OG_1790	OGOO01000044	19100	19741	-
OG_4780	OGOO01000044	19959	20165	-
OG_1941	OGOO01000044	20162	20539	-
OG_1940	OGOO01000044	20540	21052	-
OG_102	OGOO01000044	21228	22244	-
UG_236	OGOO01000044	22269	22484	-
OG_71	OGOO01000044	22472	22858	-
OG_1938	OGOO01000044	22873	23097	-
OG_1937	OGOO01000044	23094	23426	-
OG_1515	OGOO01000044	23433	24578	-
OG_1936	OGOO01000044	24583	24858	-
OG_1520	OGOO01000044	24860	25189	-
OG_447	OGOO01000044	25165	25758	-
OG_2265	OGOO01000044	25760	26065	-
OG_3107	OGOO01000044	26082	26228	-
OG_1501	OGOO01000044	26230	27093	-
OG_99	OGOO01000044	27090	29621	-
OG_1934	OGOO01000044	29611	29790	-
OG_1933	OGOO01000044	29783	30379	-
OG_1485	OGOO01000044	30439	31464	-
OG_1931	OGOO01000044	31445	31900	-
OG_1930	OGOO01000044	31854	31952	-
OG_1542	OGOO01000044	31952	32509	-
OG_1486	OGOO01000044	32511	33188	-
OG_1929	OGOO01000044	33221	33559	-
OG_122	OGOO01000044	33519	34160	-
OG_448	OGOO01000044	34162	35304	-
OG_1481	OGOO01000044	35301	35591	-
OG_1928	OGOO01000044	35554	35862	-
OG_1927	OGOO01000044	35893	36450	-
OG_1802	OGOO01000044	36447	36734	-
OG_1487	OGOO01000044	36718	37677	-
OG_1893	OGOO01000044	37677	39107	-
OG_1488	OGOO01000044	39077	39577	-
OG_1926	OGOO01000044	39574	39906	-
OG_2818	OGOO01000044	39887	40351	-
OG_1892	OGOO01000044	40356	41033	-
OG_1925	OGOO01000044	41020	41298	-
OG_1896	OGOO01000044	41417	41833	-
OG_251	OGOO01000044	41830	42273	-
OG_101	OGOO01000044	42285	42566	-
UG_237	OGOO01000044	42579	42683	-
OG_94	OGOO01000044	42731	43009	-
OG_97	OGOO01000044	43025	43264	-
OG_2263	OGOO01000044	43285	43545	-
OG_2043	OGOO01000044	43612	44265	-
OG_2234	OGOO01000044	44276	44710	-
OG_1493	OGOO01000044	44955	45350	-
OG_1922	OGOO01000044	45347	46054	-
OG_1953	OGOO01000044	46091	46189	-
OG_1920	OGOO01000044	46186	46923	-
OG_1921	OGOO01000044	46953	47291	-
OG_1919	OGOO01000044	47383	47688	-
OG_2272	OGOO01000044	47692	48000	-
OG_42	OGOO01000044	48019	48444	-
OG_4725	OGOO01000044	48441	48665	-
UG_238	OGOO01000044	48665	48991	-
OG_1917	OGOO01000044	49169	49411	-
OG_96	OGOO01000044	49392	49892	-
OG_1495	OGOO01000044	49894	50175	-
OG_1916	OGOO01000044	50120	50518	-
OG_1915	OGOO01000044	50628	50981	-
OG_1498	OGOO01000044	50954	51241	-
OG_1914	OGOO01000044	51238	51546	-
OG_1566	OGOO01000044	51560	51784	-
OG_1565	OGOO01000044	51804	52034	-
OG_3078	OGOO01000044	52031	52504	-
OG_3075	OGOO01000044	52607	53038	-
OG_4167	OGOO01000044	53068	53379	-
OG_1894	OGOO01000044	53472	53744	-
OG_883	OGOO01000044	53756	53998	-
OG_1913	OGOO01000044	55127	55333	-
UG_239	OGOO01000044	55374	55655	-
OG_1500	OGOO01000044	55968	56390	-
OG_3084	OGOO01000044	56709	57059	-
OG_1912	OGOO01000044	57224	57712	+
OG_71	OGOO01000044	58097	58852	-
OG_4770	OGOO01000044	59101	59352	+
OG_1911	OGOO01000044	59349	59627	+
OG_1910	OGOO01000044	59652	59924	-
OG_211	OGOO01000044	59927	60457	-
OG_1502	OGOO01000044	60454	61203	-
OG_1909	OGOO01000044	61181	61468	-
OG_1901	OGOO01000044	61936	62535	-
OG_82	OGOO01000044	62532	62846	-
OG_478	OGOO01000044	62839	63447	-
OG_1907	OGOO01000044	63419	63967	-
OG_1906	OGOO01000044	63969	64229	-
OG_148	OGOO01000044	64486	64680	-
OG_1503	OGOO01000044	64686	65510	-
OG_1504	OGOO01000044	65529	66629	-
OG_1505	OGOO01000044	66705	67289	-
OG_1905	OGOO01000044	67286	67600	-
OG_1904	OGOO01000044	67554	67913	-
OG_110	OGOO01000044	67916	68902	-
OG_434	OGOO01000044	68902	70311	-
OG_2259	OGOO01000044	70415	71464	-
OG_83	OGOO01000044	72283	72696	+
OG_1508	OGOO01000044	72689	73129	+
OG_1214	OGOO01000044	73131	73829	+
OG_1509	OGOO01000044	73835	74083	+
OG_1903	OGOO01000044	74086	74631	+
OG_1902	OGOO01000044	74600	74920	+
OG_64	OGOO01000044	74917	78849	+
OG_47	OGOO01000044	78898	81660	+
OG_106	OGOO01000044	81795	82952	+
OG_1040	OGOO01000044	82972	84675	+
OG_84	OGOO01000044	84759	85826	+
OG_85	OGOO01000044	85823	86503	+
OG_1212	OGOO01000044	86676	88649	+
OG_1510	OGOO01000044	88750	91086	+
OG_104	OGOO01000044	91092	93491	+
OG_4775	OGOO01000044	93496	95061	+
OG_4776	OGOO01000044	95058	96674	+
OG_4777	OGOO01000044	96667	98043	+
OG_1955	OGOO01000044	98103	98300	+
OG_65	OGOO01000044	98358	99242	+
OG_1511	OGOO01000044	99301	99849	+
OG_1952	OGOO01000044	99824	100327	+
OG_3036	OGOO01000044	100324	100449	+
OG_3036	OGOO01000044	100527	100979	+
OG_1961	OGOO01000044	101915	102967	+
OG_1960	OGOO01000044	102972	103607	+
OG_907	OGOO01000044	103661	104539	+
OG_1512	OGOO01000044	104557	104907	+
OG_1513	OGOO01000044	104879	105121	+
OG_1951	OGOO01000044	105118	105378	+
OG_123	OGOO01000044	105683	106612	+
OG_86	OGOO01000044	106719	107564	+
OG_1950	OGOO01000044	107710	108111	+
OG_1949	OGOO01000044	108114	108347	+
OG_1514	OGOO01000044	108349	108768	+
OG_87	OGOO01000044	108761	109075	+
OG_88	OGOO01000044	109077	109883	+
OG_100	OGOO01000044	109885	114351	+
OG_89	OGOO01000044	115018	115713	+
OG_4770	OGOO01000044	115716	115988	+
OG_100	OGOO01000044	116036	116323	-
OG_1231	OGOO01000044	116461	116928	+
OG_581	OGOO01000044	116937	117905	+
OG_227	OGOO01000044	117920	118639	+
OG_1948	OGOO01000044	118785	119285	+
OG_408	OGOO01000044	119473	125991	+
OG_2258	OGOO01000044	126030	126206	+
OG_471	OGOO01000044	126299	128560	+
OG_1900	OGOO01000044	128595	128972	+
OG_90	OGOO01000044	129075	131795	+
OG_431	OGOO01000044	131799	134690	+
OG_62	OGOO01000044	134677	139551	+
OG_1947	OGOO01000044	139637	140296	+
OG_473	OGOO01000044	140567	141787	+
OG_130	OGOO01000044	142051	144288	+
OG_268	OGOO01000044	144534	145544	+
OG_352	OGOO01000044	145568	145984	+
OG_304	OGOO01000044	146038	146535	+
OG_91	OGOO01000044	146537	146905	+
OG_319	OGOO01000044	146999	147292	+
OG_1484	OGOO01000044	147527	147856	+
OG_70	OGOO01000044	147936	149567	+
OG_169	OGOO01000044	149574	150623	+
OG_426	OGOO01000044	150713	151372	+
OG_426	OGOO01000044	151474	151995	+
