GeneID	Chr	Start	End	Strand
UG_454	OLGY01000065	3	83	-
UG_455	OLGY01000065	96	701	-
OG_4308	OLGY01000065	878	1234	-
OG_768	OLGY01000065	1231	1650	-
OG_158	OLGY01000065	1710	2096	-
OG_775	OLGY01000065	2462	2764	-
UG_456	OLGY01000065	2796	3161	+
OG_4309	OLGY01000065	3972	4343	-
OG_2933	OLGY01000065	4345	4677	-
OG_4310	OLGY01000065	4739	5440	-
UG_457	OLGY01000065	5542	5760	-
UG_458	OLGY01000065	5874	6242	-
OG_4311	OLGY01000065	6239	6499	-
OG_4312	OLGY01000065	6513	6710	-
UG_459	OLGY01000065	6739	6849	-
UG_460	OLGY01000065	7027	7119	-
UG_461	OLGY01000065	7106	7231	-
UG_462	OLGY01000065	7304	7399	-
OG_312	OLGY01000065	7396	8259	-
OG_4313	OLGY01000065	8256	8537	-
OG_763	OLGY01000065	8549	9082	-
OG_1028	OLGY01000065	9069	9707	-
OG_427	OLGY01000065	9709	10104	-
OG_299	OLGY01000065	10120	10425	-
OG_752	OLGY01000065	10655	11104	+
OG_751	OLGY01000065	11104	11499	+
OG_750	OLGY01000065	11471	11707	+
UG_463	OLGY01000065	11697	12071	+
OG_255	OLGY01000065	12076	12375	+
OG_77	OLGY01000065	12556	13458	+
OG_211	OLGY01000065	13573	14109	+
OG_396	OLGY01000065	14186	14704	+
OG_64	OLGY01000065	14704	17220	+
OG_64	OLGY01000065	17563	18045	+
OG_47	OLGY01000065	18049	20535	+
OG_317	OLGY01000065	20544	21209	+
OG_428	OLGY01000065	21193	21984	+
OG_229	OLGY01000065	21962	24223	+
OG_106	OLGY01000065	24328	25473	+
OG_1038	OLGY01000065	25498	27021	+
OG_446	OLGY01000065	27099	27851	+
OG_462	OLGY01000065	27869	28570	+
OG_439	OLGY01000065	28567	29343	+
OG_439	OLGY01000065	29340	30035	+
OG_1149	OLGY01000065	30114	31160	+
OG_773	OLGY01000065	31225	32115	+
UG_464	OLGY01000065	32112	32333	+
UG_465	OLGY01000065	32330	33427	+
OG_318	OLGY01000065	33441	34277	+
OG_70	OLGY01000065	34292	36340	+
UG_466	OLGY01000065	36347	36994	+
OG_268	OLGY01000065	37278	38027	+
OG_304	OLGY01000065	38095	38580	+
OG_342	OLGY01000065	38567	39064	+
OG_291	OLGY01000065	39067	41946	+
OG_3162	OLGY01000065	41954	42385	+
OG_679	OLGY01000065	42387	42902	+
OG_191	OLGY01000065	42865	43509	+
OG_456	OLGY01000065	43517	44200	+
OG_351	OLGY01000065	44190	44642	+
OG_583	OLGY01000065	44617	45477	+
OG_408	OLGY01000065	45467	50671	+
OG_445	OLGY01000065	50662	52722	+
OG_125	OLGY01000065	52719	54443	+
OG_62	OLGY01000065	54446	67267	+
OG_356	OLGY01000065	67376	68164	+
OG_62	OLGY01000065	68179	71466	+
OG_130	OLGY01000065	71476	78216	+
OG_1030	OLGY01000065	78272	78772	-
OG_275	OLGY01000065	78778	79752	-
UG_467	OLGY01000065	79739	79981	-
OG_2924	OLGY01000065	79974	80132	-
OG_74	OLGY01000065	80119	80505	-
OG_323	OLGY01000065	80492	81475	-
OG_416	OLGY01000065	81830	82444	-
OG_306	OLGY01000065	82453	83202	-
OG_770	OLGY01000065	83242	83697	-
OG_448	OLGY01000065	83718	84668	-
OG_338	OLGY01000065	84649	85218	-
OG_717	OLGY01000065	85235	87142	-
OG_782	OLGY01000065	87290	88111	-
OG_175	OLGY01000065	88310	88864	-
OG_214	OLGY01000065	89103	89762	-
OG_479	OLGY01000065	89762	90370	-
OG_1605	OLGY01000065	92273	92824	-
OG_362	OLGY01000065	93181	94614	-
OG_193	OLGY01000065	94686	95057	-
OG_841	OLGY01000065	95051	95605	-
OG_758	OLGY01000065	95617	95994	-
UG_468	OLGY01000065	95984	96433	-
OG_756	OLGY01000065	96430	96843	-
UG_469	OLGY01000065	97350	97610	+
OG_753	OLGY01000065	97650	98168	-
OG_780	OLGY01000065	98223	98444	-
OG_777	OLGY01000065	98571	99065	-
OG_349	OLGY01000065	99034	99510	-
OG_326	OLGY01000065	99660	100073	-
