GeneID	Chr	Start	End	Strand
OG_2696	OJPG01000010	1	222	+
OG_599	OJPG01000010	197	634	+
OG_65	OJPG01000010	621	1055	+
OG_1309	OJPG01000010	1062	1226	+
OG_3362	OJPG01000010	1210	1356	+
OG_1308	OJPG01000010	1340	2200	+
OG_793	OJPG01000010	2221	2403	-
OG_467	OJPG01000010	2407	3708	-
OG_1307	OJPG01000010	3945	4229	+
OG_1306	OJPG01000010	4177	4518	+
OG_1305	OJPG01000010	4735	5175	+
OG_1304	OJPG01000010	5477	5767	+
OG_1303	OJPG01000010	5907	6428	+
OG_1283	OJPG01000010	6421	6609	+
OG_4490	OJPG01000010	6779	7522	-
OG_1301	OJPG01000010	8190	8612	+
OG_1300	OJPG01000010	8733	8858	+
OG_1017	OJPG01000010	9325	9561	+
OG_1758	OJPG01000010	9566	10282	+
OG_1340	OJPG01000010	10397	10537	+
OG_1339	OJPG01000010	10542	10697	+
OG_76	OJPG01000010	11319	11738	+
OG_1299	OJPG01000010	11707	11889	+
OG_1298	OJPG01000010	11893	12177	+
OG_1297	OJPG01000010	12177	12371	+
OG_1296	OJPG01000010	12373	12765	+
OG_4315	OJPG01000010	13126	13260	+
OG_81	OJPG01000010	13318	13464	+
OG_1294	OJPG01000010	13467	13625	+
UG_358	OJPG01000010	14209	14523	+
OG_3366	OJPG01000010	14804	15130	+
OG_1292	OJPG01000010	15784	15981	+
OG_913	OJPG01000010	16098	16226	+
OG_3367	OJPG01000010	16706	16903	-
OG_1275	OJPG01000010	16920	17255	+
OG_1337	OJPG01000010	17361	17693	+
OG_1336	OJPG01000010	18099	18317	+
OG_1335	OJPG01000010	18561	18986	+
OG_1334	OJPG01000010	19408	19872	+
OG_1342	OJPG01000010	20041	20274	+
OG_1274	OJPG01000010	20902	21582	+
OG_1333	OJPG01000010	21876	22103	+
OG_1168	OJPG01000010	22094	22612	+
OG_1273	OJPG01000010	22640	24394	+
OG_3363	OJPG01000010	24444	24584	+
OG_1332	OJPG01000010	24566	24868	+
OG_1331	OJPG01000010	24868	25227	+
