GeneID	Chr	Start	End	Strand
OG_3084	OHBE01000017	1	195	+
OG_1500	OHBE01000017	392	928	+
OG_1913	OHBE01000017	1597	1821	+
OG_3080	OHBE01000017	2196	2429	+
OG_883	OHBE01000017	2839	3081	+
OG_3075	OHBE01000017	3094	3525	+
OG_3079	OHBE01000017	3512	3619	+
OG_3078	OHBE01000017	3628	4101	+
OG_1565	OHBE01000017	4098	4328	+
OG_1566	OHBE01000017	4348	4572	+
OG_1914	OHBE01000017	4602	4907	+
OG_1498	OHBE01000017	4904	5191	+
OG_1915	OHBE01000017	5164	5517	+
OG_1916	OHBE01000017	5517	6026	+
OG_1495	OHBE01000017	6028	6252	+
OG_96	OHBE01000017	6254	6754	+
OG_1917	OHBE01000017	6735	6977	+
OG_4725	OHBE01000017	7155	7706	+
OG_42	OHBE01000017	7703	8128	+
OG_2272	OHBE01000017	8152	8439	+
OG_1918	OHBE01000017	8473	8778	+
OG_1255	OHBE01000017	8759	9763	+
OG_1919	OHBE01000017	9779	10168	+
OG_1921	OHBE01000017	10175	10513	+
OG_1920	OHBE01000017	10543	11280	+
OG_1494	OHBE01000017	11410	11676	+
OG_1923	OHBE01000017	11679	12152	+
OG_1552	OHBE01000017	12149	12343	+
OG_1553	OHBE01000017	12346	12606	+
OG_2261	OHBE01000017	12716	12919	+
OG_2273	OHBE01000017	12959	13093	+
OG_2262	OHBE01000017	13154	13519	+
OG_2264	OHBE01000017	13503	13685	+
OG_94	OHBE01000017	13721	13936	+
OG_831	OHBE01000017	13956	14234	+
OG_6	OHBE01000017	14227	14532	+
OG_94	OHBE01000017	14510	15211	+
OG_251	OHBE01000017	15208	15651	+
OG_1896	OHBE01000017	15648	16064	+
OG_329	OHBE01000017	16272	17045	+
OG_1924	OHBE01000017	17049	17288	+
OG_1490	OHBE01000017	17310	18107	+
OG_98	OHBE01000017	18116	18484	+
OG_2278	OHBE01000017	18537	19022	+
OG_1778	OHBE01000017	19012	19248	+
OG_1925	OHBE01000017	19385	19666	+
OG_1892	OHBE01000017	19644	20330	+
OG_2818	OHBE01000017	20332	20796	+
OG_1926	OHBE01000017	20777	21109	+
OG_1488	OHBE01000017	21106	21606	+
OG_1893	OHBE01000017	21576	23009	+
OG_1487	OHBE01000017	23009	23962	+
OG_1802	OHBE01000017	23946	24233	+
OG_1927	OHBE01000017	24230	24802	+
OG_1928	OHBE01000017	24820	25113	+
OG_1481	OHBE01000017	25073	25366	+
OG_448	OHBE01000017	25363	26505	+
OG_122	OHBE01000017	26507	27148	+
OG_1929	OHBE01000017	27108	27446	+
OG_1486	OHBE01000017	27479	28156	+
OG_1542	OHBE01000017	28160	28444	+
OG_1542	OHBE01000017	28431	28715	+
OG_1930	OHBE01000017	28715	28816	+
OG_1931	OHBE01000017	28803	29225	+
OG_1485	OHBE01000017	29206	30231	+
OG_1933	OHBE01000017	30297	30893	+
OG_1934	OHBE01000017	30880	31056	+
OG_99	OHBE01000017	31053	32513	+
OG_1501	OHBE01000017	32510	33376	+
OG_3107	OHBE01000017	33378	33725	+
OG_1935	OHBE01000017	33728	33949	+
OG_2265	OHBE01000017	33966	34271	+
OG_447	OHBE01000017	34273	34866	+
OG_1520	OHBE01000017	34842	35168	+
OG_1936	OHBE01000017	35170	35445	+
OG_1515	OHBE01000017	35450	36595	+
OG_1937	OHBE01000017	36602	36934	+
OG_1938	OHBE01000017	36931	37077	+
OG_1939	OHBE01000017	37270	37656	+
OG_3410	OHBE01000017	37678	37887	+
OG_102	OHBE01000017	37900	38604	+
OG_102	OHBE01000017	38625	38969	+
OG_2280	OHBE01000017	38938	39126	+
OG_3082	OHBE01000017	39101	39334	+
OG_1940	OHBE01000017	39355	39918	+
OG_1941	OHBE01000017	39915	40292	+
OG_4780	OHBE01000017	40289	40495	+
OG_4781	OHBE01000017	40440	40700	+
OG_2281	OHBE01000017	40816	41319	+
OG_4779	OHBE01000017	41461	41856	+
OG_1787	OHBE01000017	41864	42241	+
OG_147	OHBE01000017	42244	42828	+
OG_1944	OHBE01000017	42825	42941	+
OG_1489	OHBE01000017	42934	43164	+
OG_1945	OHBE01000017	43168	43623	+
OG_1946	OHBE01000017	43596	44117	+
OG_2266	OHBE01000017	44114	44287	+
OG_93	OHBE01000017	44293	44421	+
OG_3106	OHBE01000017	44482	44880	+
OG_2267	OHBE01000017	44873	45313	+
OG_1777	OHBE01000017	45326	45604	+
OG_476	OHBE01000017	45601	46005	+
OG_2276	OHBE01000017	46026	46214	+
OG_2275	OHBE01000017	46231	46446	+
