GeneID	Chr	Start	End	Strand
OG_175	OBKN01000017	180	713	+
OG_782	OBKN01000017	895	1815	+
OG_717	OBKN01000017	3185	5092	+
OG_338	OBKN01000017	5121	5690	+
OG_448	OBKN01000017	5671	6600	+
OG_770	OBKN01000017	6643	7089	+
OG_306	OBKN01000017	7115	7855	+
OG_416	OBKN01000017	7877	8476	+
OG_323	OBKN01000017	8661	9635	+
OG_74	OBKN01000017	9622	10032	+
OG_32	OBKN01000017	10016	10771	+
OG_275	OBKN01000017	10882	11862	+
OG_1030	OBKN01000017	11859	12323	+
OG_130	OBKN01000017	12439	19449	-
OG_62	OBKN01000017	19452	39821	-
OG_125	OBKN01000017	39838	41892	-
OG_190	OBKN01000017	41889	43835	-
OG_408	OBKN01000017	43832	48502	-
OG_583	OBKN01000017	48495	49415	-
OG_351	OBKN01000017	49390	49848	-
OG_456	OBKN01000017	49838	50551	-
OG_191	OBKN01000017	50553	51230	-
OG_772	OBKN01000017	51178	51468	-
OG_1156	OBKN01000017	51470	51940	-
OG_773	OBKN01000017	51897	53399	-
OG_1149	OBKN01000017	53386	54438	-
OG_439	OBKN01000017	54510	55214	-
OG_439	OBKN01000017	55201	55935	-
OG_462	OBKN01000017	55932	56603	-
OG_446	OBKN01000017	56622	57374	-
OG_1038	OBKN01000017	57482	59005	-
OG_106	OBKN01000017	59031	60191	-
OG_428	OBKN01000017	60232	60948	-
OG_2882	OBKN01000017	60938	61141	-
OG_47	OBKN01000017	61138	63624	-
OG_64	OBKN01000017	63627	65693	-
OG_396	OBKN01000017	65696	66211	-
OG_291	OBKN01000017	66213	67454	-
OG_2883	OBKN01000017	67468	69021	-
OG_319	OBKN01000017	69030	69518	-
OG_304	OBKN01000017	69505	69936	-
OG_291	OBKN01000017	70031	71338	-
OG_268	OBKN01000017	71350	72096	-
OG_208	OBKN01000017	72116	72607	-
OG_211	OBKN01000017	72795	73352	-
OG_253	OBKN01000017	73385	74164	-
OG_1471	OBKN01000017	74383	74502	-
OG_255	OBKN01000017	74655	75017	-
OG_233	OBKN01000017	74995	75324	-
OG_750	OBKN01000017	75299	75508	-
OG_751	OBKN01000017	75501	75917	-
OG_752	OBKN01000017	75917	76321	-
OG_763	OBKN01000017	76617	77183	+
OG_2884	OBKN01000017	77140	77268	+
OG_312	OBKN01000017	77255	78061	+
OG_2885	OBKN01000017	78087	78497	+
OG_2886	OBKN01000017	78490	78750	+
OG_1028	OBKN01000017	78747	79394	+
OG_345	OBKN01000017	79499	80344	+
OG_2889	OBKN01000017	80497	80907	+
OG_3709	OBKN01000017	80904	81437	+
OG_3705	OBKN01000017	82031	82759	+
OG_768	OBKN01000017	82878	83267	+
OG_4778	OBKN01000017	83335	83676	+
OG_2873	OBKN01000017	83697	84083	+
OG_2874	OBKN01000017	84080	84406	+
OG_2875	OBKN01000017	84399	84764	+
OG_774	OBKN01000017	84761	84949	+
OG_2876	OBKN01000017	84951	85304	+
OG_349	OBKN01000017	85436	85879	+
OG_2877	OBKN01000017	85872	86417	+
OG_753	OBKN01000017	86551	87120	+
OG_2878	OBKN01000017	87293	87622	-
OG_756	OBKN01000017	87902	88435	+
OG_840	OBKN01000017	88425	88868	+
OG_758	OBKN01000017	88862	89245	+
OG_841	OBKN01000017	89318	89872	+
OG_2879	OBKN01000017	89877	90281	+
OG_362	OBKN01000017	90357	91982	+
OG_2880	OBKN01000017	91987	92475	+
OG_3710	OBKN01000017	94003	94428	+
OG_438	OBKN01000017	94601	95227	+
OG_214	OBKN01000017	95230	95802	+
