GeneID	Chr	Start	End	Strand
OG_717	29T2_lib200760_1	2	1291	-
OG_716	29T2_lib200760_1	1288	1818	-
OG_722	29T2_lib200760_1	1830	2099	-
OG_434	29T2_lib200760_1	2092	3534	-
OG_542	29T2_lib200760_1	3534	3992	-
OG_714	29T2_lib200760_1	3995	4300	-
OG_737	29T2_lib200760_1	4515	4622	-
OG_2252	29T2_lib200760_1	4619	4825	-
OG_4059	29T2_lib200760_1	4830	5294	-
OG_735	29T2_lib200760_1	5299	5784	-
OG_719	29T2_lib200760_1	5895	6167	-
OG_1400	29T2_lib200760_1	6536	6982	-
OG_729	29T2_lib200760_1	7001	7165	-
OG_707	29T2_lib200760_1	7282	7731	-
OG_2257	29T2_lib200760_1	8013	8384	+
UG_6	29T2_lib200760_1	8468	8569	+
OG_618	29T2_lib200760_1	8746	9456	-
OG_2253	29T2_lib200760_1	9840	10037	-
OG_703	29T2_lib200760_1	10087	10806	-
OG_614	29T2_lib200760_1	12319	12528	+
OG_413	29T2_lib200760_1	12537	13109	+
OG_547	29T2_lib200760_1	13207	13746	+
OG_407	29T2_lib200760_1	13733	14338	+
OG_429	29T2_lib200760_1	14348	15355	+
OG_3131	29T2_lib200760_1	15352	15684	+
OG_257	29T2_lib200760_1	15691	15951	+
OG_256	29T2_lib200760_1	15935	16147	+
OG_409	29T2_lib200760_1	16157	16576	+
OG_424	29T2_lib200760_1	16593	16898	+
OG_412	29T2_lib200760_1	16858	17187	+
OG_64	29T2_lib200760_1	17198	19447	+
OG_2254	29T2_lib200760_1	19452	19574	+
OG_47	29T2_lib200760_1	19579	21975	+
OG_431	29T2_lib200760_1	22360	23691	+
OG_1039	29T2_lib200760_1	23712	25184	+
OG_410	29T2_lib200760_1	25208	26347	+
OG_439	29T2_lib200760_1	26352	27035	+
OG_1151	29T2_lib200760_1	27051	27941	+
OG_2390	29T2_lib200760_1	28007	28657	+
OG_746	29T2_lib200760_1	28650	28898	+
OG_120	29T2_lib200760_1	28876	31995	+
OG_336	29T2_lib200760_1	31979	32452	+
OG_70	29T2_lib200760_1	32494	34857	+
OG_70	29T2_lib200760_1	34926	36476	+
OG_742	29T2_lib200760_1	36558	37046	+
OG_741	29T2_lib200760_1	37263	37505	+
OG_156	29T2_lib200760_1	37507	37836	+
OG_813	29T2_lib200760_1	37921	38259	+
OG_70	29T2_lib200760_1	38422	38823	+
OG_322	29T2_lib200760_1	38920	40392	+
OG_217	29T2_lib200760_1	40398	42182	+
OG_172	29T2_lib200760_1	42179	42385	+
OG_37	29T2_lib200760_1	42554	43252	+
OG_425	29T2_lib200760_1	43318	43839	+
OG_278	29T2_lib200760_1	43842	44213	+
OG_464	29T2_lib200760_1	44351	45052	+
OG_361	29T2_lib200760_1	45056	46012	+
OG_584	29T2_lib200760_1	45957	46787	+
OG_415	29T2_lib200760_1	46795	50265	+
OG_440	29T2_lib200760_1	50269	51075	+
OG_436	29T2_lib200760_1	51186	54098	+
OG_1794	29T2_lib200760_1	54117	56717	+
OG_314	29T2_lib200760_1	56719	62685	+
OG_62	29T2_lib200760_1	62763	75971	+
OG_618	29T2_lib200760_1	75980	76546	+
OG_2255	29T2_lib200760_1	76802	76924	-
OG_740	29T2_lib200760_1	76921	77115	-
OG_313	29T2_lib200760_1	77357	77518	-
OG_418	29T2_lib200760_1	77531	77674	-
OG_326	29T2_lib200760_1	77687	78142	-
OG_2256	29T2_lib200760_1	78146	78424	-
OG_211	29T2_lib200760_1	78405	78977	-
OG_353	29T2_lib200760_1	79018	80082	-
OG_228	29T2_lib200760_1	80085	80882	-
OG_329	29T2_lib200760_1	80889	81668	-
OG_1358	29T2_lib200760_1	81665	81916	-
OG_312	29T2_lib200760_1	81879	82763	-
OG_4	29T2_lib200760_1	82772	83164	-
OG_248	29T2_lib200760_1	83206	83913	-
OG_536	29T2_lib200760_1	84178	84609	-
OG_245	29T2_lib200760_1	84612	85817	-
OG_344	29T2_lib200760_1	85810	86361	-
OG_680	29T2_lib200760_1	86365	86742	-
OG_323	29T2_lib200760_1	86747	87949	-
OG_2687	29T2_lib200760_1	88083	89063	-
OG_1980	29T2_lib200760_1	89170	90009	-
OG_3862	29T2_lib200760_1	90058	91017	-
OG_218	29T2_lib200760_1	91068	92486	-
OG_717	29T2_lib200760_1	92489	93559	-
