GeneID	Chr	Start	End	Strand
OG_596	Long_crAss_ms_4	55	480	-
OG_749	Long_crAss_ms_4	473	751	-
OG_819	Long_crAss_ms_4	748	1173	-
OG_597	Long_crAss_ms_4	1136	1432	-
OG_598	Long_crAss_ms_4	1441	1689	-
OG_1158	Long_crAss_ms_4	1628	1921	-
OG_673	Long_crAss_ms_4	2198	2644	-
OG_1343	Long_crAss_ms_4	2722	3042	-
OG_1469	Long_crAss_ms_4	3134	3265	-
OG_1028	Long_crAss_ms_4	3284	3871	-
OG_622	Long_crAss_ms_4	4424	4684	+
OG_1018	Long_crAss_ms_4	4892	5212	+
OG_1467	Long_crAss_ms_4	5655	5885	+
OG_1736	Long_crAss_ms_4	5986	6198	+
OG_52	Long_crAss_ms_4	6322	6942	+
OG_1737	Long_crAss_ms_4	7651	7755	+
OG_305	Long_crAss_ms_4	8468	9028	-
OG_831	Long_crAss_ms_4	9205	9369	+
OG_332	Long_crAss_ms_4	9351	9575	+
OG_2528	Long_crAss_ms_4	9617	9862	+
OG_607	Long_crAss_ms_4	9865	10287	+
OG_1168	Long_crAss_ms_4	10357	10896	+
OG_1208	Long_crAss_ms_4	11117	11920	+
OG_1173	Long_crAss_ms_4	11922	12287	+
OG_390	Long_crAss_ms_4	12284	13507	+
OG_161	Long_crAss_ms_4	13504	14103	+
OG_441	Long_crAss_ms_4	14100	15347	+
OG_1097	Long_crAss_ms_4	15353	16033	+
OG_609	Long_crAss_ms_4	16026	16289	+
OG_611	Long_crAss_ms_4	16291	16677	+
OG_585	Long_crAss_ms_4	16730	17641	+
OG_323	Long_crAss_ms_4	17674	18669	+
OG_589	Long_crAss_ms_4	18702	19307	+
OG_1465	Long_crAss_ms_4	19370	20677	+
OG_1099	Long_crAss_ms_4	20628	21773	+
OG_1098	Long_crAss_ms_4	21789	22754	+
OG_600	Long_crAss_ms_4	22754	23458	+
OG_1096	Long_crAss_ms_4	23455	24132	+
OG_658	Long_crAss_ms_4	24153	24701	+
OG_74	Long_crAss_ms_4	24698	25210	+
OG_423	Long_crAss_ms_4	25188	25460	+
OG_275	Long_crAss_ms_4	25464	26504	+
OG_40	Long_crAss_ms_4	26494	29061	+
OG_1739	Long_crAss_ms_4	29079	29294	+
OG_211	Long_crAss_ms_4	29318	29857	+
OG_593	Long_crAss_ms_4	29882	30370	+
OG_630	Long_crAss_ms_4	30370	30639	+
OG_417	Long_crAss_ms_4	30639	32609	+
OG_356	Long_crAss_ms_4	32702	33400	+
OG_417	Long_crAss_ms_4	33465	33785	+
OG_348	Long_crAss_ms_4	33822	34250	+
OG_139	Long_crAss_ms_4	34237	34524	+
OG_1161	Long_crAss_ms_4	34525	34938	+
OG_603	Long_crAss_ms_4	34955	35164	+
OG_601	Long_crAss_ms_4	35161	35472	+
OG_1519	Long_crAss_ms_4	35488	35820	+
OG_1342	Long_crAss_ms_4	35817	36098	+
OG_1828	Long_crAss_ms_4	36149	36784	+
OG_3145	Long_crAss_ms_4	36789	37082	+
OG_170	Long_crAss_ms_4	37086	37478	+
OG_460	Long_crAss_ms_4	37453	37698	+
OG_312	Long_crAss_ms_4	37708	38592	+
OG_1738	Long_crAss_ms_4	38589	38783	+
OG_444	Long_crAss_ms_4	38764	39006	+
OG_444	Long_crAss_ms_4	39214	39519	+
OG_194	Long_crAss_ms_4	39532	40158	+
OG_62	Long_crAss_ms_4	40471	47766	+
OG_62	Long_crAss_ms_4	47773	51810	+
OG_62	Long_crAss_ms_4	51909	59072	-
OG_594	Long_crAss_ms_4	59084	60799	-
OG_229	Long_crAss_ms_4	60801	63461	-
OG_408	Long_crAss_ms_4	63479	67762	-
OG_583	Long_crAss_ms_4	67764	68456	-
OG_351	Long_crAss_ms_4	68468	69019	-
OG_393	Long_crAss_ms_4	69024	69755	-
OG_162	Long_crAss_ms_4	69855	70133	-
OG_595	Long_crAss_ms_4	70117	70620	-
OG_1152	Long_crAss_ms_4	70688	71959	-
OG_414	Long_crAss_ms_4	71994	72662	-
OG_446	Long_crAss_ms_4	72664	73704	-
OG_1038	Long_crAss_ms_4	73757	73960	-
OG_317	Long_crAss_ms_4	74024	74608	-
OG_1038	Long_crAss_ms_4	74739	75230	-
OG_253	Long_crAss_ms_4	75356	75997	-
OG_1038	Long_crAss_ms_4	76125	76913	-
OG_431	Long_crAss_ms_4	77365	78537	-
OG_420	Long_crAss_ms_4	78696	79328	-
OG_278	Long_crAss_ms_4	79333	79710	-
OG_37	Long_crAss_ms_4	79848	79970	-
OG_427	Long_crAss_ms_4	80143	80481	-
OG_225	Long_crAss_ms_4	80478	80903	-
OG_180	Long_crAss_ms_4	80881	81258	-
OG_1156	Long_crAss_ms_4	81422	81883	-
OG_252	Long_crAss_ms_4	81896	82264	-
OG_28	Long_crAss_ms_4	82536	82793	-
OG_191	Long_crAss_ms_4	82871	83509	-
OG_4788	Long_crAss_ms_4	83532	83768	-
OG_1741	Long_crAss_ms_4	83817	84689	-
OG_3143	Long_crAss_ms_4	84664	84858	-
OG_3144	Long_crAss_ms_4	84860	86275	-
OG_1740	Long_crAss_ms_4	86282	86611	-
OG_369	Long_crAss_ms_4	86616	88367	-
OG_307	Long_crAss_ms_4	88372	89439	-
OG_47	Long_crAss_ms_4	89436	91841	-
OG_64	Long_crAss_ms_4	91930	94188	-
OG_407	Long_crAss_ms_4	94200	94739	-
OG_638	Long_crAss_ms_4	94736	95077	-
