GeneID	Chr	Start	End	Strand
OG_288	OGOM01000068	2	1072	-
OG_813	OGOM01000068	1121	1474	-
OG_47	OGOM01000068	1512	4028	-
OG_64	OGOM01000068	4031	6082	-
UG_235	OGOM01000068	6058	6240	-
OG_4372	OGOM01000068	6460	6741	-
OG_215	OGOM01000068	7150	7290	-
OG_396	OGOM01000068	7350	7883	-
OG_849	OGOM01000068	7870	8172	-
OG_210	OGOM01000068	8172	8543	-
OG_276	OGOM01000068	8577	8981	-
OG_427	OGOM01000068	8962	9372	-
OG_750	OGOM01000068	9365	9571	-
OG_818	OGOM01000068	9543	9923	-
OG_822	OGOM01000068	9904	10296	-
OG_752	OGOM01000068	10289	10669	-
OG_751	OGOM01000068	10909	11259	-
OG_866	OGOM01000068	11292	11576	-
OG_447	OGOM01000068	11573	11881	-
OG_183	OGOM01000068	12272	12844	+
OG_857	OGOM01000068	13180	13353	+
OG_4371	OGOM01000068	13971	14132	+
OG_171	OGOM01000068	14860	15159	+
OG_250	OGOM01000068	15179	15556	+
OG_856	OGOM01000068	15588	15773	+
OG_349	OGOM01000068	15774	16250	+
OG_848	OGOM01000068	16721	16966	+
OG_283	OGOM01000068	16969	17454	+
OG_854	OGOM01000068	17456	17554	+
OG_250	OGOM01000068	17551	17958	+
OG_203	OGOM01000068	17927	18085	+
OG_753	OGOM01000068	18328	18792	+
OG_754	OGOM01000068	19695	19964	+
OG_835	OGOM01000068	19955	20140	+
OG_840	OGOM01000068	20137	20604	+
OG_758	OGOM01000068	20582	20986	+
OG_841	OGOM01000068	21017	21583	+
OG_846	OGOM01000068	21683	21970	+
OG_362	OGOM01000068	22028	23551	+
OG_184	OGOM01000068	23619	24011	+
OG_845	OGOM01000068	24011	24457	+
OG_234	OGOM01000068	26519	27142	+
OG_214	OGOM01000068	27150	27728	+
OG_175	OGOM01000068	27936	28439	+
OG_893	OGOM01000068	28439	28633	+
OG_1724	OGOM01000068	28658	29269	+
OG_717	OGOM01000068	29416	31365	+
OG_338	OGOM01000068	31423	31989	+
OG_448	OGOM01000068	31970	32944	+
OG_770	OGOM01000068	32960	33475	+
OG_306	OGOM01000068	33546	34286	+
OG_416	OGOM01000068	34301	34903	+
OG_323	OGOM01000068	35122	36108	+
OG_74	OGOM01000068	36160	36540	+
OG_32	OGOM01000068	36543	37388	+
OG_908	OGOM01000068	37440	38315	+
OG_275	OGOM01000068	38312	39283	+
OG_851	OGOM01000068	39264	39431	+
OG_843	OGOM01000068	39415	39834	+
OG_130	OGOM01000068	39867	44288	-
OG_62	OGOM01000068	44285	57751	-
OG_125	OGOM01000068	57763	59436	-
OG_445	OGOM01000068	59438	61651	-
OG_408	OGOM01000068	61654	65826	-
OG_583	OGOM01000068	65823	66740	-
OG_351	OGOM01000068	66746	67192	-
OG_456	OGOM01000068	67192	67848	-
OG_317	OGOM01000068	67845	68423	-
OG_304	OGOM01000068	68560	69126	-
OG_352	OGOM01000068	69170	69667	-
OG_268	OGOM01000068	69630	70478	-
OG_319	OGOM01000068	70511	71113	-
OG_191	OGOM01000068	71149	71787	-
OG_679	OGOM01000068	71756	72289	-
OG_124	OGOM01000068	72403	73410	-
OG_70	OGOM01000068	73667	74908	-
OG_70	OGOM01000068	74911	75417	-
OG_12	OGOM01000068	75427	75981	-
OG_70	OGOM01000068	75983	79741	-
OG_70	OGOM01000068	79756	81093	-
OG_322	OGOM01000068	81107	81559	-
OG_1156	OGOM01000068	81577	82038	-
OG_1471	OGOM01000068	82029	82265	-
OG_173	OGOM01000068	82255	82446	-
OG_378	OGOM01000068	82427	82717	-
OG_318	OGOM01000068	82752	83018	-
OG_291	OGOM01000068	83021	88384	-
OG_853	OGOM01000068	88359	88571	-
OG_812	OGOM01000068	88579	89202	-
OG_1149	OGOM01000068	89272	90243	-
OG_439	OGOM01000068	90341	91006	-
OG_462	OGOM01000068	91009	91707	-
OG_446	OGOM01000068	91707	92459	-
OG_253	OGOM01000068	92483	93130	-
OG_1038	OGOM01000068	93200	94672	-
OG_106	OGOM01000068	94710	95888	-
OG_229	OGOM01000068	95907	96140	-
OG_288	OGOM01000068	96133	96402	-
