GeneID	Chr	Start	End	Strand
OG_62	OHYE01000011	150	5027	+
OG_1789	OHYE01000011	5196	6383	+
OG_1947	OHYE01000011	6385	7026	+
OG_123	OHYE01000011	7149	8093	+
OG_130	OHYE01000011	8264	10501	+
OG_268	OHYE01000011	10748	11776	+
OG_352	OHYE01000011	11791	12258	+
OG_304	OHYE01000011	12323	12811	+
OG_91	OHYE01000011	12813	13178	+
OG_319	OHYE01000011	13272	13565	+
OG_1484	OHYE01000011	13797	14126	+
OG_70	OHYE01000011	14206	15837	+
OG_169	OHYE01000011	15849	16892	+
OG_3234	OHYE01000011	16843	16956	-
OG_426	OHYE01000011	16988	17647	+
OG_426	OHYE01000011	17749	18063	+
OG_92	OHYE01000011	18245	18415	+
OG_1790	OHYE01000011	18412	19551	-
OG_3108	OHYE01000011	19621	20019	+
OG_130	OHYE01000011	20172	26618	+
OG_123	OHYE01000011	26731	27723	+
OG_123	OHYE01000011	27720	27911	+
OG_49	OHYE01000011	28008	28334	-
OG_2284	OHYE01000011	28440	28688	-
OG_2276	OHYE01000011	28699	28884	-
OG_476	OHYE01000011	28905	29309	-
OG_1777	OHYE01000011	29306	29584	-
OG_2267	OHYE01000011	29597	30037	-
OG_3106	OHYE01000011	30030	30422	-
OG_93	OHYE01000011	30435	30875	-
OG_2266	OHYE01000011	30881	31036	-
OG_1946	OHYE01000011	31033	31545	-
OG_1789	OHYE01000011	31691	32956	-
OG_1944	OHYE01000011	33034	33153	-
OG_147	OHYE01000011	33150	33734	-
OG_1943	OHYE01000011	33762	33956	-
OG_1941	OHYE01000011	33994	34179	-
OG_1940	OHYE01000011	34180	34692	-
OG_102	OHYE01000011	34717	35448	-
OG_102	OHYE01000011	35467	35655	-
OG_1939	OHYE01000011	35661	35909	-
OG_1515	OHYE01000011	36124	37269	-
OG_1936	OHYE01000011	37274	37549	-
OG_1520	OHYE01000011	37552	37881	-
OG_447	OHYE01000011	37860	38453	-
OG_1935	OHYE01000011	38475	38696	-
OG_3107	OHYE01000011	38693	38884	-
UG_297	OHYE01000011	38868	38960	-
OG_3107	OHYE01000011	38947	39051	-
OG_99	OHYE01000011	39048	40508	-
OG_1934	OHYE01000011	40505	40681	-
OG_1933	OHYE01000011	40668	41264	-
OG_1485	OHYE01000011	41330	42355	-
OG_1931	OHYE01000011	42336	42794	-
OG_1930	OHYE01000011	42745	42846	-
OG_1542	OHYE01000011	42846	43130	-
OG_1542	OHYE01000011	43117	43401	-
OG_1486	OHYE01000011	43405	44103	-
OG_1929	OHYE01000011	44115	44456	-
OG_122	OHYE01000011	44416	45057	-
OG_448	OHYE01000011	45060	46202	-
OG_1481	OHYE01000011	46199	46486	-
OG_1928	OHYE01000011	46452	46760	-
OG_1927	OHYE01000011	46784	47329	-
OG_1802	OHYE01000011	47326	47613	-
OG_1487	OHYE01000011	47597	48550	-
OG_1893	OHYE01000011	48550	49983	-
OG_1488	OHYE01000011	49953	50453	-
OG_1789	OHYE01000011	50578	51711	+
OG_1926	OHYE01000011	51713	52072	-
OG_2818	OHYE01000011	52026	52490	-
OG_1892	OHYE01000011	52492	53175	-
OG_1925	OHYE01000011	53156	53434	-
UG_298	OHYE01000011	53508	53696	-
OG_3235	OHYE01000011	53699	54661	-
OG_1778	OHYE01000011	54651	54887	-
OG_2278	OHYE01000011	54877	55362	-
OG_98	OHYE01000011	55415	55783	-
OG_1490	OHYE01000011	55792	56433	-
OG_1924	OHYE01000011	56950	57168	-
OG_1896	OHYE01000011	57205	57621	-
OG_94	OHYE01000011	57664	57936	-
OG_6	OHYE01000011	57929	58231	-
OG_97	OHYE01000011	58247	58486	-
OG_2263	OHYE01000011	58507	58821	-
OG_2264	OHYE01000011	58802	59017	-
OG_2262	OHYE01000011	59001	59366	-
OG_2273	OHYE01000011	59439	59573	-
OG_2261	OHYE01000011	59613	59816	-
OG_1553	OHYE01000011	59926	60186	-
OG_1552	OHYE01000011	60189	60383	-
OG_2043	OHYE01000011	60571	61632	-
OG_1554	OHYE01000011	61656	61892	-
OG_1922	OHYE01000011	61922	62629	-
OG_1920	OHYE01000011	62757	63494	-
OG_1919	OHYE01000011	63586	63975	-
OG_1918	OHYE01000011	63989	64276	-
OG_42	OHYE01000011	64278	64703	-
OG_1917	OHYE01000011	64939	65181	-
OG_96	OHYE01000011	65162	65662	-
OG_1495	OHYE01000011	65664	65888	-
OG_1916	OHYE01000011	65890	66288	-
OG_1915	OHYE01000011	66401	66754	-
OG_1498	OHYE01000011	66727	67014	-
OG_1914	OHYE01000011	67011	67319	-
OG_1566	OHYE01000011	67333	67557	-
OG_1565	OHYE01000011	67577	67807	-
OG_3078	OHYE01000011	67804	68271	-
OG_883	OHYE01000011	68389	68631	-
OG_2271	OHYE01000011	69312	69461	+
OG_1913	OHYE01000011	69851	70057	-
OG_1500	OHYE01000011	70730	71260	-
OG_1957	OHYE01000011	71467	71670	+
OG_1912	OHYE01000011	71812	72300	+
OG_457	OHYE01000011	72505	73248	+
OG_1910	OHYE01000011	73284	73508	-
OG_642	OHYE01000011	73490	73675	-
OG_211	OHYE01000011	73684	74214	-
OG_1502	OHYE01000011	74211	74966	-
OG_1909	OHYE01000011	74938	75228	-
OG_1901	OHYE01000011	75797	76396	-
OG_82	OHYE01000011	76400	76708	-
OG_478	OHYE01000011	76701	77315	-
OG_1907	OHYE01000011	77287	77835	-
OG_1906	OHYE01000011	77835	78092	-
OG_1503	OHYE01000011	78119	78946	-
OG_1504	OHYE01000011	78965	80065	-
OG_1505	OHYE01000011	80141	80725	-
OG_1905	OHYE01000011	80722	80988	-
OG_1904	OHYE01000011	80991	81350	-
OG_110	OHYE01000011	81353	82339	-
OG_434	OHYE01000011	82339	84945	-
OG_2259	OHYE01000011	85049	86098	-
OG_83	OHYE01000011	87135	87548	+
OG_1508	OHYE01000011	87541	87981	+
OG_1214	OHYE01000011	87987	88685	+
OG_1509	OHYE01000011	88691	88939	+
OG_1903	OHYE01000011	88932	89483	+
OG_1902	OHYE01000011	89452	89769	+
OG_64	OHYE01000011	89769	92558	+
OG_47	OHYE01000011	92609	95371	+
OG_106	OHYE01000011	95506	96663	+
OG_1040	OHYE01000011	96682	98385	+
OG_84	OHYE01000011	98469	99533	+
OG_85	OHYE01000011	99536	100210	+
OG_459	OHYE01000011	100263	101009	-
