GeneID	Chr	Start	End	Strand
OG_415	OCHM01000051	2	1243	+
OG_440	OCHM01000051	1247	1573	+
OG_436	OCHM01000051	1706	3286	+
OG_1794	OCHM01000051	3305	5986	+
OG_314	OCHM01000051	5992	14742	+
OG_62	OCHM01000051	14862	29072	+
UG_186	OCHM01000051	29095	29223	+
UG_187	OCHM01000051	29359	29544	-
UG_188	OCHM01000051	29594	29800	-
OG_211	OCHM01000051	30012	30560	-
OG_353	OCHM01000051	30557	31594	-
OG_363	OCHM01000051	31604	32344	-
OG_228	OCHM01000051	32341	33090	-
OG_799	OCHM01000051	33094	33264	-
OG_312	OCHM01000051	33251	34210	-
UG_189	OCHM01000051	34212	34961	-
OG_537	OCHM01000051	35108	35455	-
OG_245	OCHM01000051	35452	36690	-
OG_344	OCHM01000051	36765	37376	-
OG_680	OCHM01000051	37373	37822	-
OG_323	OCHM01000051	37770	38963	-
OG_2687	OCHM01000051	39049	39981	-
OG_1980	OCHM01000051	40078	40890	-
OG_3862	OCHM01000051	40957	41919	-
OG_218	OCHM01000051	41976	43355	-
OG_717	OCHM01000051	43345	43863	-
OG_253	OCHM01000051	43964	44689	-
OG_717	OCHM01000051	44922	46763	-
OG_716	OCHM01000051	46753	47292	-
OG_434	OCHM01000051	47282	48742	-
OG_542	OCHM01000051	48743	49219	-
OG_714	OCHM01000051	49232	49549	-
OG_3446	OCHM01000051	49681	50163	-
OG_148	OCHM01000051	50167	50427	-
OG_3351	OCHM01000051	50440	50670	-
UG_190	OCHM01000051	51245	51532	-
OG_730	OCHM01000051	51542	51712	-
OG_707	OCHM01000051	51740	52372	-
OG_768	OCHM01000051	52621	52905	-
UG_191	OCHM01000051	52938	53081	-
UG_192	OCHM01000051	53366	53548	+
UG_193	OCHM01000051	53611	53745	+
UG_194	OCHM01000051	53793	54020	-
UG_195	OCHM01000051	54044	54547	-
OG_706	OCHM01000051	54691	55383	-
UG_196	OCHM01000051	55513	55959	+
OG_1965	OCHM01000051	56527	56970	+
OG_413	OCHM01000051	56980	57519	+
OG_547	OCHM01000051	57624	58241	+
OG_618	OCHM01000051	58349	59008	+
OG_407	OCHM01000051	59012	59617	+
UG_197	OCHM01000051	59642	59974	+
OG_429	OCHM01000051	59977	60972	+
OG_3131	OCHM01000051	60972	61316	+
OG_409	OCHM01000051	61321	61749	+
OG_424	OCHM01000051	61733	62023	+
OG_412	OCHM01000051	62016	62357	+
OG_64	OCHM01000051	62359	64662	+
OG_317	OCHM01000051	64665	65360	+
OG_47	OCHM01000051	65374	67788	+
OG_431	OCHM01000051	68092	69336	+
OG_1039	OCHM01000051	69352	70821	+
OG_410	OCHM01000051	70842	71993	+
OG_439	OCHM01000051	71995	72819	+
OG_1151	OCHM01000051	72839	73711	+
OG_2390	OCHM01000051	73794	74363	+
OG_265	OCHM01000051	74370	74591	+
OG_120	OCHM01000051	74584	75096	+
OG_291	OCHM01000051	75282	76217	+
OG_70	OCHM01000051	76239	78194	+
OG_300	OCHM01000051	78207	79193	+
OG_181	OCHM01000051	79186	81051	+
OG_1474	OCHM01000051	81064	81369	+
OG_1028	OCHM01000051	81366	81944	+
OG_156	OCHM01000051	81962	82303	+
UG_198	OCHM01000051	82335	82955	+
OG_4599	OCHM01000051	82965	83249	+
OG_464	OCHM01000051	83420	84103	+
OG_618	OCHM01000051	84445	85002	+
OG_361	OCHM01000051	85003	85938	+
OG_584	OCHM01000051	85898	86743	+
OG_415	OCHM01000051	86885	90151	+
