GeneID	Chr	Start	End	Strand
OG_921	OBHU01000008	3	908	+
OG_922	OBHU01000008	920	1699	+
OG_1369	OBHU01000008	1735	1872	+
OG_923	OBHU01000008	1876	2916	+
OG_58	OBHU01000008	2916	4091	+
OG_2311	OBHU01000008	4093	6018	+
OG_999	OBHU01000008	6553	6726	+
OG_191	OBHU01000008	6791	7396	+
OG_1000	OBHU01000008	7398	7706	+
OG_1001	OBHU01000008	7706	7870	+
OG_1002	OBHU01000008	7872	8165	+
OG_1370	OBHU01000008	8132	8392	+
OG_1281	OBHU01000008	8382	8891	+
OG_1003	OBHU01000008	8879	9364	+
OG_632	OBHU01000008	9386	9751	+
OG_926	OBHU01000008	9759	9941	+
OG_956	OBHU01000008	9922	10263	+
OG_927	OBHU01000008	10256	10696	+
OG_928	OBHU01000008	10683	11042	+
OG_1279	OBHU01000008	11082	11570	+
OG_334	OBHU01000008	11746	12501	+
OG_1278	OBHU01000008	12747	13025	+
OG_333	OBHU01000008	13231	13857	+
OG_1278	OBHU01000008	14084	14503	+
OG_929	OBHU01000008	14466	14795	+
OG_930	OBHU01000008	14798	15640	+
OG_218	OBHU01000008	15686	16768	+
OG_253	OBHU01000008	16786	17604	+
OG_218	OBHU01000008	17787	17957	+
OG_17	OBHU01000008	18004	18609	+
OG_448	OBHU01000008	18609	19733	+
OG_306	OBHU01000008	19736	20491	+
OG_931	OBHU01000008	20502	20957	+
OG_57	OBHU01000008	20970	21635	+
OG_323	OBHU01000008	21658	22686	+
OG_932	OBHU01000008	22634	23029	+
OG_933	OBHU01000008	23022	23228	+
OG_447	OBHU01000008	23209	23976	+
OG_1004	OBHU01000008	23976	24269	+
OG_275	OBHU01000008	24259	25278	+
OG_767	OBHU01000008	25281	25832	+
OG_40	OBHU01000008	25874	26668	+
OG_253	OBHU01000008	26904	27710	+
OG_40	OBHU01000008	27808	29253	+
OG_317	OBHU01000008	29285	29647	+
OG_211	OBHU01000008	29634	30188	+
OG_434	OBHU01000008	30190	31575	+
OG_245	OBHU01000008	31577	32782	+
OG_934	OBHU01000008	32782	33180	+
OG_1005	OBHU01000008	33164	33613	+
OG_935	OBHU01000008	33606	34109	+
OG_1159	OBHU01000008	34096	34542	+
OG_938	OBHU01000008	34544	34708	+
OG_4841	OBHU01000008	34811	35161	+
OG_1277	OBHU01000008	35145	35342	+
OG_717	OBHU01000008	35336	37285	+
OG_2948	OBHU01000008	37290	37517	+
OG_460	OBHU01000008	37518	37778	+
OG_312	OBHU01000008	37765	38271	+
OG_305	OBHU01000008	38403	39179	+
OG_2736	OBHU01000008	39172	39339	+
OG_312	OBHU01000008	39408	39839	+
OG_1006	OBHU01000008	39841	40068	+
OG_4148	OBHU01000008	40082	41275	+
OG_41	OBHU01000008	41279	41776	+
OG_253	OBHU01000008	41843	42586	+
OG_41	OBHU01000008	42819	43604	+
OG_939	OBHU01000008	43606	44808	+
