GeneID	Chr	Start	End	Strand
OG_351	OQWI01000009	3	233	+
OG_583	OQWI01000009	236	943	+
OG_408	OQWI01000009	946	5712	+
OG_229	OQWI01000009	5820	8522	+
OG_594	OQWI01000009	8524	10320	+
OG_62	OQWI01000009	10324	17748	+
OG_62	OQWI01000009	17966	22021	-
OG_62	OQWI01000009	22025	29650	-
OG_194	OQWI01000009	29762	30388	-
OG_53	OQWI01000009	30415	31188	-
OG_312	OQWI01000009	31175	32863	-
OG_460	OQWI01000009	32850	33098	-
OG_662	OQWI01000009	33104	33295	-
OG_601	OQWI01000009	33411	33713	-
OG_603	OQWI01000009	33710	33913	-
OG_1159	OQWI01000009	33852	34373	-
OG_299	OQWI01000009	34589	34837	-
OG_417	OQWI01000009	34847	37156	-
OG_630	OQWI01000009	37156	37425	-
OG_593	OQWI01000009	37425	37922	-
OG_211	OQWI01000009	37948	38484	-
OG_433	OQWI01000009	38468	38941	-
OG_36	OQWI01000009	38925	41108	-
OG_275	OQWI01000009	41110	42159	-
OG_423	OQWI01000009	42159	42476	-
OG_74	OQWI01000009	42466	43005	-
OG_658	OQWI01000009	42950	43504	-
OG_1096	OQWI01000009	43527	44204	-
OG_600	OQWI01000009	44201	44971	-
OG_1098	OQWI01000009	44971	45909	-
OG_1099	OQWI01000009	45906	47114	-
OG_1465	OQWI01000009	47053	48354	-
OG_589	OQWI01000009	48421	49167	-
OG_317	OQWI01000009	49174	49770	-
OG_323	OQWI01000009	49792	50853	-
OG_317	OQWI01000009	50819	51337	-
OG_585	OQWI01000009	51364	52320	-
OG_611	OQWI01000009	52368	52853	-
OG_609	OQWI01000009	52872	53162	-
OG_1097	OQWI01000009	53155	53925	-
OG_441	OQWI01000009	53950	55161	-
OG_161	OQWI01000009	55164	55766	-
OG_390	OQWI01000009	55763	56995	-
OG_1617	OQWI01000009	56943	57464	-
OG_1174	OQWI01000009	57461	57799	-
OG_1208	OQWI01000009	57796	58584	-
OG_3322	OQWI01000009	58574	58765	-
OG_3323	OQWI01000009	58770	58976	-
OG_608	OQWI01000009	58973	59164	-
OG_1168	OQWI01000009	59179	59745	-
OG_607	OQWI01000009	59845	60279	-
OG_1744	OQWI01000009	60285	60650	-
OG_15	OQWI01000009	61008	61904	-
UG_601	OQWI01000009	62640	62825	-
UG_602	OQWI01000009	63290	63529	-
OG_1736	OQWI01000009	63567	63797	-
OG_3148	OQWI01000009	63794	64051	-
OG_1157	OQWI01000009	64140	64352	-
UG_603	OQWI01000009	65186	65326	+
OG_4554	OQWI01000009	65259	65498	-
OG_622	OQWI01000009	65596	65859	-
OG_599	OQWI01000009	66363	66764	+
OG_669	OQWI01000009	68687	68938	+
OG_1742	OQWI01000009	69142	69249	+
OG_673	OQWI01000009	69940	70386	+
OG_664	OQWI01000009	70746	70943	+
OG_1158	OQWI01000009	70958	71281	+
OG_598	OQWI01000009	71250	71471	+
OG_597	OQWI01000009	71490	71822	+
OG_819	OQWI01000009	71831	72211	+
OG_749	OQWI01000009	72208	72477	+
OG_2044	OQWI01000009	72474	72782	+
OG_596	OQWI01000009	72769	73191	+
OG_407	OQWI01000009	73255	73794	+
OG_638	OQWI01000009	73797	74150	+
OG_64	OQWI01000009	74122	76422	+
OG_47	OQWI01000009	76521	78935	+
OG_70	OQWI01000009	78932	79561	+
OG_377	OQWI01000009	79569	79766	+
OG_341	OQWI01000009	79771	81948	+
OG_191	OQWI01000009	81987	82604	+
OG_252	OQWI01000009	82610	82987	+
OG_1156	OQWI01000009	82929	83399	+
OG_612	OQWI01000009	83458	83556	+
OG_225	OQWI01000009	83892	84224	+
OG_427	OQWI01000009	84273	84614	+
OG_420	OQWI01000009	84792	85016	+
OG_376	OQWI01000009	85168	86328	+
OG_1038	OQWI01000009	86371	87882	+
OG_446	OQWI01000009	87963	88970	+
OG_414	OQWI01000009	88981	89715	+
OG_414	OQWI01000009	89715	90422	+
OG_253	OQWI01000009	90424	90663	+
OG_1152	OQWI01000009	90681	91706	+
OG_595	OQWI01000009	91765	92328	+
OG_162	OQWI01000009	92312	92578	+
OG_456	OQWI01000009	92685	93374	+
OG_351	OQWI01000009	93381	93758	+
