GeneID	Chr	Start	End	Strand
OG_300	OGYF01000089	1	564	+
OG_318	OGYF01000089	570	974	+
OG_291	OGYF01000089	958	4359	+
OG_100	OGYF01000089	4352	6592	+
OG_173	OGYF01000089	6592	6783	+
OG_65	OGYF01000089	6761	7204	+
OG_70	OGYF01000089	7208	8092	+
OG_291	OGYF01000089	8098	8718	+
OG_227	OGYF01000089	8718	9797	+
OG_70	OGYF01000089	9896	12457	+
OG_124	OGYF01000089	12719	13741	+
OG_679	OGYF01000089	13857	14366	+
OG_191	OGYF01000089	14338	14976	+
OG_317	OGYF01000089	14988	15515	-
OG_319	OGYF01000089	15619	16254	+
OG_268	OGYF01000089	16284	17270	+
OG_352	OGYF01000089	17289	17717	+
OG_304	OGYF01000089	17766	18329	+
OG_456	OGYF01000089	18467	19111	+
OG_351	OGYF01000089	19108	19569	+
OG_583	OGYF01000089	19566	20495	+
OG_408	OGYF01000089	20492	24664	+
OG_445	OGYF01000089	24666	26516	+
OG_125	OGYF01000089	26516	28090	+
OG_62	OGYF01000089	28100	41884	+
OG_130	OGYF01000089	41887	46800	+
OG_877	OGYF01000089	46854	47231	-
OG_876	OGYF01000089	47212	47337	-
OG_275	OGYF01000089	47312	48301	-
OG_908	OGYF01000089	48288	49187	-
OG_32	OGYF01000089	49224	50135	-
OG_74	OGYF01000089	50142	50537	-
OG_323	OGYF01000089	50479	51486	-
OG_168	OGYF01000089	51886	52689	-
OG_269	OGYF01000089	52686	53840	-
OG_416	OGYF01000089	53957	54568	-
OG_306	OGYF01000089	54581	55321	-
OG_770	OGYF01000089	55405	55953	-
OG_448	OGYF01000089	55950	56933	-
OG_338	OGYF01000089	56914	57474	-
OG_717	OGYF01000089	57531	59528	-
OG_232	OGYF01000089	59533	59853	-
OG_875	OGYF01000089	59853	60527	-
OG_175	OGYF01000089	60670	61191	-
OG_214	OGYF01000089	61551	62084	-
OG_287	OGYF01000089	62099	62665	-
OG_197	OGYF01000089	64859	65242	-
OG_267	OGYF01000089	65248	66630	-
OG_842	OGYF01000089	66713	67078	-
OG_841	OGYF01000089	67095	67643	-
OG_761	OGYF01000089	67703	68185	-
OG_840	OGYF01000089	68192	68650	-
OG_836	OGYF01000089	68651	68836	-
OG_754	OGYF01000089	68833	69114	-
OG_833	OGYF01000089	69089	69262	-
OG_3014	OGYF01000089	70036	70293	-
OG_874	OGYF01000089	70333	70731	-
OG_309	OGYF01000089	70743	70991	-
OG_349	OGYF01000089	71424	71876	-
OG_250	OGYF01000089	71914	72282	-
OG_212	OGYF01000089	72287	72598	-
OG_755	OGYF01000089	72595	72870	-
OG_587	OGYF01000089	73581	74015	-
OG_3799	OGYF01000089	74036	74266	-
OG_3088	OGYF01000089	74949	75155	-
OG_301	OGYF01000089	75669	76253	-
OG_312	OGYF01000089	76542	77480	+
OG_865	OGYF01000089	77647	77844	+
OG_866	OGYF01000089	77849	78058	+
OG_751	OGYF01000089	78087	78440	+
OG_752	OGYF01000089	78607	79014	+
OG_822	OGYF01000089	79007	79378	+
OG_818	OGYF01000089	79380	79808	+
OG_750	OGYF01000089	79792	80001	+
OG_880	OGYF01000089	79955	80230	+
OG_427	OGYF01000089	80208	80648	+
OG_447	OGYF01000089	80629	81372	+
OG_210	OGYF01000089	81508	81816	+
OG_396	OGYF01000089	81829	82374	+
OG_878	OGYF01000089	82430	82582	+
OG_317	OGYF01000089	82749	82880	+
OG_317	OGYF01000089	82924	83283	+
OG_64	OGYF01000089	83525	85570	+
OG_47	OGYF01000089	85577	88087	+
OG_813	OGYF01000089	88090	88554	+
OG_885	OGYF01000089	88634	88879	+
OG_288	OGYF01000089	88881	90044	+
OG_229	OGYF01000089	90044	90262	+
OG_305	OGYF01000089	90259	90792	+
OG_106	OGYF01000089	90811	92028	+
OG_1038	OGYF01000089	92069	93532	+
OG_253	OGYF01000089	93628	94299	+
OG_446	OGYF01000089	94328	95080	+
OG_462	OGYF01000089	95080	95790	+
OG_439	OGYF01000089	95793	96461	+
OG_1149	OGYF01000089	96559	97533	+
OG_812	OGYF01000089	97634	98332	+
OG_300	OGYF01000089	98344	101085	+
