GeneID	Chr	Start	End	Strand
OG_415	OBWJ01000088	1	3399	+
OG_436	OBWJ01000088	3399	4679	+
OG_1794	OBWJ01000088	4688	7411	+
OG_314	OBWJ01000088	7414	13416	+
OG_62	OBWJ01000088	13682	25882	+
OG_695	OBWJ01000088	26556	26696	-
OG_326	OBWJ01000088	26693	27385	-
OG_211	OBWJ01000088	27412	28068	-
OG_3178	OBWJ01000088	28147	28350	-
OG_353	OBWJ01000088	28561	29646	-
OG_534	OBWJ01000088	29669	29776	-
OG_228	OBWJ01000088	29783	30568	-
OG_692	OBWJ01000088	30561	30731	-
OG_3745	OBWJ01000088	30715	31014	-
OG_699	OBWJ01000088	31001	31177	-
OG_690	OBWJ01000088	31167	31466	-
OG_317	OBWJ01000088	31453	31788	-
OG_689	OBWJ01000088	31788	32054	-
OG_539	OBWJ01000088	32443	32793	-
OG_245	OBWJ01000088	32805	34016	-
OG_430	OBWJ01000088	34013	34492	-
OG_680	OBWJ01000088	34473	34967	-
OG_323	OBWJ01000088	34960	36096	-
OG_317	OBWJ01000088	36093	36680	-
OG_2687	OBWJ01000088	36775	37794	-
OG_1980	OBWJ01000088	37970	38719	-
OG_3862	OBWJ01000088	38835	39725	-
OG_218	OBWJ01000088	39796	41265	-
OG_724	OBWJ01000088	41262	41510	-
OG_724	OBWJ01000088	41507	41779	-
OG_717	OBWJ01000088	41782	43974	-
OG_716	OBWJ01000088	43971	44516	-
OG_434	OBWJ01000088	44506	45957	-
OG_542	OBWJ01000088	45944	46297	-
OG_2135	OBWJ01000088	46297	46569	-
OG_687	OBWJ01000088	46572	46889	-
OG_2136	OBWJ01000088	46867	47013	-
OG_2137	OBWJ01000088	47051	47380	-
OG_2138	OBWJ01000088	47692	47949	-
OG_263	OBWJ01000088	48115	48435	-
OG_685	OBWJ01000088	48454	48615	-
OG_1288	OBWJ01000088	48692	49150	-
OG_2139	OBWJ01000088	49147	49329	-
OG_4401	OBWJ01000088	49326	50156	-
OG_1208	OBWJ01000088	50186	51088	-
OG_706	OBWJ01000088	51288	51941	-
OG_327	OBWJ01000088	52220	52612	-
OG_2143	OBWJ01000088	52652	52822	-
OG_413	OBWJ01000088	54001	54624	+
OG_547	OBWJ01000088	54624	55121	+
OG_407	OBWJ01000088	55118	55837	+
OG_429	OBWJ01000088	55837	56838	+
OG_4767	OBWJ01000088	56835	57449	+
OG_3420	OBWJ01000088	57446	57742	+
OG_242	OBWJ01000088	57753	58109	+
OG_64	OBWJ01000088	58118	60415	+
OG_1471	OBWJ01000088	60436	60669	+
OG_47	OBWJ01000088	60666	63116	+
OG_431	OBWJ01000088	63506	64771	+
OG_1039	OBWJ01000088	64799	66271	+
OG_410	OBWJ01000088	66291	67463	+
OG_439	OBWJ01000088	67472	68131	+
OG_1151	OBWJ01000088	68133	69029	+
OG_2390	OBWJ01000088	69126	69716	+
OG_364	OBWJ01000088	69716	69931	+
OG_120	OBWJ01000088	69928	70581	+
OG_300	OBWJ01000088	70583	73417	+
OG_176	OBWJ01000088	73423	76923	+
OG_224	OBWJ01000088	76926	84806	+
OG_28	OBWJ01000088	84876	85190	+
OG_322	OBWJ01000088	85180	89976	+
OG_422	OBWJ01000088	90013	90519	+
OG_37	OBWJ01000088	90726	91454	+
OG_425	OBWJ01000088	91494	92015	+
OG_278	OBWJ01000088	91999	92376	+
OG_420	OBWJ01000088	92381	92986	+
OG_697	OBWJ01000088	93111	93278	+
OG_156	OBWJ01000088	93275	93619	+
OG_464	OBWJ01000088	93991	94686	+
OG_361	OBWJ01000088	94683	95660	+
OG_584	OBWJ01000088	95608	96333	+
OG_415	OBWJ01000088	96333	96827	+
