GeneID	Chr	Start	End	Strand
OG_4789	IAS_virus_KJ003983	1	147	-
OG_764	IAS_virus_KJ003983	199	432	-
OG_4390	IAS_virus_KJ003983	498	1040	-
OG_1346	IAS_virus_KJ003983	1203	1451	-
OG_3968	IAS_virus_KJ003983	1541	1846	-
OG_1742	IAS_virus_KJ003983	3095	3199	+
OG_1471	IAS_virus_KJ003983	3649	3873	+
OG_664	IAS_virus_KJ003983	4877	5011	+
OG_598	IAS_virus_KJ003983	5018	5221	+
OG_597	IAS_virus_KJ003983	5211	5453	+
OG_819	IAS_virus_KJ003983	5457	5843	+
OG_749	IAS_virus_KJ003983	5840	6109	+
OG_596	IAS_virus_KJ003983	6096	6518	+
OG_407	IAS_virus_KJ003983	6568	7122	+
OG_638	IAS_virus_KJ003983	7116	7412	+
OG_64	IAS_virus_KJ003983	7396	9648	+
OG_47	IAS_virus_KJ003983	9738	12149	+
OG_176	IAS_virus_KJ003983	12152	15595	+
OG_224	IAS_virus_KJ003983	15597	17585	+
OG_224	IAS_virus_KJ003983	17620	19725	+
OG_224	IAS_virus_KJ003983	19811	23350	+
UG_53	IAS_virus_KJ003983	23450	23827	+
OG_187	IAS_virus_KJ003983	23949	24326	+
OG_625	IAS_virus_KJ003983	24386	24793	+
OG_252	IAS_virus_KJ003983	24790	25161	+
OG_258	IAS_virus_KJ003983	25133	25327	+
OG_1156	IAS_virus_KJ003983	25290	25745	+
OG_612	IAS_virus_KJ003983	25748	25852	+
OG_180	IAS_virus_KJ003983	25914	26213	+
OG_225	IAS_virus_KJ003983	26170	26484	+
OG_427	IAS_virus_KJ003983	26462	26962	+
OG_376	IAS_virus_KJ003983	27444	28229	+
OG_1038	IAS_virus_KJ003983	28247	29761	+
OG_446	IAS_virus_KJ003983	29819	30799	+
OG_414	IAS_virus_KJ003983	30815	31948	+
OG_414	IAS_virus_KJ003983	31951	32646	+
OG_1152	IAS_virus_KJ003983	32671	33690	+
OG_595	IAS_virus_KJ003983	33822	34415	+
OG_162	IAS_virus_KJ003983	34402	34755	+
OG_456	IAS_virus_KJ003983	34828	35553	+
OG_351	IAS_virus_KJ003983	35553	36086	+
OG_209	IAS_virus_KJ003983	36071	37489	+
OG_583	IAS_virus_KJ003983	37489	38163	+
OG_408	IAS_virus_KJ003983	38160	42590	+
OG_229	IAS_virus_KJ003983	42696	45410	+
OG_594	IAS_virus_KJ003983	45414	47210	+
OG_62	IAS_virus_KJ003983	47212	53544	+
OG_62	IAS_virus_KJ003983	53594	58522	-
OG_62	IAS_virus_KJ003983	58522	65001	-
OG_62	IAS_virus_KJ003983	64991	67504	-
OG_194	IAS_virus_KJ003983	67633	68259	-
OG_444	IAS_virus_KJ003983	68271	69059	-
OG_540	IAS_virus_KJ003983	69068	69292	-
OG_53	IAS_virus_KJ003983	69458	70057	-
OG_312	IAS_virus_KJ003983	70051	70923	-
OG_3966	IAS_virus_KJ003983	70928	71119	-
OG_1797	IAS_virus_KJ003983	71120	71263	-
OG_3119	IAS_virus_KJ003983	71263	71448	-
OG_601	IAS_virus_KJ003983	71439	71720	-
OG_603	IAS_virus_KJ003983	71717	71920	-
OG_3192	IAS_virus_KJ003983	71917	72456	-
OG_967	IAS_virus_KJ003983	72458	73186	-
OG_3115	IAS_virus_KJ003983	73167	73397	-
OG_299	IAS_virus_KJ003983	73378	73635	-
OG_417	IAS_virus_KJ003983	73645	75678	-
OG_593	IAS_virus_KJ003983	75689	76183	-
OG_211	IAS_virus_KJ003983	76180	76725	-
OG_3147	IAS_virus_KJ003983	76715	76894	-
OG_433	IAS_virus_KJ003983	76881	77360	-
OG_36	IAS_virus_KJ003983	77354	79531	-
OG_275	IAS_virus_KJ003983	79528	80580	-
OG_423	IAS_virus_KJ003983	80580	80864	-
OG_74	IAS_virus_KJ003983	80812	81348	-
OG_658	IAS_virus_KJ003983	81341	81904	-
OG_1096	IAS_virus_KJ003983	81923	82600	-
OG_3114	IAS_virus_KJ003983	82597	83559	-
OG_3160	IAS_virus_KJ003983	83547	85745	-
OG_589	IAS_virus_KJ003983	85803	86060	-
OG_323	IAS_virus_KJ003983	86057	86500	-
OG_323	IAS_virus_KJ003983	87016	87645	-
OG_585	IAS_virus_KJ003983	87655	88620	-
OG_611	IAS_virus_KJ003983	88649	89047	-
OG_306	IAS_virus_KJ003983	89058	89864	-
OG_629	IAS_virus_KJ003983	89867	90211	-
OG_441	IAS_virus_KJ003983	90208	91356	-
OG_161	IAS_virus_KJ003983	91353	91949	-
OG_390	IAS_virus_KJ003983	91946	93139	-
OG_1617	IAS_virus_KJ003983	93099	93644	-
OG_1175	IAS_virus_KJ003983	93641	93943	-
OG_1208	IAS_virus_KJ003983	93946	94680	-
OG_3322	IAS_virus_KJ003983	94721	94906	-
OG_3323	IAS_virus_KJ003983	94911	95120	-
OG_608	IAS_virus_KJ003983	95117	95266	-
OG_607	IAS_virus_KJ003983	95370	95771	-
OG_838	IAS_virus_KJ003983	95807	96109	-
OG_259	IAS_virus_KJ003983	96152	96325	-
OG_34	IAS_virus_KJ003983	96322	96777	-
OG_158	IAS_virus_KJ003983	96836	97240	-
UG_54	IAS_virus_KJ003983	97251	97358	-
OG_648	IAS_virus_KJ003983	97373	97672	-
OG_1466	IAS_virus_KJ003983	97636	97950	-
OG_3236	IAS_virus_KJ003983	98197	98376	-
OG_3967	IAS_virus_KJ003983	98471	98677	-
OG_1736	IAS_virus_KJ003983	99183	99416	-
OG_4789	IAS_virus_KJ003983	99582	99914	-
